GEOID,NAME,YEAR,S1901_C01_002,S1901_C01_003,S1901_C01_004,S1901_C01_005,S1901_C01_006,S1901_C01_007,S1901_C01_008,S1901_C01_009,S1901_C01_010,S1901_C01_011
25025000100,Census Tract 1,2010,78,89,95,140,199,360,165,216,49,23
25025000201,Census Tract 2.01,2010,88,46,60,54,209,465,105,241,184,43
25025000202,Census Tract 2.02,2010,158,83,56,190,186,229,224,183,141,56
25025000301,Census Tract 3.01,2010,9,23,42,25,46,126,393,147,76,62
25025000302,Census Tract 3.02,2010,61,28,106,67,134,155,189,236,160,102
25025000401,Census Tract 4.01,2010,473,273,293,225,273,636,245,279,76,42
25025000402,Census Tract 4.02,2010,142,39,101,103,191,325,100,170,181,53
25025000502,Census Tract 5.02,2010,254,121,138,66,226,442,173,148,12,85
25025000503,Census Tract 5.03,2010,110,16,48,146,233,243,192,211,40,0
25025000504,Census Tract 5.04,2010,314,268,444,339,577,429,407,231,46,25
25025000601,Census Tract 6.01,2010,82,31,135,150,145,351,167,182,124,64
25025000602,Census Tract 6.02,2010,707,206,116,141,225,301,158,221,17,17
25025000701,Census Tract 7.01,2010,310,134,138,224,195,484,243,239,119,10
25025000703,Census Tract 7.03,2010,493,83,152,51,134,141,104,47,0,32
25025000704,Census Tract 7.04,2010,398,116,147,254,448,498,206,126,85,92
25025000802,Census Tract 8.02,2010,555,219,501,108,456,363,189,390,195,24
25025000803,Census Tract 8.03,2010,142,65,163,82,87,67,57,7,0,26
25025010103,Census Tract 101.03,2010,146,54,41,82,22,44,0,21,12,8
25025010104,Census Tract 101.04,2010,423,237,168,121,157,180,277,105,73,170
25025010203,Census Tract 102.03,2010,734,127,288,356,418,458,238,300,37,139
25025010204,Census Tract 102.04,2010,235,66,115,90,131,120,52,132,9,63
25025010300,Census Tract 103,2010,88,17,16,47,41,32,13,19,7,0
25025010403,Census Tract 104.03,2010,626,243,243,121,168,166,46,145,54,118
25025010404,Census Tract 104.04,2010,520,262,109,241,234,147,0,96,63,39
25025010405,Census Tract 104.05,2010,238,285,132,125,30,103,35,20,0,0
25025010408,Census Tract 104.08,2010,273,78,48,6,177,153,107,64,15,37
25025010500,Census Tract 105,2010,394,147,163,70,198,43,148,139,56,238
25025010600,Census Tract 106,2010,213,48,76,120,210,291,99,217,116,372
25025010701,Census Tract 107.01,2010,151,88,101,52,45,190,172,259,57,285
25025010702,Census Tract 107.02,2010,51,16,98,57,102,250,276,272,74,355
25025010801,Census Tract 108.01,2010,105,17,32,0,49,302,185,195,312,342
25025010802,Census Tract 108.02,2010,229,0,64,146,152,324,295,185,171,358
25025020101,Census Tract 201.01,2010,86,81,81,187,132,466,365,405,225,509
25025020200,Census Tract 202,2010,412,31,234,85,278,332,394,171,71,218
25025020301,Census Tract 203.01,2010,76,97,156,51,73,224,135,164,93,112
25025020302,Census Tract 203.02,2010,62,0,32,25,61,166,114,75,77,64
25025020303,Census Tract 203.03,2010,151,51,26,90,189,162,92,199,143,354
25025030100,Census Tract 301,2010,109,37,108,118,177,178,267,152,10,9
25025030200,Census Tract 302,2010,178,33,31,50,170,247,134,78,48,39
25025030300,Census Tract 303,2010,147,229,108,113,169,358,150,490,261,611
25025030400,Census Tract 304,2010,63,143,88,84,181,205,209,220,73,110
25025030500,Census Tract 305,2010,40,31,81,30,134,267,183,363,88,205
25025040100,Census Tract 401,2010,51,79,45,15,35,146,159,198,121,342
25025040200,Census Tract 402,2010,60,57,50,99,40,108,83,80,51,49
25025040300,Census Tract 403,2010,142,64,82,88,146,261,154,520,231,309
25025040401,Census Tract 404.01,2010,173,37,46,63,75,203,116,167,78,141
25025040600,Census Tract 406,2010,14,57,29,49,46,155,214,249,117,246
25025040801,Census Tract 408.01,2010,399,186,155,162,100,147,83,159,152,185
25025050101,Census Tract 501.01,2010,182,198,347,219,317,252,154,63,16,4
25025050200,Census Tract 502,2010,125,74,161,202,254,369,214,238,29,46
25025050300,Census Tract 503,2010,322,212,173,109,61,91,41,15,0,6
25025050400,Census Tract 504,2010,68,107,86,114,116,185,87,84,16,72
25025050500,Census Tract 505,2010,14,65,75,130,169,133,130,30,0,0
25025050600,Census Tract 506,2010,44,33,62,178,183,105,16,57,7,9
25025050700,Census Tract 507,2010,28,44,127,202,245,373,273,113,60,10
25025050901,Census Tract 509.01,2010,101,107,162,222,132,281,159,128,31,28
25025051000,Census Tract 510,2010,221,128,218,206,170,273,255,118,74,24
25025051101,Census Tract 511.01,2010,171,193,139,308,227,247,370,405,65,39
25025051200,Census Tract 512,2010,53,20,106,171,221,154,52,147,20,7
25025060101,Census Tract 601.01,2010,47,9,100,168,164,364,289,258,104,76
25025060200,Census Tract 602,2010,27,24,18,12,107,185,173,243,87,47
25025060301,Census Tract 603.01,2010,100,60,69,83,202,195,211,292,117,146
25025060400,Census Tract 604,2010,128,130,53,238,288,354,199,349,386,160
25025060501,Census Tract 605.01,2010,63,43,166,73,106,217,344,326,157,161
25025060600,Census Tract 606,2010,36,22,127,43,87,216,151,191,76,187
25025060700,Census Tract 607,2010,226,61,204,32,56,45,22,0,0,0
25025060800,Census Tract 608,2010,95,40,85,92,204,330,325,346,161,55
25025061000,Census Tract 610,2010,413,38,140,196,106,143,88,118,20,18
25025061101,Census Tract 611.01,2010,430,86,275,114,53,38,0,0,0,0
25025061200,Census Tract 612,2010,139,138,64,81,104,411,143,294,160,148
25025070101,Census Tract 701.01,2010,570,191,252,135,152,201,91,225,113,521
25025070200,Census Tract 702,2010,643,193,202,127,155,220,118,82,12,36
25025070300,Census Tract 703,2010,182,73,230,106,167,235,194,407,271,554
25025070402,Census Tract 704.02,2010,168,131,152,57,105,42,40,26,8,0
25025070500,Census Tract 705,2010,498,141,185,79,273,261,325,407,249,516
25025070600,Census Tract 706,2010,116,9,77,51,140,192,204,234,94,227
25025070700,Census Tract 707,2010,150,71,76,68,144,156,117,103,119,203
25025070800,Census Tract 708,2010,505,127,104,135,235,290,184,218,74,243
25025070900,Census Tract 709,2010,317,208,182,65,122,152,140,244,107,135
25025071101,Census Tract 711.01,2010,309,223,158,209,233,311,115,371,41,80
25025071201,Census Tract 712.01,2010,270,119,115,32,198,76,112,72,78,141
25025080100,Census Tract 801,2010,88,19,67,52,97,63,73,66,18,0
25025080300,Census Tract 803,2010,179,29,50,192,115,98,0,39,0,0
25025080401,Census Tract 804.01,2010,423,152,246,47,113,112,29,34,0,0
25025080500,Census Tract 805,2010,445,198,349,91,73,82,12,19,0,27
25025080601,Census Tract 806.01,2010,164,125,177,78,116,116,46,35,0,0
25025080801,Census Tract 808.01,2010,270,174,173,100,99,14,106,0,0,0
25025080900,Census Tract 809,2010,214,126,217,260,258,217,118,81,77,26
25025081001,Census Tract 810.01,2010,437,222,250,250,387,302,124,113,70,24
25025081100,Census Tract 811,2010,273,114,109,130,241,289,231,202,60,23
25025081200,Census Tract 812,2010,294,71,151,171,94,74,28,95,71,0
25025081300,Census Tract 813,2010,580,305,344,223,104,158,197,16,25,0
25025081400,Census Tract 814,2010,136,98,75,98,168,149,200,179,66,56
25025081500,Census Tract 815,2010,120,129,86,28,66,256,38,38,0,25
25025081700,Census Tract 817,2010,275,132,115,138,153,232,153,130,20,7
25025081800,Census Tract 818,2010,146,89,50,63,246,230,90,103,0,3
25025081900,Census Tract 819,2010,150,114,49,115,186,157,155,138,33,0
25025082000,Census Tract 820,2010,195,156,91,38,91,221,89,84,32,31
25025082100,Census Tract 821,2010,590,257,261,412,113,119,77,99,36,57
25025090100,Census Tract 901,2010,251,75,386,253,208,260,162,80,31,0
25025090200,Census Tract 902,2010,129,197,158,32,59,71,28,11,21,0
25025090300,Census Tract 903,2010,327,126,144,82,63,80,72,58,0,9
25025090400,Census Tract 904,2010,158,101,180,109,162,121,77,154,26,0
25025090600,Census Tract 906,2010,116,28,136,24,77,132,87,32,13,5
25025090700,Census Tract 907,2010,148,128,241,218,277,272,198,148,92,83
25025090901,Census Tract 909.01,2010,384,175,85,243,161,327,93,77,32,0
