GEOID,NAME,YEAR,SUMMARY_VALUE,MOE
25025000100,Census Tract 1,2010,55179,6282
25025000201,Census Tract 2.01,2010,68010,4442
25025000202,Census Tract 2.02,2010,54151,16721
25025000301,Census Tract 3.01,2010,87230,9018
25025000302,Census Tract 3.02,2010,83357,19037
25025000401,Census Tract 4.01,2010,42136,8699
25025000402,Census Tract 4.02,2010,57530,9698
25025000502,Census Tract 5.02,2010,51875,7217
25025000503,Census Tract 5.03,2010,62083,10582
25025000504,Census Tract 5.04,2010,39452,6600
25025000601,Census Tract 6.01,2010,60343,7556
25025000602,Census Tract 6.02,2010,25476,9934
25025000701,Census Tract 7.01,2010,53083,13509
25025000703,Census Tract 7.03,2010,19299,8828
25025000704,Census Tract 7.04,2010,41606,4051
25025000802,Census Tract 8.02,2010,36734,6532
25025000803,Census Tract 8.03,2010,23429,4753
25025010103,Census Tract 101.03,2010,16210,12621
25025010104,Census Tract 101.04,2010,35262,12584
25025010203,Census Tract 102.03,2010,35906,7302
25025010204,Census Tract 102.04,2010,35023,8301
25025010300,Census Tract 103,2010,26397,6891
25025010403,Census Tract 104.03,2010,20365,7454
25025010404,Census Tract 104.04,2010,17965,13732
25025010405,Census Tract 104.05,2010,14188,2473
25025010408,Census Tract 104.08,2010,44492,4328
25025010500,Census Tract 105,2010,36017,10488
25025010600,Census Tract 106,2010,68080,10050
25025010701,Census Tract 107.01,2010,88438,21551
25025010702,Census Tract 107.02,2010,91071,18314
25025010801,Census Tract 108.01,2010,112284,52187
25025010802,Census Tract 108.02,2010,85362,23541
25025020101,Census Tract 201.01,2010,93244,11249
25025020200,Census Tract 202,2010,54228,11335
25025020301,Census Tract 203.01,2010,60347,16663
25025020302,Census Tract 203.02,2010,62302,50206
25025020303,Census Tract 203.03,2010,87244,26321
25025030100,Census Tract 301,2010,53026,9374
25025030200,Census Tract 302,2010,51909,5122
25025030300,Census Tract 303,2010,106602,27163
25025030400,Census Tract 304,2010,61157,11841
25025030500,Census Tract 305,2010,82308,22996
25025040100,Census Tract 401,2010,120250,29293
25025040200,Census Tract 402,2010,51377,9838
25025040300,Census Tract 403,2010,109028,14964
25025040401,Census Tract 404.01,2010,70026,15228
25025040600,Census Tract 406,2010,108060,24918
25025040801,Census Tract 408.01,2010,32333,10491
25025050101,Census Tract 501.01,2010,30274,7131
25025050200,Census Tract 502,2010,51191,4696
25025050300,Census Tract 503,2010,14505,2354
25025050400,Census Tract 504,2010,46250,10389
25025050500,Census Tract 505,2010,40929,10117
25025050600,Census Tract 506,2010,41196,17088
25025050700,Census Tract 507,2010,54479,6736
25025050901,Census Tract 509.01,2010,39893,22761
25025051000,Census Tract 510,2010,39559,10479
25025051101,Census Tract 511.01,2010,51855,10829
25025051200,Census Tract 512,2010,43954,3818
25025060101,Census Tract 601.01,2010,70172,10604
25025060200,Census Tract 602,2010,83398,10661
25025060301,Census Tract 603.01,2010,80457,14625
25025060400,Census Tract 604,2010,71711,12577
25025060501,Census Tract 605.01,2010,89922,13875
25025060600,Census Tract 606,2010,78750,11021
25025060700,Census Tract 607,2010,17143,4241
25025060800,Census Tract 608,2010,75814,10470
25025061000,Census Tract 610,2010,26056,4853
25025061101,Census Tract 611.01,2010,12429,5914
25025061200,Census Tract 612,2010,66179,8155
25025070101,Census Tract 701.01,2010,41786,13088
25025070200,Census Tract 702,2010,18224,4837
25025070300,Census Tract 703,2010,106337,24363
25025070402,Census Tract 704.02,2010,16638,2003
25025070500,Census Tract 705,2010,81331,27643
25025070600,Census Tract 706,2010,87222,17050
25025070700,Census Tract 707,2010,59048,24669
25025070800,Census Tract 708,2010,45172,13193
25025070900,Census Tract 709,2010,41364,11658
25025071101,Census Tract 711.01,2010,42317,6733
25025071201,Census Tract 712.01,2010,37098,10597
25025080100,Census Tract 801,2010,46492,10622
25025080300,Census Tract 803,2010,30362,7141
25025080401,Census Tract 804.01,2010,15073,3095
25025080500,Census Tract 805,2010,15481,5256
25025080601,Census Tract 806.01,2010,18897,12227
25025080801,Census Tract 808.01,2010,15588,2471
25025080900,Census Tract 809,2010,33750,6710
25025081001,Census Tract 810.01,2010,32835,8122
25025081100,Census Tract 811,2010,46250,8850
25025081200,Census Tract 812,2010,25472,6527
25025081300,Census Tract 813,2010,16835,3183
25025081400,Census Tract 814,2010,54718,17085
25025081500,Census Tract 815,2010,45357,19352
25025081700,Census Tract 817,2010,35781,13374
25025081800,Census Tract 818,2010,45000,6377
25025081900,Census Tract 819,2010,43853,7620
25025082000,Census Tract 820,2010,41172,15267
25025082100,Census Tract 821,2010,20700,5921
25025090100,Census Tract 901,2010,30389,6598
25025090200,Census Tract 902,2010,16055,2829
25025090300,Census Tract 903,2010,16495,5027
25025090400,Census Tract 904,2010,34659,6299
25025090600,Census Tract 906,2010,44141,20123
25025090700,Census Tract 907,2010,41750,9065
25025090901,Census Tract 909.01,2010,30613,4154
25025091001,Census Tract 910.01,2010,59345,8565
25025091100,Census Tract 911,2010,61706,8131
25025091200,Census Tract 912,2010,53657,9440
25025091300,Census Tract 913,2010,30467,4410
25025091400,Census Tract 914,2010,30938,13054
25025091500,Census Tract 915,2010,42857,13144
25025091600,Census Tract 916,2010,29632,13074
25025091700,Census Tract 917,2010,47371,7325
25025091800,Census Tract 918,2010,42368,21665
25025091900,Census Tract 919,2010,30069,7610
25025092000,Census Tract 920,2010,49342,9523
25025092101,Census Tract 921.01,2010,42957,11996
25025092200,Census Tract 922,2010,46618,8690
25025092300,Census Tract 923,2010,36573,5537
25025092400,Census Tract 924,2010,28597,9350
25025100100,Census Tract 1001,2010,26007,5923
25025100200,Census Tract 1002,2010,46122,9607
25025100300,Census Tract 1003,2010,44071,6764
25025100400,Census Tract 1004,2010,47171,12145
25025100500,Census Tract 1005,2010,41575,7502
25025100601,Census Tract 1006.01,2010,51783,4406
25025100603,Census Tract 1006.03,2010,60417,23464
25025100700,Census Tract 1007,2010,66585,3976
25025100800,Census Tract 1008,2010,56800,15463
25025100900,Census Tract 1009,2010,57077,6892
25025101001,Census Tract 1010.01,2010,66000,13785
25025101002,Census Tract 1010.02,2010,39474,8753
25025101101,Census Tract 1011.01,2010,53924,9135
25025101102,Census Tract 1011.02,2010,37646,6882
25025110103,Census Tract 1101.03,2010,56487,9713
25025110201,Census Tract 1102.01,2010,53148,7808
25025110301,Census Tract 1103.01,2010,83990,22440
25025110401,Census Tract 1104.01,2010,46944,21680
25025110403,Census Tract 1104.03,2010,59234,8368
25025110501,Census Tract 1105.01,2010,90613,18004
25025110502,Census Tract 1105.02,2010,50924,9405
25025110601,Census Tract 1106.01,2010,100197,18077
25025110607,Census Tract 1106.07,2010,82642,25048
25025120103,Census Tract 1201.03,2010,147308,37588
25025120104,Census Tract 1201.04,2010,63125,9275
25025120105,Census Tract 1201.05,2010,143482,28231
25025120201,Census Tract 1202.01,2010,60560,14264
25025120301,Census Tract 1203.01,2010,59707,9002
25025120400,Census Tract 1204,2010,84567,17295
25025120500,Census Tract 1205,2010,49013,10466
25025120600,Census Tract 1206,2010,82500,19265
25025120700,Census Tract 1207,2010,58893,12182
25025130100,Census Tract 1301,2010,71213,10884
25025130200,Census Tract 1302,2010,90655,16511
25025130300,Census Tract 1303,2010,90313,17029
25025130402,Census Tract 1304.02,2010,73217,4817
25025130404,Census Tract 1304.04,2010,72396,25832
25025130406,Census Tract 1304.06,2010,33600,3713
25025140102,Census Tract 1401.02,2010,64732,14380
25025140105,Census Tract 1401.05,2010,74853,11023
25025140106,Census Tract 1401.06,2010,30417,9467
25025140107,Census Tract 1401.07,2010,47297,12357
25025140201,Census Tract 1402.01,2010,54000,18014
25025140202,Census Tract 1402.02,2010,63792,8398
25025140300,Census Tract 1403,2010,49524,11869
25025140400,Census Tract 1404,2010,59036,8814
25025160101,Census Tract 1601.01,2010,42454,12289
25025160200,Census Tract 1602,2010,35000,9550
25025160300,Census Tract 1603,2010,52985,13927
25025160400,Census Tract 1604,2010,27560,14059
25025160501,Census Tract 1605.01,2010,36593,4846
25025160502,Census Tract 1605.02,2010,32236,14885
25025160601,Census Tract 1606.01,2010,55163,7362
25025160602,Census Tract 1606.02,2010,43343,6063
25025170100,Census Tract 1701,2010,50357,4642
25025170200,Census Tract 1702,2010,58710,9958
25025170300,Census Tract 1703,2010,65417,7930
25025170400,Census Tract 1704,2010,41829,9825
25025170501,Census Tract 1705.01,2010,37604,10214
25025170502,Census Tract 1705.02,2010,48019,8597
25025170601,Census Tract 1706.01,2010,46250,10120
25025170701,Census Tract 1707.01,2010,42695,11313
25025170702,Census Tract 1707.02,2010,58175,10723
25025170800,Census Tract 1708,2010,50453,7695
25025180101,Census Tract 1801.01,2010,55341,9274
25025180200,Census Tract 1802,2010,63425,13628
25025180301,Census Tract 1803.01,2010,90778,27185
25025180400,Census Tract 1804,2010,68994,20618
25025180500,Census Tract 1805,2010,70444,15408
25025980101,Census Tract 9801.01,2010,NA,NA
25025980300,Census Tract 9803,2010,NA,NA
25025980700,Census Tract 9807,2010,NA,NA
25025981000,Census Tract 9810,2010,NA,NA
25025981100,Census Tract 9811,2010,NA,NA
25025981201,Census Tract 9812.01,2010,NA,NA
25025981202,Census Tract 9812.02,2010,NA,NA
25025981300,Census Tract 9813,2010,NA,NA
25025981501,Census Tract 9815.01,2010,NA,NA
25025981502,Census Tract 9815.02,2010,NA,NA
25025981600,Census Tract 9816,2010,NA,NA
25025981700,Census Tract 9817,2010,NA,NA
25025981800,Census Tract 9818,2010,NA,NA
25025990101,Census Tract 9901.01,2010,25862,5675
25025160101,Census Tract 1601.01,2012,46535,8413
25025160501,Census Tract 1605.01,2012,36207,7218
25025160502,Census Tract 1605.02,2012,56280,23622
25025160601,Census Tract 1606.01,2012,48125,7890
25025160602,Census Tract 1606.02,2012,46300,10237
25025170501,Census Tract 1705.01,2012,38509,7105
25025140105,Census Tract 1401.05,2012,74038,20758
25025170502,Census Tract 1705.02,2012,47614,10614
25025170601,Census Tract 1706.01,2012,47733,8723
25025170701,Census Tract 1707.01,2012,42321,8986
25025000503,Census Tract 5.03,2012,56349,14796
25025000504,Census Tract 5.04,2012,36339,9120
25025000703,Census Tract 7.03,2012,20811,3277
25025000704,Census Tract 7.04,2012,46782,4551
25025000803,Census Tract 8.03,2012,31414,8232
25025010103,Census Tract 101.03,2012,18542,12465
25025010104,Census Tract 101.04,2012,28098,15167
25025010204,Census Tract 102.04,2012,31183,5113
25025080900,Census Tract 809,2012,35368,8070
25025081400,Census Tract 814,2012,45978,5600
25025081800,Census Tract 818,2012,40809,11954
25025090300,Census Tract 903,2012,26684,7893
25025092300,Census Tract 923,2012,38321,2682
25025160400,Census Tract 1604,2012,34886,11051
25025160200,Census Tract 1602,2012,43320,13030
25025170400,Census Tract 1704,2012,44833,7605
25025000502,Census Tract 5.02,2012,43064,17092
25025040600,Census Tract 406,2012,114167,44880
25025051200,Census Tract 512,2012,49866,25102
25025060800,Census Tract 608,2012,90714,14476
25025070200,Census Tract 702,2012,19361,5421
25025082000,Census Tract 820,2012,43375,12472
25025070600,Census Tract 706,2012,94149,10180
25025081300,Census Tract 813,2012,20637,4442
25025081900,Census Tract 819,2012,35432,8093
25025091100,Census Tract 911,2012,54413,11734
25025100400,Census Tract 1004,2012,57531,12863
25025000302,Census Tract 3.02,2012,69438,4688
25025000701,Census Tract 7.01,2012,46796,9215
25025010500,Census Tract 105,2012,39628,9821
25025030400,Census Tract 304,2012,67292,11612
25025050500,Census Tract 505,2012,47932,3631
25025070700,Census Tract 707,2012,64453,36085
25025081200,Census Tract 812,2012,22466,8264
25025081700,Census Tract 817,2012,22950,7637
25025170702,Census Tract 1707.02,2012,48807,9609
25025180101,Census Tract 1801.01,2012,53996,9398
25025180301,Census Tract 1803.01,2012,84053,19179
25025980101,Census Tract 9801.01,2012,NA,NA
25025980300,Census Tract 9803,2012,NA,NA
25025980700,Census Tract 9807,2012,NA,NA
25025091900,Census Tract 919,2012,42067,14548
25025100200,Census Tract 1002,2012,50859,6854
25025101002,Census Tract 1010.02,2012,35490,5047
25025110502,Census Tract 1105.02,2012,61103,15907
25025110601,Census Tract 1106.01,2012,89896,14445
25025130402,Census Tract 1304.02,2012,78207,4913
25025140400,Census Tract 1404,2012,51148,10992
25025000201,Census Tract 2.01,2012,65506,5286
25025000100,Census Tract 1,2012,53571,12591
25025000202,Census Tract 2.02,2012,54607,8559
25025000301,Census Tract 3.01,2012,89688,12260
25025000802,Census Tract 8.02,2012,37951,6565
25025010600,Census Tract 106,2012,84097,31630
25025040100,Census Tract 401,2012,132885,26883
25025040300,Census Tract 403,2012,117921,5982
25025050400,Census Tract 504,2012,56442,7387
25025051000,Census Tract 510,2012,50970,7093
25025981000,Census Tract 9810,2012,NA,NA
25025981100,Census Tract 9811,2012,NA,NA
25025981201,Census Tract 9812.01,2012,NA,NA
25025981202,Census Tract 9812.02,2012,NA,NA
25025981300,Census Tract 9813,2012,NA,NA
25025981501,Census Tract 9815.01,2012,NA,NA
25025981502,Census Tract 9815.02,2012,NA,NA
25025981600,Census Tract 9816,2012,NA,NA
25025981700,Census Tract 9817,2012,NA,NA
25025981800,Census Tract 9818,2012,NA,NA
25025990101,Census Tract 9901.01,2012,NA,NA
25025010404,Census Tract 104.04,2012,15274,3956
25025010405,Census Tract 104.05,2012,12921,1868
25025010203,Census Tract 102.03,2012,32485,6735
25025010408,Census Tract 104.08,2012,51053,7306
25025010701,Census Tract 107.01,2012,95333,11666
25025010403,Census Tract 104.03,2012,15647,6074
25025010702,Census Tract 107.02,2012,93828,19600
25025010801,Census Tract 108.01,2012,158125,38592
25025010802,Census Tract 108.02,2012,91324,14812
25025020101,Census Tract 201.01,2012,96847,8651
25025020301,Census Tract 203.01,2012,74779,32310
25025020302,Census Tract 203.02,2012,88750,48062
25025060400,Census Tract 604,2012,88878,16065
25025060700,Census Tract 607,2012,19481,3471
25025081500,Census Tract 815,2012,31786,18682
25025090600,Census Tract 906,2012,47750,16134
25025091500,Census Tract 915,2012,43700,6475
25025170200,Census Tract 1702,2012,56250,9775
25025170800,Census Tract 1708,2012,51359,7660
25025120600,Census Tract 1206,2012,84236,13744
25025130100,Census Tract 1301,2012,86923,12604
25025140202,Census Tract 1402.02,2012,72390,8218
25025160300,Census Tract 1603,2012,55594,7907
25025170100,Census Tract 1701,2012,52360,6593
25025170300,Census Tract 1703,2012,53323,11432
25025180200,Census Tract 1802,2012,63214,16232
25025110501,Census Tract 1105.01,2012,83646,13716
25025180500,Census Tract 1805,2012,62473,8320
25025092200,Census Tract 922,2012,48988,22636
25025091300,Census Tract 913,2012,31760,3208
25025091700,Census Tract 917,2012,48650,4713
25025100800,Census Tract 1008,2012,67191,6041
25025000401,Census Tract 4.01,2012,35050,10445
25025091400,Census Tract 914,2012,26339,10997
25025010300,Census Tract 103,2012,26842,6566
25025050700,Census Tract 507,2012,63262,10515
25025080300,Census Tract 803,2012,17841,13102
25025080500,Census Tract 805,2012,19841,3472
25025081100,Census Tract 811,2012,46941,6743
25025091600,Census Tract 916,2012,39115,5752
25025100500,Census Tract 1005,2012,52596,7434
25025100900,Census Tract 1009,2012,56019,5946
25025110401,Census Tract 1104.01,2012,53276,16420
25025091800,Census Tract 918,2012,47083,16230
25025092000,Census Tract 920,2012,48125,9660
25025100100,Census Tract 1001,2012,27840,6394
25025100601,Census Tract 1006.01,2012,52841,5989
25025100700,Census Tract 1007,2012,70000,13610
25025101102,Census Tract 1011.02,2012,35893,7143
25025130200,Census Tract 1302,2012,101016,10760
25025060600,Census Tract 606,2012,83625,13817
25025070900,Census Tract 709,2012,53673,7590
25025092400,Census Tract 924,2012,32554,12077
25025020200,Census Tract 202,2012,71875,11806
25025030300,Census Tract 303,2012,123386,19646
25025061000,Census Tract 610,2012,23026,8686
25025061200,Census Tract 612,2012,82702,24349
25025090100,Census Tract 901,2012,33333,6165
25025090200,Census Tract 902,2012,20942,3296
25025090700,Census Tract 907,2012,53194,14152
25025091200,Census Tract 912,2012,64952,12725
25025100300,Census Tract 1003,2012,43750,9608
25025101101,Census Tract 1011.01,2012,52898,17732
25025130300,Census Tract 1303,2012,102115,17929
25025140102,Census Tract 1401.02,2012,64766,16131
25025140300,Census Tract 1403,2012,50274,13490
25025180400,Census Tract 1804,2012,58566,13621
25025030100,Census Tract 301,2012,57902,11632
25025000602,Census Tract 6.02,2012,25574,7443
