"YEAR","GEOID","NAME","num_sml_sbus","num_sml_bbus","vol_sml_sbus","vol_sml_bbus"
1996,"Allston","Allston",90,158,6158004,23423856
1996,"Back Bay","Back Bay",171,385,21871350,66867681
1996,"Beacon Hill","Beacon Hill",57,97,5248454,11737333
1996,"Brighton","Brighton",101,136,6242104,11942662
1996,"Charlestown","Charlestown",50,94,2684483,17039655
1996,"Chinatown","Chinatown",153,272,15877141,43345150
1996,"Dorchester","Dorchester",156,219,8810848,15796304
1996,"Downtown","Downtown",345,590,29162955,112609429
1996,"East Boston","East Boston",85,125,9135449,18782050
1996,"Fenway","Fenway",61,128,3287045,17756014
1996,"Harbor Islands","Harbor Islands",1,2,3731,16790
1996,"Hyde Park","Hyde Park",63,75,2516417,9025267
1996,"Jamaica Plain","Jamaica Plain",77,131,3857820,15591136
1996,"Longwood","Longwood",3,4,72288,679756
1996,"Mattapan","Mattapan",46,39,2527779,2756287
1996,"Mission Hill","Mission Hill",19,53,1008977,3655824
1996,"North End","North End",151,193,10212859,38369124
1996,"Roslindale","Roslindale",38,62,1832650,4570457
1996,"Roxbury","Roxbury",63,142,4763841,18915275
1996,"South Boston","South Boston",165,309,11419657,52933642
1996,"South Boston Waterfront","South Boston Waterfront",24,46,1586744,9031452
1996,"South End","South End",126,217,9757633,30829744
1996,"West End","West End",51,73,2120348,12309211
1996,"West Roxbury","West Roxbury",53,93,2505393,4729092
1996,"_Crews on Ships","_Crews on Ships",0,0,0,0
1997,"Allston","Allston",85,130,8803377,12672967
1997,"Back Bay","Back Bay",239,348,27132653,62763632
1997,"Beacon Hill","Beacon Hill",74,81,4780347,8119166
1997,"Brighton","Brighton",110,138,8731267,13925347
1997,"Charlestown","Charlestown",42,78,2545852,21597795
1997,"Chinatown","Chinatown",135,296,13081852,53944052
1997,"Dorchester","Dorchester",172,250,11902972,20485585
1997,"Downtown","Downtown",350,619,33686714,127611789
1997,"East Boston","East Boston",59,113,4245518,10703155
1997,"Fenway","Fenway",98,107,10962116,10398601
1997,"Harbor Islands","Harbor Islands",0,0,0,0
1997,"Hyde Park","Hyde Park",54,83,4345225,8455472
1997,"Jamaica Plain","Jamaica Plain",69,100,3999333,7275262
1997,"Longwood","Longwood",2,8,52070,177285
1997,"Mattapan","Mattapan",32,33,2899806,698235
1997,"Mission Hill","Mission Hill",21,47,1248390,2392554
1997,"North End","North End",153,218,17171338,41326543
1997,"Roslindale","Roslindale",59,66,1543876,2387281
1997,"Roxbury","Roxbury",73,134,8060295,23127488
1997,"South Boston","South Boston",152,303,15330701,57209687
1997,"South Boston Waterfront","South Boston Waterfront",17,44,2123703,8592194
1997,"South End","South End",122,250,16522216,35251954
1997,"West End","West End",54,87,4186668,11025785
1997,"West Roxbury","West Roxbury",87,81,4267402,1923978
1997,"_Crews on Ships","_Crews on Ships",0,0,0,0
1998,"Allston","Allston",103,111,6453510,18196744
1998,"Back Bay","Back Bay",216,298,19025500,36278640
1998,"Beacon Hill","Beacon Hill",73,73,8484656,6041811
1998,"Brighton","Brighton",141,114,9485172,18758876
1998,"Charlestown","Charlestown",68,66,5098008,11365020
1998,"Chinatown","Chinatown",152,235,12604265,44914914
1998,"Dorchester","Dorchester",219,255,11304688,17791850
1998,"Downtown","Downtown",329,465,32706914,89555052
1998,"East Boston","East Boston",75,95,6302926,4334833
1998,"Fenway","Fenway",88,104,2582225,4106779
1998,"Hyde Park","Hyde Park",98,65,3654645,4085055
1998,"Jamaica Plain","Jamaica Plain",110,95,5962432,4950154
1998,"Longwood","Longwood",7,5,109867,107425
1998,"Mattapan","Mattapan",41,42,3100462,2136890
1998,"Mission Hill","Mission Hill",29,50,704950,2727863
1998,"North End","North End",138,172,14911398,23650883
1998,"Roslindale","Roslindale",93,56,3961390,2119285
1998,"Roxbury","Roxbury",73,133,6204260,17827886
1998,"South Boston","South Boston",179,232,11636741,29975273
1998,"South Boston Waterfront","South Boston Waterfront",22,36,1683803,4861416
1998,"South End","South End",166,197,12567339,19104949
1998,"West End","West End",51,79,3954196,12145095
1998,"West Roxbury","West Roxbury",114,77,7453974,6502250
1999,"Allston","Allston",119,115,6087685,14972401
1999,"Back Bay","Back Bay",230,225,22003450,31727907
1999,"Beacon Hill","Beacon Hill",102,53,6508855,4338234
1999,"Brighton","Brighton",148,162,7790090,8269666
