"YEAR","GEOID","NAME","num_sml_sbus","num_sml_bbus","vol_sml_sbus","vol_sml_bbus"
1996,"25025000101","Census Tract 1.01",10,27,703332,5418837
1996,"25025000102","Census Tract 1.02",12,32,824528,6352591
1996,"25025000201","Census Tract 2.01",11,10,466380,701435
1996,"25025000202","Census Tract 2.02",5,13,63428,139914
1996,"25025000301","Census Tract 3.01",5,10,206168,299881
1996,"25025000302","Census Tract 3.02",5,10,204246,297085
1996,"25025000401","Census Tract 4.01",6,9,414145,468245
1996,"25025000402","Census Tract 4.02",5,4,1374888,123124
1996,"25025000502","Census Tract 5.02",30,10,1690161,346987
1996,"25025000503","Census Tract 5.03",3,3,183555,80764
1996,"25025000505","Census Tract 5.05",2,3,161119,70892
1996,"25025000506","Census Tract 5.06",3,3,214982,94592
1996,"25025000601","Census Tract 6.01",8,7,145510,124990
1996,"25025000603","Census Tract 6.03",3,7,173601,480413
1996,"25025000604","Census Tract 6.04",5,12,283452,784409
1996,"25025000701","Census Tract 7.01",3,15,119393,2361748
1996,"25025000703","Census Tract 7.03",10,17,1005301,708897
1996,"25025000704","Census Tract 7.04",21,34,2031765,1432719
1996,"25025000804","Census Tract 8.04",14,27,765971,5933482
1996,"25025000805","Census Tract 8.05",17,32,922401,7064605
1996,"25025000806","Census Tract 8.06",6,4,232806,1086734
1996,"25025000807","Census Tract 8.07",6,4,212977,994173
1996,"25025010103","Census Tract 101.03",4,7,505556,63428
1996,"25025010104","Census Tract 101.04",19,33,1570767,4277636
1996,"25025010204","Census Tract 102.04",8,13,282525,1323335
1996,"25025010205","Census Tract 102.05",6,10,219614,1028663
1996,"25025010206","Census Tract 102.06",5,8,162447,760894
1996,"25025010300","Census Tract 103",3,4,72288,679757
1996,"25025010403","Census Tract 104.03",5,17,70236,3550564
1996,"25025010404","Census Tract 104.04",6,23,92064,4653991
1996,"25025010405","Census Tract 104.05",4,11,257442,1505474
1996,"25025010408","Census Tract 104.08",4,6,126395,592030
1996,"25025010500","Census Tract 105",13,20,2809472,4805578
1996,"25025010600","Census Tract 106",12,69,2124827,10299533
1996,"25025010701","Census Tract 107.01",68,138,8119636,24849914
1996,"25025010702","Census Tract 107.02",66,132,7798841,23868128
1996,"25025010801","Census Tract 108.01",6,13,498752,1490776
1996,"25025010802","Census Tract 108.02",6,13,519821,1553752
1996,"25025020101","Census Tract 201.01",33,58,3747828,7204636
1996,"25025020200","Census Tract 202",6,14,760304,200560
1996,"25025020301","Census Tract 203.01",28,39,1146111,6608264
1996,"25025020302","Census Tract 203.02",18,25,740320,4332138
1996,"25025020304","Census Tract 203.04",2,2,68469,400661
1996,"25025020305","Census Tract 203.05",22,31,905768,5300286
1996,"25025030100","Census Tract 301",6,3,182821,52235
1996,"25025030200","Census Tract 302",19,17,484151,2186899
1996,"25025030301","Census Tract 303.01",79,131,4961217,29431822
1996,"25025030302","Census Tract 303.02",79,130,4902644,29069884
1996,"25025030400","Census Tract 304",103,154,7644923,32928760
1996,"25025030500","Census Tract 305",23,20,1900964,3201231
1996,"25025040100","Census Tract 401",5,12,74621,4253385
1996,"25025040200","Census Tract 402",2,1,156704,18655
1996,"25025040300","Census Tract 403",6,9,242518,1647254
1996,"25025040401","Census Tract 404.01",3,10,55966,108200
1996,"25025040600","Census Tract 406",16,50,1628598,10566302
1996,"25025040801","Census Tract 408.01",18,12,526076,445859
1996,"25025050101","Census Tract 501.01",6,3,78352,24252
1996,"25025050200","Census Tract 502",11,11,564999,92320
1996,"25025050300","Census Tract 503",5,12,830156,3387783
1996,"25025050400","Census Tract 504",7,16,1593154,5439855
1996,"25025050500","Census Tract 505",1,3,7462,1878578
1996,"25025050600","Census Tract 506",3,6,379061,333357
1996,"25025050700","Census Tract 507",12,6,764756,844742
1996,"25025050901","Census Tract 509.01",15,17,434666,350718
1996,"25025051000","Census Tract 510",3,15,113797,2736717
1996,"25025051101","Census Tract 511.01",12,13,292887,2339362
1996,"25025051200","Census Tract 512",10,23,4076160,1354367
1996,"25025060101","Census Tract 601.01",1,4,14924,608159
1996,"25025060200","Census Tract 602",0,2,0,11193
1996,"25025060301","Census Tract 603.01",4,7,447725,214535
1996,"25025060400","Census Tract 604",6,14,72755,828291
1996,"25025060501","Census Tract 605.01",32,31,1738664,2012896
1996,"25025060601","Census Tract 606.01",73,147,4539682,31888466
1996,"25025060602","Census Tract 606.02",5,10,308011,1999875
1996,"25025060603","Census Tract 606.03",3,6,199686,1402668
1996,"25025060604","Census Tract 606.04",10,21,650442,4568956
1996,"25025060700","Census Tract 607",0,1,0,5597
1996,"25025060800","Census Tract 608",9,10,451456,113797
1996,"25025061000","Census Tract 610",2,3,376835,37310
1996,"25025061101","Census Tract 611.01",2,0,27983,0
1996,"25025061201","Census Tract 612.01",8,43,1516667,11691211
1996,"25025061202","Census Tract 612.02",,,,
1996,"25025061203","Census Tract 612.03",28,47,2232965,5522189
1996,"25025061204","Census Tract 612.04",5,9,428605,1059954
1996,"25025070102","Census Tract 701.02",129,226,13299061,38236700
1996,"25025070103","Census Tract 701.03",9,16,924358,2657662
1996,"25025070104","Census Tract 701.04",49,86,5058041,14542591
1996,"25025070201","Census Tract 702.01",9,18,941992,1328432
1996,"25025070202","Census Tract 702.02",144,256,14952782,40687489
1996,"25025070301","Census Tract 703.01",25,51,3132731,8351642
1996,"25025070302","Census Tract 703.02",15,31,1932154,5150988
1996,"25025070402","Census Tract 704.02",7,8,563387,1886040
