"YEAR","GEOID","under5","fiveto17","NAME"
1980,25025000101,70,231,"Census Tract 1.01"
1980,25025000102,83,271,"Census Tract 1.02"
1980,25025000201,137,460,"Census Tract 2.01"
1980,25025000202,197,619,"Census Tract 2.02"
1980,25025000301,120,343,"Census Tract 3.01"
1980,25025000302,118,340,"Census Tract 3.02"
1980,25025000401,149,410,"Census Tract 4.01"
1980,25025000402,92,253,"Census Tract 4.02"
1980,25025000502,63,93,"Census Tract 5.02"
1980,25025000503,27,40,"Census Tract 5.03"
1980,25025000505,24,35,"Census Tract 5.05"
1980,25025000506,32,47,"Census Tract 5.06"
1980,25025000601,121,355,"Census Tract 6.01"
1980,25025000603,76,233,"Census Tract 6.03"
1980,25025000604,123,381,"Census Tract 6.04"
1980,25025000701,80,125,"Census Tract 7.01"
1980,25025000703,38,98,"Census Tract 7.03"
1980,25025000704,76,198,"Census Tract 7.04"
1980,25025000804,87,256,"Census Tract 8.04"
1980,25025000805,108,316,"Census Tract 8.05"
1980,25025000806,51,149,"Census Tract 8.06"
1980,25025000807,46,136,"Census Tract 8.07"
1980,25025010103,7,87,"Census Tract 101.03"
1980,25025010104,16,94,"Census Tract 101.04"
1980,25025010204,50,80,"Census Tract 102.04"
1980,25025010205,39,62,"Census Tract 102.05"
1980,25025010206,29,46,"Census Tract 102.06"
1980,25025010300,91,277,"Census Tract 103"
1980,25025010403,31,67,"Census Tract 104.03"
1980,25025010404,40,88,"Census Tract 104.04"
1980,25025010405,53,115,"Census Tract 104.05"
1980,25025010408,22,36,"Census Tract 104.08"
1980,25025010500,32,61,"Census Tract 105"
1980,25025010600,26,51,"Census Tract 106"
1980,25025010701,36,98,"Census Tract 107.01"
1980,25025010702,34,94,"Census Tract 107.02"
1980,25025010801,34,65,"Census Tract 108.01"
1980,25025010802,35,67,"Census Tract 108.02"
1980,25025020101,104,289,"Census Tract 201.01"
1980,25025020200,73,123,"Census Tract 202"
1980,25025020301,44,93,"Census Tract 203.01"
1980,25025020302,28,59,"Census Tract 203.02"
1980,25025020304,3,6,"Census Tract 203.04"
1980,25025020305,34,73,"Census Tract 203.05"
1980,25025030100,40,220,"Census Tract 301"
1980,25025030200,36,126,"Census Tract 302"
1980,25025030301,18,26,"Census Tract 303.01"
1980,25025030302,19,28,"Census Tract 303.02"
1980,25025030400,54,248,"Census Tract 304"
1980,25025030500,41,215,"Census Tract 305"
1980,25025040100,41,140,"Census Tract 401"
1980,25025040200,50,253,"Census Tract 402"
1980,25025040300,220,713,"Census Tract 403"
1980,25025040401,159,530,"Census Tract 404.01"
1980,25025040600,105,361,"Census Tract 406"
1980,25025040801,128,440,"Census Tract 408.01"
1980,25025050101,258,746,"Census Tract 501.01"
1980,25025050200,221,661,"Census Tract 502"
1980,25025050300,114,407,"Census Tract 503"
1980,25025050400,76,234,"Census Tract 504"
1980,25025050500,82,259,"Census Tract 505"
1980,25025050600,56,189,"Census Tract 506"
1980,25025050700,172,519,"Census Tract 507"
1980,25025050901,162,582,"Census Tract 509.01"
1980,25025051000,199,740,"Census Tract 510"
1980,25025051101,201,803,"Census Tract 511.01"
1980,25025051200,101,389,"Census Tract 512"
1980,25025060101,153,463,"Census Tract 601.01"
1980,25025060200,137,425,"Census Tract 602"
1980,25025060301,188,519,"Census Tract 603.01"
1980,25025060400,227,771,"Census Tract 604"
1980,25025060501,190,566,"Census Tract 605.01"
