YEAR,GEOID,under5,fiveto17,NAME
1980,Allston,600,1764,Allston
1980,Back Bay,197,436,Back Bay
1980,Beacon Hill,205,472,Beacon Hill
1980,Brighton,1318,3625,Brighton
1980,Charlestown,703,2437,Charlestown
1980,Chinatown,153,430,Chinatown
1980,Dorchester,8492,26230,Dorchester
1980,Downtown,145,346,Downtown
1980,East Boston,1641,5530,East Boston
1980,Fenway,288,676,Fenway
1980,Harbor Islands,1,8,Harbor Islands
1980,Hyde Park,1881,5586,Hyde Park
1980,Jamaica Plain,2537,7021,Jamaica Plain
1980,Longwood,91,277,Longwood
1980,Mattapan,1672,5579,Mattapan
1980,Mission Hill,747,1986,Mission Hill
1980,North End,171,809,North End
1980,Roslindale,1676,4908,Roslindale
1980,Roxbury,3617,10717,Roxbury
1980,South Boston,1582,5176,South Boston
1980,South Boston Waterfront,13,26,South Boston Waterfront
1980,South End,989,2882,South End
1980,West End,79,171,West End
1980,West Roxbury,1319,4447,West Roxbury
1980,_Crews on Ships,1,26,_Crews on Ships
1990,Allston,944,1493,Allston
1990,Back Bay,293,304,Back Bay
1990,Beacon Hill,217,318,Beacon Hill
1990,Brighton,1712,2785,Brighton
1990,Charlestown,860,1541,Charlestown
1990,Chinatown,145,344,Chinatown
1990,Dorchester,9796,21641,Dorchester
1990,Downtown,165,295,Downtown
1990,East Boston,2256,4376,East Boston
1990,Fenway,449,570,Fenway
1990,Harbor Islands,1,7,Harbor Islands
1990,Hyde Park,2311,4626,Hyde Park
1990,Jamaica Plain,2780,5757,Jamaica Plain
1990,Longwood,58,166,Longwood
1990,Mattapan,1962,4809,Mattapan
1990,Mission Hill,958,1920,Mission Hill
1990,North End,187,269,North End
1990,Roslindale,2175,3721,Roslindale
1990,Roxbury,4097,9180,Roxbury
1990,South Boston,1681,3628,South Boston
1990,South Boston Waterfront,16,21,South Boston Waterfront
1990,South End,1025,2356,South End
1990,West End,106,70,West End
1990,West Roxbury,1681,3035,West Roxbury
1990,_Crews on Ships,0,0,_Crews on Ships
2000,Allston,706,1473,Allston
2000,Back Bay,309,368,Back Bay
2000,Beacon Hill,222,340,Beacon Hill
2000,Brighton,1376,2686,Brighton
2000,Charlestown,805,1872,Charlestown
2000,Chinatown,78,225,Chinatown
2000,Dorchester,8618,26122,Dorchester
2000,Downtown,174,372,Downtown
2000,East Boston,2637,6057,East Boston
2000,Fenway,235,424,Fenway
2000,Harbor Islands,5,4,Harbor Islands
2000,Hyde Park,2169,6010,Hyde Park
2000,Jamaica Plain,1952,5379,Jamaica Plain
2000,Longwood,116,267,Longwood
2000,Mattapan,1801,5222,Mattapan
2000,Mission Hill,450,1388,Mission Hill
2000,North End,179,207,North End
2000,Roslindale,1840,4871,Roslindale
2000,Roxbury,3060,9046,Roxbury
2000,South Boston,1399,3709,South Boston
2000,South Boston Waterfront,12,26,South Boston Waterfront
2000,South End,811,2008,South End
2000,West End,161,184,West End
2000,West Roxbury,1853,3628,West Roxbury
2010,Allston,657,1029,Allston
2010,Back Bay,495,401,Back Bay
2010,Beacon Hill,273,359,Beacon Hill
2010,Brighton,1379,2105,Brighton
2010,Charlestown,1023,1489,Charlestown
2010,Chinatown,106,221,Chinatown
2010,Dorchester,7686,20347,Dorchester
2010,Downtown,297,385,Downtown
2010,East Boston,2927,5631,East Boston
2010,Fenway,295,354,Fenway
2010,Harbor Islands,4,0,Harbor Islands
2010,Hyde Park,1810,5442,Hyde Park
2010,Jamaica Plain,2069,3902,Jamaica Plain
2010,Longwood,35,99,Longwood
2010,Mattapan,1400,3965,Mattapan
2010,Mission Hill,511,1337,Mission Hill
2010,North End,178,203,North End
2010,Roslindale,1698,3960,Roslindale
2010,Roxbury,3156,8122,Roxbury
2010,South Boston,1337,2792,South Boston
2010,South Boston Waterfront,43,46,South Boston Waterfront
2010,South End,1198,1951,South End
2010,West End,164,139,West End
2010,West Roxbury,2059,4078,West Roxbury
2020,Allston,694,1070,Allston
2020,Back Bay,462,686,Back Bay
2020,Beacon Hill,261,472,Beacon Hill
2020,Brighton,1588,2802,Brighton
2020,Charlestown,1355,2104,Charlestown
2020,Chinatown,220,514,Chinatown
2020,Dorchester,7002,19824,Dorchester
2020,Downtown,325,468,Downtown
2020,East Boston,2266,5974,East Boston
2020,Fenway,488,572,Fenway
2020,Harbor Islands,0,0,Harbor Islands
2020,Hyde Park,1684,5119,Hyde Park
2020,Jamaica Plain,2130,3839,Jamaica Plain
2020,Longwood,18,26,Longwood
2020,Mattapan,1349,3978,Mattapan
2020,Mission Hill,589,1333,Mission Hill
2020,North End,218,351,North End
2020,Roslindale,1745,4008,Roslindale
2020,Roxbury,2971,8410,Roxbury
2020,South Boston,1722,2581,South Boston
2020,South Boston Waterfront,147,146,South Boston Waterfront
2020,South End,1372,2217,South End
2020,West End,293,314,West End
2020,West Roxbury,1813,4291,West Roxbury
2020,_Boston Harbor,0,0,_Boston Harbor
