YEAR,GEOID,white,black,hisp,aapi,ainh,other,twoplus,NAME
1980,Allston,1256,282,364,414,5,43,0,Allston
1980,Back Bay,458,67,57,40,0,11,0,Back Bay
1980,Beacon Hill,608,25,12,20,0,12,0,Beacon Hill
1980,Brighton,3591,284,362,615,12,79,0,Brighton
1980,Charlestown,3051,2,24,34,1,28,0,Charlestown
1980,Chinatown,39,13,7,522,0,2,0,Chinatown
1980,Dorchester,12273,17221,4134,143,116,835,0,Dorchester
1980,Downtown,119,14,9,346,0,3,0,Downtown
1980,East Boston,6699,46,332,19,10,65,0,East Boston
1980,Fenway,404,212,170,111,2,65,0,Fenway
1980,Harbor Islands,5,3,1,0,0,0,0,Harbor Islands
1980,Hyde Park,5400,1704,234,46,11,72,0,Hyde Park
1980,Jamaica Plain,3439,2361,3486,115,32,125,0,Jamaica Plain
1980,Longwood,13,272,80,0,1,2,0,Longwood
1980,Mattapan,1089,5778,245,6,33,100,0,Mattapan
1980,Mission Hill,589,973,1025,82,15,49,0,Mission Hill
1980,North End,924,8,38,0,0,10,0,North End
1980,Roslindale,5833,279,336,67,1,68,0,Roslindale
1980,Roxbury,303,11330,2247,42,38,374,0,Roxbury
1980,South Boston,6587,4,55,27,7,78,0,South Boston
1980,South Boston Waterfront,33,0,0,0,0,6,0,South Boston Waterfront
1980,South End,750,1152,1023,881,2,63,0,South End
1980,West End,215,12,11,3,0,9,0,West End
1980,West Roxbury,5493,43,110,69,3,48,0,West Roxbury
1980,_Crews on Ships,26,1,0,0,0,0,0,_Crews on Ships
1990,Allston,782,454,603,558,5,49,0,Allston
1990,Back Bay,491,45,22,33,2,7,0,Back Bay
1990,Beacon Hill,461,18,12,39,0,5,0,Beacon Hill
1990,Brighton,2475,545,675,744,9,67,0,Brighton
1990,Charlestown,2131,36,105,111,18,1,0,Charlestown
1990,Chinatown,15,24,10,438,1,1,0,Chinatown
1990,Dorchester,7281,16553,5171,1331,155,1202,0,Dorchester
