YEAR,GEOID,under5,fiveto17,NAME
1980,25025000101,70.0,231.0,Census Tract 1.01
1980,25025000102,83.0,271.0,Census Tract 1.02
1980,25025000201,137.0,460.0,Census Tract 2.01
1980,25025000202,197.0,619.0,Census Tract 2.02
1980,25025000301,120.0,343.0,Census Tract 3.01
1980,25025000302,118.0,340.0,Census Tract 3.02
1980,25025000401,149.0,410.0,Census Tract 4.01
1980,25025000402,92.0,253.0,Census Tract 4.02
1980,25025000502,63.0,93.0,Census Tract 5.02
1980,25025000503,27.0,40.0,Census Tract 5.03
1980,25025000505,24.0,35.0,Census Tract 5.05
1980,25025000506,32.0,47.0,Census Tract 5.06
1980,25025000601,121.0,355.0,Census Tract 6.01
1980,25025000603,76.0,233.0,Census Tract 6.03
1980,25025000604,123.0,381.0,Census Tract 6.04
1980,25025000701,80.0,125.0,Census Tract 7.01
1980,25025000703,38.0,98.0,Census Tract 7.03
1980,25025000704,76.0,198.0,Census Tract 7.04
1980,25025000804,87.0,256.0,Census Tract 8.04
1980,25025000805,108.0,316.0,Census Tract 8.05
1980,25025000806,51.0,149.0,Census Tract 8.06
1980,25025000807,46.0,136.0,Census Tract 8.07
1980,25025010103,7.0,87.0,Census Tract 101.03
1980,25025010104,16.0,94.0,Census Tract 101.04
1980,25025010204,50.0,80.0,Census Tract 102.04
1980,25025010205,39.0,62.0,Census Tract 102.05
1980,25025010206,29.0,46.0,Census Tract 102.06
1980,25025010300,91.0,277.0,Census Tract 103
1980,25025010403,31.0,67.0,Census Tract 104.03
1980,25025010404,40.0,88.0,Census Tract 104.04
1980,25025010405,53.0,115.0,Census Tract 104.05
1980,25025010408,22.0,36.0,Census Tract 104.08
1980,25025010500,32.0,61.0,Census Tract 105
1980,25025010600,26.0,51.0,Census Tract 106
1980,25025010701,36.0,98.0,Census Tract 107.01
1980,25025010702,34.0,94.0,Census Tract 107.02
1980,25025010801,34.0,65.0,Census Tract 108.01
1980,25025010802,35.0,67.0,Census Tract 108.02
1980,25025020101,104.0,289.0,Census Tract 201.01
1980,25025020200,73.0,123.0,Census Tract 202
1980,25025020301,44.0,93.0,Census Tract 203.01
1980,25025020302,28.0,59.0,Census Tract 203.02
1980,25025020304,3.0,6.0,Census Tract 203.04
1980,25025020305,34.0,73.0,Census Tract 203.05
1980,25025030100,40.0,220.0,Census Tract 301
1980,25025030200,36.0,126.0,Census Tract 302
1980,25025030301,18.0,26.0,Census Tract 303.01
1980,25025030302,19.0,28.0,Census Tract 303.02
1980,25025030400,54.0,248.0,Census Tract 304
1980,25025030500,41.0,215.0,Census Tract 305
1980,25025040100,41.0,140.0,Census Tract 401
1980,25025040200,50.0,253.0,Census Tract 402
1980,25025040300,220.0,713.0,Census Tract 403
1980,25025040401,159.0,530.0,Census Tract 404.01
1980,25025040600,105.0,361.0,Census Tract 406
1980,25025040801,128.0,440.0,Census Tract 408.01
1980,25025050101,258.0,746.0,Census Tract 501.01
1980,25025050200,221.0,661.0,Census Tract 502
1980,25025050300,114.0,407.0,Census Tract 503
1980,25025050400,76.0,234.0,Census Tract 504
1980,25025050500,82.0,259.0,Census Tract 505
1980,25025050600,56.0,189.0,Census Tract 506
1980,25025050700,172.0,519.0,Census Tract 507
1980,25025050901,162.0,582.0,Census Tract 509.01
1980,25025051000,199.0,740.0,Census Tract 510
1980,25025051101,201.0,803.0,Census Tract 511.01
1980,25025051200,101.0,389.0,Census Tract 512
1980,25025060101,153.0,463.0,Census Tract 601.01
1980,25025060200,137.0,425.0,Census Tract 602
1980,25025060301,188.0,519.0,Census Tract 603.01
1980,25025060400,227.0,771.0,Census Tract 604
1980,25025060501,190.0,566.0,Census Tract 605.01
1980,25025060601,39.0,81.0,Census Tract 606.01
1980,25025060602,3.0,5.0,Census Tract 606.02
1980,25025060603,2.0,4.0,Census Tract 606.03
1980,25025060604,6.0,12.0,Census Tract 606.04
1980,25025060700,177.0,577.0,Census Tract 607
1980,25025060800,121.0,493.0,Census Tract 608
1980,25025061000,188.0,725.0,Census Tract 610
1980,25025061101,98.0,371.0,Census Tract 611.01
1980,25025061201,48.0,159.0,Census Tract 612.01
1980,25025061202,,,Census Tract 612.02
1980,25025061203,16.0,27.0,Census Tract 612.03
1980,25025061204,3.0,5.0,Census Tract 612.04
1980,25025070102,22.0,45.0,Census Tract 701.02
1980,25025070103,1.0,3.0,Census Tract 701.03
1980,25025070104,8.0,17.0,Census Tract 701.04
1980,25025070201,77.0,229.0,Census Tract 702.01
1980,25025070202,151.0,427.0,Census Tract 702.02
1980,25025070301,43.0,76.0,Census Tract 703.01
1980,25025070302,28.0,53.0,Census Tract 703.02
1980,25025070402,133.0,409.0,Census Tract 704.02
1980,25025070501,93.0,284.0,Census Tract 705.01
1980,25025070502,169.0,512.0,Census Tract 705.02
1980,25025070600,85.0,258.0,Census Tract 706
1980,25025070700,66.0,211.0,Census Tract 707
1980,25025070801,24.0,76.0,Census Tract 708.01
1980,25025070802,67.0,214.0,Census Tract 708.02
1980,25025070901,62.0,169.0,Census Tract 709.01
1980,25025070902,104.0,285.0,Census Tract 709.02
1980,25025071101,110.0,260.0,Census Tract 711.01
1980,25025071201,91.0,320.0,Census Tract 712.01
1980,25025080100,160.0,388.0,Census Tract 801
1980,25025080300,234.0,747.0,Census Tract 803
1980,25025080401,304.0,862.0,Census Tract 804.01
1980,25025080500,234.0,776.0,Census Tract 805
1980,25025080601,122.0,474.0,Census Tract 806.01
1980,25025080801,243.0,803.0,Census Tract 808.01
1980,25025080900,136.0,366.0,Census Tract 809
1980,25025081001,276.0,562.0,Census Tract 810.01
1980,25025081101,39.0,105.0,Census Tract 811.01
1980,25025081102,91.0,256.0,Census Tract 811.02
1980,25025081200,410.0,1313.0,Census Tract 812
1980,25025081301,148.0,448.0,Census Tract 813.01
1980,25025081302,207.0,626.0,Census Tract 813.02
1980,25025081400,162.0,432.0,Census Tract 814
1980,25025081500,174.0,557.0,Census Tract 815
1980,25025081700,241.0,892.0,Census Tract 817
1980,25025081800,167.0,595.0,Census Tract 818
1980,25025081900,212.0,703.0,Census Tract 819
1980,25025082000,222.0,733.0,Census Tract 820
1980,25025082100,658.0,1462.0,Census Tract 821
1980,25025090100,407.0,1268.0,Census Tract 901
1980,25025090200,253.0,589.0,Census Tract 902
1980,25025090300,318.0,918.0,Census Tract 903
1980,25025090400,238.0,735.0,Census Tract 904
1980,25025090600,196.0,490.0,Census Tract 906
1980,25025090700,220.0,655.0,Census Tract 907
1980,25025090901,139.0,624.0,Census Tract 909.01
1980,25025091001,156.0,408.0,Census Tract 910.01
1980,25025091100,310.0,935.0,Census Tract 911
1980,25025091200,245.0,659.0,Census Tract 912
1980,25025091300,298.0,675.0,Census Tract 913
1980,25025091400,246.0,658.0,Census Tract 914
1980,25025091500,345.0,1017.0,Census Tract 915
1980,25025091600,184.0,495.0,Census Tract 916
1980,25025091700,280.0,746.0,Census Tract 917
1980,25025091800,306.0,1053.0,Census Tract 918
1980,25025091900,262.0,980.0,Census Tract 919
1980,25025092000,463.0,1648.0,Census Tract 920
1980,25025092101,339.0,983.0,Census Tract 921.01
1980,25025092200,240.0,706.0,Census Tract 922
1980,25025092300,276.0,868.0,Census Tract 923
1980,25025092400,503.0,1623.0,Census Tract 924
1980,25025100100,398.0,1371.0,Census Tract 1001
1980,25025100200,276.0,779.0,Census Tract 1002
1980,25025100300,281.0,1003.0,Census Tract 1003
1980,25025100400,380.0,1007.0,Census Tract 1004
1980,25025100500,444.0,1415.0,Census Tract 1005
1980,25025100601,329.0,1103.0,Census Tract 1006.01
1980,25025100603,126.0,381.0,Census Tract 1006.03
1980,25025100700,226.0,786.0,Census Tract 1007
1980,25025100800,242.0,877.0,Census Tract 1008
1980,25025100900,221.0,723.0,Census Tract 1009
1980,25025101001,459.0,1353.0,Census Tract 1010.01
1980,25025101002,402.0,1402.0,Census Tract 1010.02
1980,25025101101,222.0,866.0,Census Tract 1011.01
1980,25025101102,368.0,1223.0,Census Tract 1011.02
1980,25025110104,109.0,328.0,Census Tract 1101.04
1980,25025110105,123.0,373.0,Census Tract 1101.05
1980,25025110106,72.0,217.0,Census Tract 1101.06
1980,25025110201,74.0,251.0,Census Tract 1102.01
1980,25025110301,94.0,361.0,Census Tract 1103.01
1980,25025110401,255.0,633.0,Census Tract 1104.01
1980,25025110403,228.0,731.0,Census Tract 1104.03
1980,25025110501,199.0,700.0,Census Tract 1105.01
