YEAR,GEOID,white,black,hisp,aapi,ainh,other,twoplus,NAME
1980,25025000101,260,2,23,12,1,2,0,Census Tract 1.01
1980,25025000102,306,3,28,14,1,4,0,Census Tract 1.02
1980,25025000201,502,16,38,35,0,6,0,Census Tract 2.01
1980,25025000202,615,93,49,44,8,7,0,Census Tract 2.02
1980,25025000301,393,8,26,32,1,5,0,Census Tract 3.01
1980,25025000302,390,7,25,31,1,4,0,Census Tract 3.02
1980,25025000401,367,18,29,137,1,7,0,Census Tract 4.01
1980,25025000402,228,11,18,85,0,4,0,Census Tract 4.02
1980,25025000502,100,5,11,27,1,12,0,Census Tract 5.02
1980,25025000503,43,2,5,12,0,5,0,Census Tract 5.03
1980,25025000505,38,2,4,10,0,5,0,Census Tract 5.05
1980,25025000506,50,3,6,13,0,5,0,Census Tract 5.06
1980,25025000601,337,8,29,92,0,10,0,Census Tract 6.01
1980,25025000603,116,96,76,16,0,4,0,Census Tract 6.03
1980,25025000604,188,157,125,27,1,7,0,Census Tract 6.04
1980,25025000701,106,11,18,67,0,3,0,Census Tract 7.01
1980,25025000703,61,8,18,45,0,3,0,Census Tract 7.03
1980,25025000704,124,17,36,92,0,6,0,Census Tract 7.04
1980,25025000804,186,29,48,71,2,7,0,Census Tract 8.04
1980,25025000805,230,36,60,88,2,9,0,Census Tract 8.05
1980,25025000806,108,17,28,41,0,4,0,Census Tract 8.06
1980,25025000807,99,15,26,38,0,4,0,Census Tract 8.07
1980,25025010103,67,5,12,5,0,5,0,Census Tract 101.03
1980,25025010104,73,9,14,13,0,1,0,Census Tract 101.04
1980,25025010204,48,22,29,14,0,18,0,Census Tract 102.04
1980,25025010205,37,17,22,11,0,14,0,Census Tract 102.05
1980,25025010206,28,13,17,8,0,10,0,Census Tract 102.06
1980,25025010300,13,272,80,0,1,2,0,Census Tract 103
1980,25025010403,33,35,15,13,0,2,0,Census Tract 104.03
1980,25025010404,43,45,21,17,0,3,0,Census Tract 104.04
1980,25025010405,55,59,27,23,0,4,0,Census Tract 104.05
1980,25025010408,22,9,12,7,0,8,0,Census Tract 104.08
1980,25025010500,29,41,14,7,0,2,0,Census Tract 105
1980,25025010600,34,12,7,23,0,1,0,Census Tract 106
1980,25025010701,114,5,11,2,0,3,0,Census Tract 107.01
1980,25025010702,109,4,10,2,0,3,0,Census Tract 107.02
1980,25025010801,84,2,8,3,0,0,0,Census Tract 108.01
1980,25025010802,88,3,8,3,0,2,0,Census Tract 108.02
1980,25025020101,373,5,5,8,0,2,0,Census Tract 201.01
1980,25025020200,161,15,3,11,0,8,0,Census Tract 202
1980,25025020301,118,7,6,2,0,4,0,Census Tract 203.01
1980,25025020302,74,5,4,1,0,4,0,Census Tract 203.02
1980,25025020304,7,0,0,0,0,0,0,Census Tract 203.04
1980,25025020305,91,5,5,1,0,4,0,Census Tract 203.05
1980,25025030100,248,0,12,0,0,0,0,Census Tract 301
1980,25025030200,150,0,10,0,0,2,0,Census Tract 302
1980,25025030301,40,3,1,0,0,0,0,Census Tract 303.01
1980,25025030302,43,3,1,0,0,0,0,Census Tract 303.02
