"YEAR","GEOID","NAME","total_workers_16_and_over","car_truck_van_alone","car_truck_van_carpool","public_transportation","taxicab","motorcycle","bicycle","walked","other_means","worked_from_home"
1990,"25025000101","Census Tract 1.01",1034,530,110,237,7,3,9,112,12,14
1990,"25025000102","Census Tract 1.02",1214,621,129,278,9,4,11,132,13,17
1990,"25025000201","Census Tract 2.01",2352,1486,204,509,0,0,18,103,6,26
1990,"25025000202","Census Tract 2.02",2211,1130,221,713,0,0,12,113,9,13
1990,"25025000301","Census Tract 3.01",1901,954,260,581,0,0,10,68,0,28
1990,"25025000302","Census Tract 3.02",1883,946,258,575,0,0,9,68,0,27
1990,"25025000401","Census Tract 4.01",3054,1086,413,1344,0,0,59,111,0,41
1990,"25025000402","Census Tract 4.02",1977,956,158,659,0,0,21,132,5,46
1990,"25025000502","Census Tract 5.02",3007,1108,181,1336,0,0,32,298,0,52
1990,"25025000503","Census Tract 5.03",1595,514,118,808,3,6,13,116,4,13
1990,"25025000505","Census Tract 5.05",1401,451,104,709,2,5,12,102,4,12
1990,"25025000506","Census Tract 5.06",1869,602,139,946,3,7,15,136,5,16
1990,"25025000601","Census Tract 6.01",2311,1199,297,538,7,10,9,167,0,84
1990,"25025000603","Census Tract 6.03",874,325,44,366,4,0,16,95,0,24
1990,"25025000604","Census Tract 6.04",1428,531,73,598,6,0,27,155,0,38
1990,"25025000701","Census Tract 7.01",2806,782,256,1474,6,26,24,205,0,33
1990,"25025000703","Census Tract 7.03",1533,423,87,812,1,6,40,156,3,5
1990,"25025000704","Census Tract 7.04",3100,856,176,1642,3,13,81,314,5,10
1990,"25025000804","Census Tract 8.04",1891,613,252,688,0,9,59,226,18,26
1990,"25025000805","Census Tract 8.05",2280,736,298,822,0,11,71,289,22,31
1990,"25025000806","Census Tract 8.06",592,168,33,160,3,0,9,213,3,3
1990,"25025000807","Census Tract 8.07",543,154,30,146,3,0,9,195,3,3
1990,"25025010103","Census Tract 101.03",1791,67,26,363,0,0,64,1231,21,19
1990,"25025010104","Census Tract 101.04",2940,503,38,943,20,8,83,1187,54,104
1990,"25025010204","Census Tract 102.04",1899,331,70,647,13,0,84,718,0,36
1990,"25025010205","Census Tract 102.05",1475,257,54,503,10,0,65,558,0,28
1990,"25025010206","Census Tract 102.06",1092,190,40,372,8,0,48,413,0,21
1990,"25025010300","Census Tract 103",1174,119,31,309,7,0,31,603,18,56
1990,"25025010403","Census Tract 104.03",1795,327,59,701,9,6,31,634,8,20
1990,"25025010404","Census Tract 104.04",2351,429,77,919,11,7,41,830,11,26
1990,"25025010405","Census Tract 104.05",2105,206,139,714,18,0,82,876,0,70
1990,"25025010408","Census Tract 104.08",848,148,31,289,6,0,37,321,0,16
1990,"25025010500","Census Tract 105",1704,421,57,510,10,0,19,636,18,33
1990,"25025010600","Census Tract 106",1129,366,22,338,9,0,8,320,5,61
1990,"25025010701","Census Tract 107.01",1881,421,74,479,29,0,52,721,10,95
1990,"25025010702","Census Tract 107.02",1808,404,71,461,27,0,50,693,10,92
1990,"25025010801","Census Tract 108.01",2223,507,102,473,11,0,38,905,11,176
1990,"25025010802","Census Tract 108.02",2315,529,106,492,11,0,40,943,11,183
1990,"25025020101","Census Tract 201.01",3062,705,74,514,14,0,32,1524,32,167
1990,"25025020200","Census Tract 202",2586,379,66,628,7,0,28,1344,28,106
1990,"25025020301","Census Tract 203.01",1262,233,26,261,16,8,8,664,20,26
1990,"25025020302","Census Tract 203.02",789,147,16,162,11,5,5,415,13,15
1990,"25025020304","Census Tract 203.04",72,14,2,15,1,0,0,38,1,1
1990,"25025020305","Census Tract 203.05",965,180,19,198,13,6,6,508,16,19
1990,"25025030100","Census Tract 301",1285,269,33,454,6,0,13,510,0,0
1990,"25025030200","Census Tract 302",864,159,28,206,11,0,0,421,0,39
1990,"25025030301","Census Tract 303.01",761,175,25,134,0,0,0,384,26,17
1990,"25025030302","Census Tract 303.02",766,176,25,136,0,0,0,387,25,17
1990,"25025030400","Census Tract 304",2520,432,112,598,18,0,0,1242,57,61
1990,"25025030500","Census Tract 305",1382,291,49,302,19,0,9,694,0,18
1990,"25025040100","Census Tract 401",1255,508,132,286,8,0,0,251,0,70
1990,"25025040200","Census Tract 402",515,197,56,139,0,0,0,98,6,19
1990,"25025040300","Census Tract 403",2427,1046,182,840,27,0,0,272,25,35
1990,"25025040401","Census Tract 404.01",1084,405,85,313,0,0,34,228,0,19
1990,"25025040600","Census Tract 406",1436,654,141,445,9,0,0,109,14,64
1990,"25025040801","Census Tract 408.01",1520,620,70,504,0,0,7,255,25,39
1990,"25025050101","Census Tract 501.01",1470,582,173,544,0,0,0,160,0,11
1990,"25025050200","Census Tract 502",1764,599,295,749,0,8,0,79,17,17
1990,"25025050300","Census Tract 503",530,129,31,299,0,0,0,59,5,7
1990,"25025050400","Census Tract 504",967,291,77,476,0,0,0,91,9,23
1990,"25025050500","Census Tract 505",846,230,89,435,10,0,0,82,0,0
1990,"25025050600","Census Tract 506",649,222,155,135,0,0,0,125,6,6
1990,"25025050700","Census Tract 507",1210,511,152,401,9,0,13,117,0,7
1990,"25025050901","Census Tract 509.01",1619,623,224,636,0,19,0,85,13,19
1990,"25025051000","Census Tract 510",1844,861,197,654,0,5,0,75,0,52
1990,"25025051101","Census Tract 511.01",2329,1048,258,869,12,13,0,103,6,20
1990,"25025051200","Census Tract 512",1153,456,62,484,0,0,0,123,28,0
1990,"25025060101","Census Tract 601.01",1582,821,248,435,0,0,0,72,0,6
1990,"25025060200","Census Tract 602",1164,495,135,373,5,0,0,132,0,24
1990,"25025060301","Census Tract 603.01",1636,713,188,535,0,0,20,166,0,14
1990,"25025060400","Census Tract 604",2305,969,326,716,9,0,22,219,19,25
1990,"25025060501","Census Tract 605.01",1775,778,153,593,0,0,6,235,0,10
1990,"25025060601","Census Tract 606.01",500,206,65,97,0,0,4,88,10,30
1990,"25025060602","Census Tract 606.02",36,15,4,8,0,0,0,6,1,2
1990,"25025060603","Census Tract 606.03",21,9,3,4,0,0,0,4,0,1
1990,"25025060604","Census Tract 606.04",73,30,9,14,0,0,1,13,2,4
1990,"25025060700","Census Tract 607",348,60,39,127,14,0,6,93,9,0
1990,"25025060800","Census Tract 608",1619,528,216,510,41,0,8,269,12,35
1990,"25025061000","Census Tract 610",703,230,52,308,5,0,12,73,15,8
1990,"25025061101","Census Tract 611.01",556,204,61,253,5,0,0,33,0,0
1990,"25025061201","Census Tract 612.01",736,314,88,226,0,0,0,93,15,0
1990,"25025061202","Census Tract 612.02",,,,,,,,,,
1990,"25025061203","Census Tract 612.03",385,164,24,116,5,0,12,49,15,0
1990,"25025061204","Census Tract 612.04",73,31,5,22,1,0,2,9,3,0
1990,"25025070102","Census Tract 701.02",384,47,29,97,4,0,0,157,11,39
1990,"25025070103","Census Tract 701.03",27,3,2,7,0,0,0,11,1,3
1990,"25025070104","Census Tract 701.04",147,18,11,37,2,0,0,60,4,15
1990,"25025070201","Census Tract 702.01",418,63,84,80,0,0,0,161,25,5
1990,"25025070202","Census Tract 702.02",1082,152,170,231,4,0,0,426,53,46
1990,"25025070301","Census Tract 703.01",1460,369,51,333,11,0,13,571,0,112
1990,"25025070302","Census Tract 703.02",899,227,31,206,6,0,8,352,0,69
1990,"25025070402","Census Tract 704.02",626,69,156,124,0,0,0,266,11,0
1990,"25025070501","Census Tract 705.01",1138,238,182,350,15,0,14,316,4,19
1990,"25025070502","Census Tract 705.02",2054,430,329,633,27,0,24,571,7,33
1990,"25025070600","Census Tract 706",1890,522,126,431,7,0,32,725,0,47
1990,"25025070700","Census Tract 707",1313,355,67,425,17,0,13,408,8,20
1990,"25025070801","Census Tract 708.01",549,134,39,200,4,0,16,122,8,26
1990,"25025070802","Census Tract 708.02",1530,374,108,559,10,0,45,341,21,72
1990,"25025070901","Census Tract 709.01",623,188,38,280,2,0,3,102,0,10
1990,"25025070902","Census Tract 709.02",1054,318,63,472,4,0,6,173,0,18
1990,"25025071101","Census Tract 711.01",1631,414,207,530,7,12,41,378,11,31
1990,"25025071201","Census Tract 712.01",422,101,68,41,7,0,18,127,32,28
1990,"25025080100","Census Tract 801",618,219,117,210,17,0,0,23,32,0
1990,"25025080300","Census Tract 803",589,143,45,354,0,0,0,36,0,11
1990,"25025080401","Census Tract 804.01",697,264,54,312,4,0,2,49,12,0
1990,"25025080500","Census Tract 805",928,325,47,477,9,0,5,65,0,0
1990,"25025080601","Census Tract 806.01",427,102,32,262,0,0,0,19,0,12
1990,"25025080801","Census Tract 808.01",1186,217,113,361,3,0,14,418,9,51
1990,"25025080900","Census Tract 809",1919,410,167,892,0,0,24,372,7,47
1990,"25025081001","Census Tract 810.01",2220,489,137,929,0,0,14,606,0,45
1990,"25025081101","Census Tract 811.01",576,190,50,244,2,0,7,72,6,5
1990,"25025081102","Census Tract 811.02",1173,385,104,496,4,0,16,146,12,10
1990,"25025081200","Census Tract 812",1122,318,153,465,8,0,29,142,7,0
1990,"25025081301","Census Tract 813.01",532,160,88,216,3,0,9,45,4,7
1990,"25025081302","Census Tract 813.02",746,224,124,303,4,0,13,63,5,10
1990,"25025081400","Census Tract 814",1115,441,214,319,5,0,8,103,0,25
1990,"25025081500","Census Tract 815",890,459,118,251,0,0,0,35,20,7
1990,"25025081700","Census Tract 817",1381,367,206,695,0,0,0,96,7,10
1990,"25025081800","Census Tract 818",1106,452,66,466,24,0,0,37,0,61
1990,"25025081900","Census Tract 819",1436,673,212,405,20,0,0,77,49,0
1990,"25025082000","Census Tract 820",1089,443,149,435,19,0,0,43,0,0
1990,"25025082100","Census Tract 821",1468,489,258,663,16,0,0,17,12,13
1990,"25025090100","Census Tract 901",1729,734,217,640,18,0,0,25,85,10
1990,"25025090200","Census Tract 902",695,135,177,306,26,0,0,11,18,22
1990,"25025090300","Census Tract 903",1025,584,108,267,0,0,0,30,9,27
1990,"25025090400","Census Tract 904",832,354,164,264,0,0,0,17,16,17
1990,"25025090600","Census Tract 906",646,205,131,250,0,0,0,37,19,4
1990,"25025090700","Census Tract 907",1866,735,196,678,6,0,0,194,22,35
1990,"25025090901","Census Tract 909.01",1043,350,142,468,0,0,25,47,0,11
1990,"25025091001","Census Tract 910.01",1229,528,227,408,6,0,23,31,6,0
1990,"25025091100","Census Tract 911",2255,967,287,773,55,0,0,153,7,13
