"YEAR","GEOID","NAME","large","micro","sm10to49","sm5to9","x"
1998,"Zip Code 02111","Zip Code 02111",76,455,253,184,0
1998,"Zip Code 02113","Zip Code 02113",3,91,38,39,0
1998,"Zip Code 02114","Zip Code 02114",58,433,168,137,0
1998,"Zip Code 02115","Zip Code 02115",64,234,180,139,0
1998,"Zip Code 02116","Zip Code 02116",231,950,557,445,0
1998,"Zip Code 02118","Zip Code 02118",42,315,151,140,0
1998,"Zip Code 02119","Zip Code 02119",25,177,91,62,0
1998,"Zip Code 02120","Zip Code 02120",5,74,20,36,0
1998,"Zip Code 02121","Zip Code 02121",5,83,24,27,0
1998,"Zip Code 02122","Zip Code 02122",23,226,104,99,0
1998,"Zip Code 02124","Zip Code 02124",17,276,83,88,0
1998,"Zip Code 02125","Zip Code 02125",33,183,74,76,0
1998,"Zip Code 02126","Zip Code 02126",7,131,47,38,0
1998,"Zip Code 02127","Zip Code 02127",45,294,151,118,0
1998,"Zip Code 02128","Zip Code 02128",66,293,146,132,0
1998,"Zip Code 02129","Zip Code 02129",42,201,100,70,0
1998,"Zip Code 02130","Zip Code 02130",35,309,123,101,0
1998,"Zip Code 02131","Zip Code 02131",13,220,67,66,0
1998,"Zip Code 02132","Zip Code 02132",25,269,94,74,0
1998,"Zip Code 02134","Zip Code 02134",48,251,121,92,0
1998,"Zip Code 02135","Zip Code 02135",60,352,127,145,0
1998,"Zip Code 02136","Zip Code 02136",17,232,85,79,0
1998,"Zip Code 02210","Zip Code 02210",92,299,226,150,0
1998,"Zip Code 02215","Zip Code 02215",71,268,167,113,0
1998,"Zip Codes 02108-10","Zip Codes 02108-10",401,2322,996,756,0
1999,"Zip Code 02111","Zip Code 02111",80,473,252,167,0
1999,"Zip Code 02113","Zip Code 02113",2,94,43,35,0
1999,"Zip Code 02114","Zip Code 02114",60,462,169,132,0
1999,"Zip Code 02115","Zip Code 02115",71,292,176,123,0
1999,"Zip Code 02116","Zip Code 02116",238,978,565,420,0
1999,"Zip Code 02118","Zip Code 02118",48,325,159,126,0
1999,"Zip Code 02119","Zip Code 02119",31,170,92,67,0
1999,"Zip Code 02120","Zip Code 02120",5,74,29,33,0
1999,"Zip Code 02121","Zip Code 02121",7,89,27,24,0
1999,"Zip Code 02122","Zip Code 02122",24,248,106,106,0
1999,"Zip Code 02124","Zip Code 02124",20,288,90,100,0
1999,"Zip Code 02125","Zip Code 02125",37,222,80,78,0
1999,"Zip Code 02126","Zip Code 02126",7,134,49,40,0
