"YEAR","GEOID","NAME","feara","fireprof","hced","other","prodcon","retail","x"
1998,"Zip Code 02111","Zip Code 02111",101,466,94,109,80,112,6
1998,"Zip Code 02113","Zip Code 02113",73,29,12,14,11,31,1
1998,"Zip Code 02114","Zip Code 02114",101,361,142,64,48,74,6
1998,"Zip Code 02115","Zip Code 02115",154,194,92,70,18,85,4
1998,"Zip Code 02116","Zip Code 02116",294,944,203,212,114,402,14
1998,"Zip Code 02118","Zip Code 02118",75,172,91,59,168,79,4
1998,"Zip Code 02119","Zip Code 02119",37,70,53,51,75,64,5
1998,"Zip Code 02120","Zip Code 02120",14,31,55,13,6,15,1
1998,"Zip Code 02121","Zip Code 02121",12,16,29,27,27,24,4
1998,"Zip Code 02122","Zip Code 02122",55,99,45,69,93,86,5
1998,"Zip Code 02124","Zip Code 02124",51,70,115,78,67,76,7
1998,"Zip Code 02125","Zip Code 02125",47,68,41,50,83,68,9
1998,"Zip Code 02126","Zip Code 02126",28,41,31,33,35,53,2
1998,"Zip Code 02127","Zip Code 02127",85,102,44,81,218,70,8
1998,"Zip Code 02128","Zip Code 02128",91,105,53,72,213,96,7
1998,"Zip Code 02129","Zip Code 02129",39,152,31,48,107,33,3
1998,"Zip Code 02130","Zip Code 02130",71,135,140,74,67,72,9
1998,"Zip Code 02131","Zip Code 02131",42,77,52,57,66,72,0
1998,"Zip Code 02132","Zip Code 02132",46,115,59,72,89,78,3
1998,"Zip Code 02134","Zip Code 02134",78,149,31,74,94,80,6
1998,"Zip Code 02135","Zip Code 02135",89,207,121,78,107,78,4
1998,"Zip Code 02136","Zip Code 02136",37,95,40,61,137,42,1
1998,"Zip Code 02210","Zip Code 02210",45,393,22,30,239,35,3
1998,"Zip Code 02215","Zip Code 02215",142,179,104,69,34,84,7
1998,"Zip Codes 02108-10","Zip Codes 02108-10",313,3114,154,315,237,311,31
1999,"Zip Code 02111","Zip Code 02111",110,461,94,100,82,104,21
1999,"Zip Code 02113","Zip Code 02113",73,30,13,13,11,33,1
1999,"Zip Code 02114","Zip Code 02114",97,381,139,61,49,79,17
1999,"Zip Code 02115","Zip Code 02115",152,196,94,75,19,83,43
1999,"Zip Code 02116","Zip Code 02116",291,964,192,205,118,393,38
1999,"Zip Code 02118","Zip Code 02118",71,190,93,55,163,71,15
1999,"Zip Code 02119","Zip Code 02119",40,61,53,51,73,58,24
1999,"Zip Code 02120","Zip Code 02120",16,35,54,13,4,12,7
1999,"Zip Code 02121","Zip Code 02121",12,16,24,28,28,25,14
1999,"Zip Code 02122","Zip Code 02122",53,101,50,68,101,87,24
1999,"Zip Code 02124","Zip Code 02124",45,72,115,76,78,77,35
1999,"Zip Code 02125","Zip Code 02125",54,78,44,55,85,68,33
1999,"Zip Code 02126","Zip Code 02126",26,36,34,35,36,52,11
