YEAR,GEOID,NAME,zero_nine,ten_nineteen,twenty_thirtyfour,thirtyfive_fiftyfour,fiftyfive_sixtyfour,sixtyfive_more
1950,Allston,Allston,2989,2122,5318,5883,2316,2138
1950,Back Bay,Back Bay,1040,1422,6696,6038,2661,3371
1950,Beacon Hill,Beacon Hill,1155,930,4311,4078,1897,1791
1950,Brighton,Brighton,6631,5001,10509,14188,5359,4738
1950,Charlestown,Charlestown,5524,5531,9621,6458,2098,2102
1950,Chinatown,Chinatown,300,240,620,928,392,321
1950,Dorchester,Dorchester,27774,21294,36403,44340,16633,15601
1950,Downtown,Downtown,349,330,967,1301,684,498
1950,East Boston,East Boston,9701,7513,13991,11968,4350,3629
1950,Fenway,Fenway,1543,1807,8509,7852,3139,2943
1950,Hyde Park,Hyde Park,5252,3606,6282,6549,2305,2132
1950,Jamaica Plain,Jamaica Plain,8958,7130,11691,14065,5319,5664
1950,Longwood,Longwood,168,334,1045,578,238,229
1950,Mattapan,Mattapan,4101,2934,5327,6856,2558,1946
1950,Mission Hill,Mission Hill,3412,3357,4969,5188,1897,2042
1950,North End,North End,2544,2401,4788,3596,1696,1321
1950,Roslindale,Roslindale,5069,4073,6785,9184,3709,3353
1950,Roxbury,Roxbury,18659,15138,24409,26499,8984,9063
1950,South Boston,South Boston,11604,8216,14252,12313,4691,3902
1950,South Boston Waterfront,South Boston Waterfront,128,108,158,145,69,65
1950,South End,South End,5487,4144,11012,13319,6041,6312
1950,West End,West End,2097,1722,3633,3055,1361,1040
1950,West Roxbury,West Roxbury,4343,3656,5373,7848,3070,2775
1960,Allston,Allston,2849,2132,4870,4372,2355,2498
1960,Back Bay,Back Bay,576,1793,6260,3918,2495,3112
1960,Beacon Hill,Beacon Hill,587,716,3781,2875,1761,1926
1960,Brighton,Brighton,6905,5299,9706,10823,6214,6258
1960,Charlestown,Charlestown,4232,3622,3871,4591,1825,2003
1960,Chinatown,Chinatown,304,235,590,656,332,350
1960,Dorchester,Dorchester,30155,23305,28063,36179,16412,18012
1960,Downtown,Downtown,209,189,474,875,534,563
1960,East Boston,East Boston,8489,6980,8823,11388,3740,4388
1960,Fenway,Fenway,791,3342,7740,4699,3186,3640
1960,Hyde Park,Hyde Park,6572,4947,5218,7530,2601,2833
1960,Jamaica Plain,Jamaica Plain,9724,7598,9454,12000,5668,6693
1960,Longwood,Longwood,612,1023,1076,524,247,243
1960,Mattapan,Mattapan,4037,3827,3719,6958,2982,2753
1960,Mission Hill,Mission Hill,2958,3258,3821,3806,1791,2217
1960,North End,North End,1786,1777,2267,3357,1064,1686
1960,Roslindale,Roslindale,5943,4870,5787,8345,3900,4053
1960,Roxbury,Roxbury,16287,10856,14315,16868,6786,8102
1960,South Boston,South Boston,9087,7161,7820,10494,3967,5019
