GEOID,NAME,occ,vac,YEAR,landarea_acres
Allston,Allston,6408,83,1950,881.6769432
Back Bay,Back Bay,6356,233,1950,327.1692548
Beacon Hill,Beacon Hill,4532,178,1950,177.4767684
Brighton,Brighton,14707,178,1950,1736.324511
Charlestown,Charlestown,6738,219,1950,866.3393593
Chinatown,Chinatown,606,23,1950,70.70623964
Dorchester,Dorchester,43452,445,1950,4657.666107
Downtown,Downtown,774,38,1950,414.2432607
East Boston,East Boston,13688,255,1950,3104.612739
Fenway,Fenway,9800,152,1950,848.7014714
Harbor Islands,Harbor Islands,14,0,1950,808.1126827
Hyde Park,Hyde Park,6732,106,1950,3187.05253
Jamaica Plain,Jamaica Plain,13616,202,1950,1990.583099
Longwood,Longwood,785,24,1950,125.3338263
Mattapan,Mattapan,6159,57,1950,1746.754335
Mission Hill,Mission Hill,5458,68,1950,384.9785704
North End,North End,4526,106,1950,121.5770832
Roslindale,Roslindale,8459,91,1950,1400.81718
Roxbury,Roxbury,28110,498,1950,2217.508373
South Boston,South Boston,14624,338,1950,1132.00878
South Boston Waterfront,South Boston Waterfront,196,15,1950,829.1247946
South End,South End,11308,413,1950,540.9067611
West End,West End,3789,138,1950,174.3610166
West Roxbury,West Roxbury,7266,116,1950,3286.172429
Allston,Allston,6779,319,1960,881.6769432
Back Bay,Back Bay,8741,637,1960,327.1692548
Beacon Hill,Beacon Hill,6097,488,1960,177.4767684
Brighton,Brighton,15958,470,1960,1736.324511
Charlestown,Charlestown,5978,465,1960,866.3393593
Chinatown,Chinatown,973,103,1960,70.70623964
Dorchester,Dorchester,44298,1572,1960,4657.666107
Downtown,Downtown,1864,235,1960,414.2432607
East Boston,East Boston,13294,696,1960,3104.612739
Fenway,Fenway,10468,672,1960,848.7014714
Harbor Islands,Harbor Islands,20,0,1960,808.1126827
Hyde Park,Hyde Park,8106,210,1960,3187.05253
Jamaica Plain,Jamaica Plain,14050,550,1960,1990.583099
Longwood,Longwood,1069,48,1960,125.3338263
Mattapan,Mattapan,6969,136,1960,1746.754335
Mission Hill,Mission Hill,5330,389,1960,384.9785704
North End,North End,4034,337,1960,121.5770832
Roslindale,Roslindale,9199,158,1960,1400.81718
Roxbury,Roxbury,23026,2723,1960,2217.508373
South Boston,South Boston,13542,859,1960,1132.00878
South Boston Waterfront,South Boston Waterfront,130,20,1960,829.1247946
South End,South End,15490,2852,1960,540.9067611
West End,West End,745,49,1960,174.3610166
West Roxbury,West Roxbury,8544,141,1960,3286.172429
