YEAR,GEOID,vac,occ,NAME,landarea_acres
1950,25025000101,7,656,Census Tract 1.01,61.75756536
1950,25025000102,9,773,Census Tract 1.02,263.7689329
1950,25025000201,22,1194,Census Tract 2.01,148.0722164
1950,25025000202,22,1239,Census Tract 2.02,148.6674933
1950,25025000301,9,745,Census Tract 3.01,141.2036752
1950,25025000302,8,739,Census Tract 3.02,145.7869859
1950,25025000401,19,1734,Census Tract 4.01,106.5127978
1950,25025000402,12,1073,Census Tract 4.02,199.3572086
1950,25025000502,17,1768,Census Tract 5.02,209.4722203
1950,25025000503,7,759,Census Tract 5.03,34.58165682
1950,25025000505,6,667,Census Tract 5.05,35.67855761
1950,25025000506,9,889,Census Tract 5.06,46.67968919
1950,25025000601,9,909,Census Tract 6.01,122.3828939
1950,25025000603,5,463,Census Tract 6.03,77.21721934
1950,25025000604,8,755,Census Tract 6.04,70.93505923
1950,25025000701,25,1755,Census Tract 7.01,56.94296411
1950,25025000703,13,953,Census Tract 7.03,43.98500501
1950,25025000704,27,1925,Census Tract 7.04,59.25068126
1950,25025000804,8,632,Census Tract 8.04,150.1402414
1950,25025000805,10,781,Census Tract 8.05,91.39909139
1950,25025000806,5,368,Census Tract 8.06,350.1935458
1950,25025000807,4,336,Census Tract 8.07,54.01575376
1950,25025010103,18,483,Census Tract 101.03,71.19229593
1950,25025010104,27,725,Census Tract 101.04,69.60489096
1950,25025010204,18,1658,Census Tract 102.04,62.61897472
1950,25025010205,14,1289,Census Tract 102.05,45.16419189
1950,25025010206,10,953,Census Tract 102.06,45.04236893
1950,25025010300,24,785,Census Tract 103,125.3338263
1950,25025010403,14,984,Census Tract 104.03,21.88241706
1950,25025010404,19,1291,Census Tract 104.04,33.83095067
1950,25025010405,25,1676,Census Tract 104.05,90.16727107
1950,25025010408,8,741,Census Tract 104.08,10.71967855
1950,25025010500,17,1265,Census Tract 105,47.75706866
1950,25025010600,19,925,Census Tract 106,83.93626177
1950,25025010701,38,1070,Census Tract 107.01,49.92047627
1950,25025010702,36,1029,Census Tract 107.02,74.17510499
1950,25025010801,60,1012,Census Tract 108.01,32.62754746
1950,25025010802,63,1055,Census Tract 108.02,38.75279566
1950,25025020101,81,1747,Census Tract 201.01,54.20874306
1950,25025020200,52,1918,Census Tract 202,26.7607715
1950,25025020301,73,2032,Census Tract 203.01,64.93608188
1950,25025020302,46,868,Census Tract 203.02,18.97423382
1950,25025020304,4,77,Census Tract 203.04,35.843624
1950,25025020305,61,1680,Census Tract 203.05,73.58131076
1950,25025030100,24,1265,Census Tract 301,19.11211862
1950,25025030200,12,859,Census Tract 302,14.39660663
1950,25025030301,4,74,Census Tract 303.01,38.10117877
1950,25025030302,13,243,Census Tract 303.02,117.9651438
1950,25025030400,42,1482,Census Tract 304,40.81439586
1950,25025030500,28,921,Census Tract 305,47.2539621
1950,25025040100,40,871,Census Tract 401,65.26324941
1950,25025040200,31,810,Census Tract 402,34.91500198
1950,25025040300,48,1939,Census Tract 403,69.09214729
1950,25025040401,44,1202,Census Tract 404.01,107.0962136
1950,25025040600,49,1366,Census Tract 406,355.1109429
1950,25025040801,6,550,Census Tract 408.01,234.861804
1950,25025050101,17,1345,Census Tract 501.01,74.0747802
1950,25025050200,34,1677,Census Tract 502,60.11357326
1950,25025050300,19,751,Census Tract 503,87.80444941
1950,25025050400,16,866,Census Tract 504,32.61321535
