YEAR,GEOID,owner,renter,NAME
1950,25025000101,225,431,Census Tract 1.01
1950,25025000102,265,508,Census Tract 1.02
1950,25025000201,498,696,Census Tract 2.01
1950,25025000202,517,722,Census Tract 2.02
1950,25025000301,376,369,Census Tract 3.01
1950,25025000302,373,366,Census Tract 3.02
1950,25025000401,458,1276,Census Tract 4.01
1950,25025000402,284,789,Census Tract 4.02
1950,25025000502,92,1676,Census Tract 5.02
1950,25025000503,39,720,Census Tract 5.03
1950,25025000505,35,632,Census Tract 5.05
1950,25025000506,46,843,Census Tract 5.06
1950,25025000601,216,693,Census Tract 6.01
1950,25025000603,110,353,Census Tract 6.03
1950,25025000604,179,576,Census Tract 6.04
1950,25025000701,88,1667,Census Tract 7.01
1950,25025000703,48,905,Census Tract 7.03
1950,25025000704,97,1828,Census Tract 7.04
1950,25025000804,158,474,Census Tract 8.04
1950,25025000805,195,586,Census Tract 8.05
1950,25025000806,92,276,Census Tract 8.06
1950,25025000807,84,252,Census Tract 8.07
1950,25025010103,56,427,Census Tract 101.03
1950,25025010104,84,641,Census Tract 101.04
1950,25025010204,41,1617,Census Tract 102.04
1950,25025010205,32,1257,Census Tract 102.05
1950,25025010206,23,930,Census Tract 102.06
1950,25025010300,58,727,Census Tract 103
1950,25025010403,20,964,Census Tract 104.03
1950,25025010404,27,1264,Census Tract 104.04
1950,25025010405,38,1638,Census Tract 104.05
1950,25025010408,18,723,Census Tract 104.08
1950,25025010500,57,1208,Census Tract 105
1950,25025010600,22,903,Census Tract 106
1950,25025010701,91,979,Census Tract 107.01
1950,25025010702,88,941,Census Tract 107.02
1950,25025010801,129,883,Census Tract 108.01
1950,25025010802,134,921,Census Tract 108.02
1950,25025020101,357,1390,Census Tract 201.01
1950,25025020200,141,1777,Census Tract 202
1950,25025020301,139,1893,Census Tract 203.01
1950,25025020302,67,801,Census Tract 203.02
1950,25025020304,6,71,Census Tract 203.04
1950,25025020305,120,1560,Census Tract 203.05
1950,25025030100,128,1137,Census Tract 301
1950,25025030200,103,756,Census Tract 302
1950,25025030301,11,63,Census Tract 303.01
1950,25025030302,21,222,Census Tract 303.02
1950,25025030400,135,1347,Census Tract 304
1950,25025030500,67,854,Census Tract 305
1950,25025040100,230,641,Census Tract 401
1950,25025040200,115,695,Census Tract 402
1950,25025040300,527,1412,Census Tract 403
1950,25025040401,268,934,Census Tract 404.01
1950,25025040600,449,917,Census Tract 406
1950,25025040801,0,550,Census Tract 408.01
1950,25025050101,384,961,Census Tract 501.01
1950,25025050200,399,1278,Census Tract 502
