YEAR,GEOID,ilf_f,ilf_m,nilf_f,nilf_m,NAME
1950,25025000101,344,730,640,186,Census Tract 1.01
1950,25025000102,404,859,753,218,Census Tract 1.02
1950,25025000201,671,1277,1247,309,Census Tract 2.01
1950,25025000202,695,1323,1292,321,Census Tract 2.02
1950,25025000301,404,757,811,270,Census Tract 3.01
1950,25025000302,400,749,803,268,Census Tract 3.02
1950,25025000401,870,1581,1653,618,Census Tract 4.01
1950,25025000402,538,978,1022,383,Census Tract 4.02
1950,25025000502,806,1313,1456,296,Census Tract 5.02
1950,25025000503,346,564,625,127,Census Tract 5.03
1950,25025000505,304,495,549,112,Census Tract 5.05
1950,25025000506,406,661,733,149,Census Tract 5.06
1950,25025000601,578,818,843,231,Census Tract 6.01
1950,25025000603,295,417,430,118,Census Tract 6.03
1950,25025000604,481,681,701,192,Census Tract 6.04
1950,25025000701,968,1252,1252,296,Census Tract 7.01
1950,25025000703,525,679,679,160,Census Tract 7.03
1950,25025000704,1061,1373,1373,324,Census Tract 7.04
1950,25025000804,357,734,593,363,Census Tract 8.04
1950,25025000805,441,907,732,449,Census Tract 8.05
1950,25025000806,208,427,345,211,Census Tract 8.06
1950,25025000807,190,390,315,193,Census Tract 8.07
1950,25025010103,465,463,631,640,Census Tract 101.03
1950,25025010104,697,695,947,960,Census Tract 101.04
1950,25025010204,1034,1058,886,311,Census Tract 102.04
1950,25025010205,804,822,689,242,Census Tract 102.05
1950,25025010206,595,608,510,179,Census Tract 102.06
1950,25025010300,547,469,968,402,Census Tract 103
1950,25025010403,620,664,642,362,Census Tract 104.03
1950,25025010404,813,870,841,475,Census Tract 104.04
1950,25025010405,1061,1125,1131,626,Census Tract 104.05
1950,25025010408,463,473,396,139,Census Tract 104.08
1950,25025010500,913,1263,1051,496,Census Tract 105
1950,25025010600,819,1140,966,528,Census Tract 106
1950,25025010701,1150,757,1024,464,Census Tract 107.01
1950,25025010702,1104,727,984,446,Census Tract 107.02
1950,25025010801,816,680,936,531,Census Tract 108.01
1950,25025010802,851,708,976,553,Census Tract 108.02
1950,25025020101,1668,1254,1453,741,Census Tract 201.01
1950,25025020200,1388,1445,1010,536,Census Tract 202
1950,25025020301,1087,2041,1671,672,Census Tract 203.01
1950,25025020302,604,1353,747,529,Census Tract 203.02
1950,25025020304,54,121,67,47,Census Tract 203.04
1950,25025020305,838,1690,1356,527,Census Tract 203.05
1950,25025030100,564,1258,1067,397,Census Tract 301
1950,25025030200,428,922,769,275,Census Tract 302
1950,25025030301,36,158,52,40,Census Tract 303.01
1950,25025030302,199,840,254,349,Census Tract 303.02
1950,25025030400,716,1697,1282,474,Census Tract 304
1950,25025030500,385,1694,794,298,Census Tract 305
1950,25025040100,463,911,861,425,Census Tract 401
1950,25025040200,344,764,856,273,Census Tract 402
1950,25025040300,872,1925,1949,574,Census Tract 403
1950,25025040401,560,1275,1195,1017,Census Tract 404.01
1950,25025040600,680,1325,1296,469,Census Tract 406
1950,25025040801,158,5032,556,160,Census Tract 408.01
1950,25025050101,625,1444,1323,406,Census Tract 501.01
1950,25025050200,784,1860,1596,521,Census Tract 502
1950,25025050300,295,746,778,271,Census Tract 503
1950,25025050400,364,954,780,305,Census Tract 504
1950,25025050500,385,879,723,197,Census Tract 505
1950,25025050600,342,840,790,282,Census Tract 506
1950,25025050700,777,1685,1552,535,Census Tract 507
1950,25025050901,786,1836,1626,517,Census Tract 509.01
1950,25025051000,618,1305,1138,310,Census Tract 510
1950,25025051101,769,1745,1656,468,Census Tract 511.01
1950,25025051200,601,1515,1187,351,Census Tract 512
1950,25025060101,681,1652,1249,376,Census Tract 601.01
1950,25025060200,447,957,908,292,Census Tract 602
1950,25025060301,814,1543,1369,513,Census Tract 603.01
1950,25025060400,1266,2173,1917,641,Census Tract 604
1950,25025060501,877,2139,1627,590,Census Tract 605.01
1950,25025060601,233,457,408,161,Census Tract 606.01
1950,25025060602,17,33,29,11,Census Tract 606.02
1950,25025060603,10,20,18,7,Census Tract 606.03
1950,25025060604,33,66,58,23,Census Tract 606.04
1950,25025060700,113,995,1077,155,Census Tract 607
1950,25025060800,980,1870,1655,636,Census Tract 608
1950,25025061000,569,1453,1434,393,Census Tract 610
1950,25025061101,317,777,952,265,Census Tract 611.01
1950,25025061201,381,859,664,245,Census Tract 612.01
1950,25025061203,180,341,277,111,Census Tract 612.03
1950,25025061204,35,65,53,21,Census Tract 612.04
1950,25025070102,30,191,60,108,Census Tract 701.02
1950,25025070103,1,9,3,5,Census Tract 701.03
1950,25025070104,11,73,23,41,Census Tract 701.04
1950,25025070201,166,522,248,277,Census Tract 702.01
1950,25025070202,311,1107,426,569,Census Tract 702.02
1950,25025070301,693,1116,742,434,Census Tract 703.01
1950,25025070302,423,696,459,280,Census Tract 703.02
1950,25025070402,475,1078,826,342,Census Tract 704.02
1950,25025070501,465,1276,710,660,Census Tract 705.01
1950,25025070502,824,2002,1391,1023,Census Tract 705.02
1950,25025070600,809,1714,1199,803,Census Tract 706
1950,25025070700,598,1064,676,347,Census Tract 707
1950,25025070801,282,485,327,204,Census Tract 708.01
1950,25025070802,788,1355,912,571,Census Tract 708.02
1950,25025070901,367,646,422,241,Census Tract 709.01
1950,25025070902,619,1090,712,406,Census Tract 709.02
1950,25025071101,1667,1668,1678,620,Census Tract 711.01
1950,25025071201,623,1524,1233,620,Census Tract 712.01
1950,25025080100,683,1281,1342,439,Census Tract 801
1950,25025080300,678,1397,1455,503,Census Tract 803
1950,25025080401,947,1860,2049,729,Census Tract 804.01
1950,25025080500,1010,1670,1830,648,Census Tract 805
1950,25025080601,954,1676,1662,759,Census Tract 806.01
1950,25025080801,792,1299,1862,624,Census Tract 808.01
1950,25025080900,802,1182,1368,474,Census Tract 809
1950,25025081001,1554,1656,1758,497,Census Tract 810.01
1950,25025081101,252,333,435,88,Census Tract 811.01
1950,25025081102,517,703,904,189,Census Tract 811.02
1950,25025081200,580,1272,1350,417,Census Tract 812
1950,25025081301,270,553,573,147,Census Tract 813.01
1950,25025081302,377,774,802,206,Census Tract 813.02
1950,25025081400,1148,2097,1963,635,Census Tract 814
1950,25025081500,778,1461,1588,605,Census Tract 815
1950,25025081700,1452,2601,2578,844,Census Tract 817
1950,25025081800,935,1752,1645,524,Census Tract 818
1950,25025081900,1102,2135,2118,585,Census Tract 819
1950,25025082000,726,1592,1675,532,Census Tract 820
1950,25025082100,703,2077,2215,507,Census Tract 821
1950,25025090100,851,2342,2450,614,Census Tract 901
1950,25025090200,345,990,982,204,Census Tract 902
1950,25025090300,707,1687,1688,471,Census Tract 903
1950,25025090400,1131,2384,2294,674,Census Tract 904
1950,25025090600,734,1554,1440,481,Census Tract 906
1950,25025090700,1162,2208,1766,500,Census Tract 907
1950,25025090901,265,692,655,172,Census Tract 909.01
1950,25025091001,357,930,880,231,Census Tract 910.01
1950,25025091100,1039,1904,1762,534,Census Tract 911
1950,25025091200,658,1067,1283,309,Census Tract 912
1950,25025091300,578,1219,1119,289,Census Tract 913
1950,25025091400,633,1226,1147,343,Census Tract 914
1950,25025091500,839,1659,1508,348,Census Tract 915
1950,25025091600,679,1316,1188,374,Census Tract 916
1950,25025091700,599,1234,1145,275,Census Tract 917
1950,25025091800,749,1587,1524,457,Census Tract 918
1950,25025091900,748,1518,1547,387,Census Tract 919
1950,25025092000,1023,1859,1887,516,Census Tract 920
1950,25025092101,1208,2636,2543,670,Census Tract 921.01
1950,25025092200,742,1202,1313,349,Census Tract 922
1950,25025092300,596,1270,1279,326,Census Tract 923
1950,25025092400,878,2368,2472,584,Census Tract 924
1950,25025100100,680,2401,2482,528,Census Tract 1001
1950,25025100200,397,1496,1434,323,Census Tract 1002
1950,25025100300,600,1504,1453,371,Census Tract 1003
1950,25025100400,900,1604,1648,436,Census Tract 1004
1950,25025100500,1162,2293,2352,661,Census Tract 1005
1950,25025100601,981,1945,1984,615,Census Tract 1006.01
1950,25025100603,377,746,761,236,Census Tract 1006.03
1950,25025100700,736,1732,1655,451,Census Tract 1007
1950,25025100800,983,1835,1852,517,Census Tract 1008
1950,25025100900,537,1184,1235,326,Census Tract 1009
1950,25025101001,476,1191,1188,423,Census Tract 1010.01
1950,25025101002,441,1096,1095,385,Census Tract 1010.02
1950,25025101101,478,1440,1520,401,Census Tract 1011.01
1950,25025101102,640,2002,1978,449,Census Tract 1011.02
1950,25025110104,331,642,1293,670,Census Tract 1101.04
1950,25025110105,367,730,1384,698,Census Tract 1101.05
