YEAR,GEOID,native,foreign,NAME
1950,25025000101,2021,490,Census Tract 1.01
1950,25025000102,2378,576,Census Tract 1.02
1950,25025000201,3631,819,Census Tract 2.01
1950,25025000202,3763,850,Census Tract 2.02
1950,25025000301,2345,532,Census Tract 3.01
1950,25025000302,2324,527,Census Tract 3.02
1950,25025000401,4723,1037,Census Tract 4.01
1950,25025000402,2923,641,Census Tract 4.02
1950,25025000502,3680,821,Census Tract 5.02
1950,25025000503,1581,353,Census Tract 5.03
1950,25025000505,1388,310,Census Tract 5.05
1950,25025000506,1851,413,Census Tract 5.06
1950,25025000601,2429,589,Census Tract 6.01
1950,25025000603,1238,300,Census Tract 6.03
1950,25025000604,2021,490,Census Tract 6.04
1950,25025000701,3400,895,Census Tract 7.01
1950,25025000703,1845,486,Census Tract 7.03
1950,25025000704,3729,982,Census Tract 7.04
1950,25025000804,2102,412,Census Tract 8.04
1950,25025000805,2597,509,Census Tract 8.05
1950,25025000806,1224,240,Census Tract 8.06
1950,25025000807,1118,219,Census Tract 8.07
1950,25025010103,1981,271,Census Tract 101.03
1950,25025010104,2973,407,Census Tract 101.04
1950,25025010204,3079,515,Census Tract 102.04
1950,25025010205,2394,400,Census Tract 102.05
1950,25025010206,1771,296,Census Tract 102.06
1950,25025010300,2181,378,Census Tract 103
1950,25025010403,1959,390,Census Tract 104.03
1950,25025010404,2567,511,Census Tract 104.04
1950,25025010405,3387,669,Census Tract 104.05
1950,25025010408,1378,230,Census Tract 104.08
1950,25025010500,3026,702,Census Tract 105
1950,25025010600,2941,647,Census Tract 106
1950,25025010701,2976,538,Census Tract 107.01
1950,25025010702,2858,517,Census Tract 107.02
1950,25025010801,2742,403,Census Tract 108.01
1950,25025010802,2857,420,Census Tract 108.02
1950,25025020101,4620,747,Census Tract 201.01
1950,25025020200,4079,860,Census Tract 202
1950,25025020301,5069,1765,Census Tract 203.01
1950,25025020302,2790,952,Census Tract 203.02
1950,25025020304,249,85,Census Tract 203.04
1950,25025020305,4101,1488,Census Tract 203.05
1950,25025030100,2997,1235,Census Tract 301
1950,25025030200,2130,880,Census Tract 302
1950,25025030301,253,42,Census Tract 303.01
1950,25025030302,1433,334,Census Tract 303.02
1950,25025030400,3622,1610,Census Tract 304
1950,25025030500,2709,1088,Census Tract 305
1950,25025040100,2792,467,Census Tract 401
1950,25025040200,2932,381,Census Tract 402
1950,25025040300,6583,827,Census Tract 403
1950,25025040401,4573,676,Census Tract 404.01
1950,25025040600,4524,636,Census Tract 406
1950,25025040801,6360,170,Census Tract 408.01
1950,25025050101,3999,988,Census Tract 501.01
1950,25025050200,4886,1433,Census Tract 502
1950,25025050300,2845,417,Census Tract 503
1950,25025050400,2416,727,Census Tract 504
1950,25025050500,2136,714,Census Tract 505
1950,25025050600,2312,682,Census Tract 506
1950,25025050700,4630,1352,Census Tract 507
1950,25025050901,5219,1212,Census Tract 509.01
1950,25025051000,3629,717,Census Tract 510
1950,25025051101,4739,1089,Census Tract 511.01
1950,25025051200,3977,958,Census Tract 512
1950,25025060101,4303,787,Census Tract 601.01
1950,25025060200,2770,553,Census Tract 602
1950,25025060301,4600,919,Census Tract 603.01
1950,25025060400,6282,1408,Census Tract 604
1950,25025060501,5670,1173,Census Tract 605.01
1950,25025060601,1340,367,Census Tract 606.01
1950,25025060602,95,26,Census Tract 606.02
1950,25025060603,59,16,Census Tract 606.03
1950,25025060604,192,53,Census Tract 606.04
1950,25025060700,4215,143,Census Tract 607
1950,25025060800,5543,1320,Census Tract 608
1950,25025061000,5105,634,Census Tract 610
1950,25025061101,3384,308,Census Tract 611.01
1950,25025061201,2323,559,Census Tract 612.01
1950,25025061202,,,Census Tract 612.02
1950,25025061203,948,260,Census Tract 612.03
1950,25025061204,182,50,Census Tract 612.04
1950,25025070102,167,41,Census Tract 701.02
