YEAR,GEOID,male,female,NAME
1950,25025000101,1239,1273,Census Tract 1.01
1950,25025000102,1459,1499,Census Tract 1.02
1950,25025000201,2074,2381,Census Tract 2.01
1950,25025000202,2150,2469,Census Tract 2.02
1950,25025000301,1350,1532,Census Tract 3.01
1950,25025000302,1338,1517,Census Tract 3.02
1950,25025000401,2723,3048,Census Tract 4.01
1950,25025000402,1685,1886,Census Tract 4.02
1950,25025000502,1944,2573,Census Tract 5.02
1950,25025000503,835,1105,Census Tract 5.03
1950,25025000505,733,970,Census Tract 5.05
1950,25025000506,978,1294,Census Tract 5.06
1950,25025000601,1338,1690,Census Tract 6.01
1950,25025000603,682,861,Census Tract 6.03
1950,25025000604,1113,1406,Census Tract 6.04
1950,25025000701,1816,2497,Census Tract 7.01
1950,25025000703,985,1355,Census Tract 7.03
1950,25025000704,1992,2739,Census Tract 7.04
1950,25025000804,1372,1213,Census Tract 8.04
1950,25025000805,1695,1498,Census Tract 8.05
1950,25025000806,799,706,Census Tract 8.06
1950,25025000807,730,645,Census Tract 8.07
1950,25025010103,1147,1138,Census Tract 101.03
1950,25025010104,1722,1708,Census Tract 101.04
1950,25025010204,1538,2076,Census Tract 102.04
1950,25025010205,1196,1614,Census Tract 102.05
1950,25025010206,885,1194,Census Tract 102.06
1950,25025010300,981,1612,Census Tract 103
1950,25025010403,1116,1352,Census Tract 104.03
1950,25025010404,1463,1773,Census Tract 104.04
1950,25025010405,1908,2347,Census Tract 104.05
1950,25025010408,688,929,Census Tract 104.08
1950,25025010500,2038,2147,Census Tract 105
1950,25025010600,1767,1886,Census Tract 106
1950,25025010701,1293,2242,Census Tract 107.01
1950,25025010702,1243,2154,Census Tract 107.02
1950,25025010801,1320,1842,Census Tract 108.01
1950,25025010802,1376,1920,Census Tract 108.02
1950,25025020101,2144,3248,Census Tract 201.01
1950,25025020200,2319,2693,Census Tract 202
1950,25025020301,3438,3486,Census Tract 203.01
1950,25025020302,2151,1605,Census Tract 203.02
1950,25025020304,192,143,Census Tract 203.04
1950,25025020305,2841,2809,Census Tract 203.05
1950,25025030100,2126,2108,Census Tract 301
1950,25025030200,1486,1528,Census Tract 302
1950,25025030301,236,110,Census Tract 303.01
1950,25025030302,1265,517,Census Tract 303.02
1950,25025030400,2691,2547,Census Tract 304
1950,25025030500,2341,1520,Census Tract 305
1950,25025040100,1643,1630,Census Tract 401
1950,25025040200,1604,1715,Census Tract 402
1950,25025040300,3579,3837,Census Tract 403
1950,25025040401,2989,2382,Census Tract 404.01
1950,25025040600,2486,2690,Census Tract 406
1950,25025040801,5635,1142,Census Tract 408.01
1950,25025050101,2437,2557,Census Tract 501.01
1950,25025050200,3201,3132,Census Tract 502
1950,25025050300,1606,1658,Census Tract 503
1950,25025050400,1665,1480,Census Tract 504
1950,25025050500,1417,1433,Census Tract 505
1950,25025050600,1526,1475,Census Tract 506
1950,25025050700,2957,3035,Census Tract 507
1950,25025050901,3214,3225,Census Tract 509.01
1950,25025051000,2097,2250,Census Tract 510
1950,25025051101,2804,3025,Census Tract 511.01
1950,25025051200,2532,2426,Census Tract 512
1950,25025060101,2565,2548,Census Tract 601.01
