"YEAR","GEOID","NAME","total_occupied_units","no_vehicles","one_or_more_vehicles"
1960,25025000101,"Census Tract 1.01",616,226,390
1960,25025000102,"Census Tract 1.02",725,266,459
1960,25025000201,"Census Tract 2.01",1353,360,993
1960,25025000202,"Census Tract 2.02",1404,373,1031
1960,25025000301,"Census Tract 3.01",786,142,644
1960,25025000302,"Census Tract 3.02",778,140,638
1960,25025000401,"Census Tract 4.01",1825,553,1272
1960,25025000402,"Census Tract 4.02",1129,342,787
1960,25025000502,"Census Tract 5.02",1881,728,1153
1960,25025000503,"Census Tract 5.03",808,313,495
1960,25025000505,"Census Tract 5.05",710,275,435
1960,25025000506,"Census Tract 5.06",947,366,581
1960,25025000601,"Census Tract 6.01",1210,516,694
1960,25025000603,"Census Tract 6.03",617,263,354
1960,25025000604,"Census Tract 6.04",1008,430,578
1960,25025000701,"Census Tract 7.01",1785,901,884
1960,25025000703,"Census Tract 7.03",970,489,481
1960,25025000704,"Census Tract 7.04",1959,989,970
1960,25025000804,"Census Tract 8.04",665,288,377
1960,25025000805,"Census Tract 8.05",821,356,465
1960,25025000806,"Census Tract 8.06",388,168,220
1960,25025000807,"Census Tract 8.07",353,153,200
1960,25025010103,"Census Tract 101.03",577,264,313
1960,25025010104,"Census Tract 101.04",866,397,469
1960,25025010204,"Census Tract 102.04",1633,888,745
1960,25025010205,"Census Tract 102.05",1269,690,579
1960,25025010206,"Census Tract 102.06",939,511,428
1960,25025010300,"Census Tract 103",1069,704,365
1960,25025010403,"Census Tract 104.03",1106,819,287
1960,25025010404,"Census Tract 104.04",1450,1073,377
1960,25025010405,"Census Tract 104.05",1898,1398,500
1960,25025010408,"Census Tract 104.08",730,397,333
1960,25025010500,"Census Tract 105",1430,1009,421
1960,25025010600,"Census Tract 106",1540,1234,306
1960,25025010701,"Census Tract 107.01",1363,699,664
1960,25025010702,"Census Tract 107.02",1308,672,636
1960,25025010801,"Census Tract 108.01",1517,719,798
1960,25025010802,"Census Tract 108.02",1583,750,833
1960,25025020101,"Census Tract 201.01",2671,1256,1415
1960,25025020200,"Census Tract 202",1896,1194,702
1960,25025020301,"Census Tract 203.01",345,257,88
1960,25025020302,"Census Tract 203.02",1529,1292,237
1960,25025020304,"Census Tract 203.04",136,115,21
1960,25025020305,"Census Tract 203.05",264,212,52
1960,25025030100,"Census Tract 301",1139,786,353
1960,25025030200,"Census Tract 302",721,491,230
1960,25025030301,"Census Tract 303.01",50,33,17
1960,25025030302,"Census Tract 303.02",1155,1019,136
1960,25025030400,"Census Tract 304",1304,867,437
1960,25025030500,"Census Tract 305",870,626,244
1960,25025040100,"Census Tract 401",874,520,354
1960,25025040200,"Census Tract 402",737,448,289
1960,25025040300,"Census Tract 403",1720,908,812
1960,25025040401,"Census Tract 404.01",991,547,444
1960,25025040600,"Census Tract 406",1107,564,543
1960,25025040801,"Census Tract 408.01",548,423,125
1960,25025050101,"Census Tract 501.01",1311,481,830
1960,25025050200,"Census Tract 502",1648,931,717
1960,25025050300,"Census Tract 503",647,453,194
1960,25025050400,"Census Tract 504",760,414,346
1960,25025050500,"Census Tract 505",726,376,350
1960,25025050600,"Census Tract 506",755,444,311
1960,25025050700,"Census Tract 507",1543,840,703
1960,25025050901,"Census Tract 509.01",1511,589,922
1960,25025051000,"Census Tract 510",1199,406,793
1960,25025051101,"Census Tract 511.01",2008,608,1400
1960,25025051200,"Census Tract 512",1173,551,622
1960,25025060101,"Census Tract 601.01",1291,538,753
1960,25025060200,"Census Tract 602",972,448,524
1960,25025060301,"Census Tract 603.01",1424,652,772
1960,25025060400,"Census Tract 604",2072,1198,874
1960,25025060501,"Census Tract 605.01",1598,961,637
1960,25025060601,"Census Tract 606.01",339,197,142
1960,25025060602,"Census Tract 606.02",24,14,10
1960,25025060603,"Census Tract 606.03",15,9,6
1960,25025060604,"Census Tract 606.04",49,28,21
1960,25025060700,"Census Tract 607",946,706,240
1960,25025060800,"Census Tract 608",1676,1110,566
1960,25025061000,"Census Tract 610",1353,900,453
1960,25025061101,"Census Tract 611.01",958,717,241
1960,25025061201,"Census Tract 612.01",695,461,234
1960,25025061202,"Census Tract 612.02",,,
1960,25025061203,"Census Tract 612.03",218,135,83
1960,25025061204,"Census Tract 612.04",42,26,16
1960,25025070102,"Census Tract 701.02",169,154,15
1960,25025070103,"Census Tract 701.03",8,7,1
1960,25025070104,"Census Tract 701.04",65,59,6
1960,25025070201,"Census Tract 702.01",426,329,97
1960,25025070202,"Census Tract 702.02",965,808,157
1960,25025070301,"Census Tract 703.01",1591,1283,308
1960,25025070302,"Census Tract 703.02",981,789,192
1960,25025070402,"Census Tract 704.02",800,646,154
1960,25025070501,"Census Tract 705.01",1455,1128,327
1960,25025070502,"Census Tract 705.02",2379,1744,635
1960,25025070600,"Census Tract 706",2178,1769,409
1960,25025070700,"Census Tract 707",1190,921,269
1960,25025070801,"Census Tract 708.01",507,385,122
1960,25025070802,"Census Tract 708.02",1418,1076,342
1960,25025070901,"Census Tract 709.01",596,442,154
1960,25025070902,"Census Tract 709.02",1005,746,259
1960,25025071101,"Census Tract 711.01",1555,1241,314
1960,25025071201,"Census Tract 712.01",936,722,214
1960,25025080100,"Census Tract 801",970,529,441
1960,25025080300,"Census Tract 803",1263,877,386
