"YEAR","GEOID","NAME","num_home_purchase","num_home_refi","num_home_improv","vol_home_purchase","vol_home_refi","vol_home_improv"
2007,"Allston","Allston",147,142,16,56023131,61303239,6316517
2007,"Back Bay","Back Bay",387,211,19,299791356,173866503,35677482
2007,"Beacon Hill","Beacon Hill",176,103,8,139295964,89962340,5364305
2007,"Brighton","Brighton",578,439,50,189973224,185902738,11812279
2007,"Charlestown","Charlestown",452,290,39,199385702,130118290,8869617
2007,"Chinatown","Chinatown",47,29,4,39332540,17996672,1892829
2007,"Dorchester","Dorchester",1324,1415,269,427737390,552684088,43168101
2007,"Downtown","Downtown",158,123,24,125807858,72033891,14693318
2007,"East Boston","East Boston",402,393,65,120962147,147106625,11613495
2007,"Fenway","Fenway",273,139,9,105335871,64220032,1928055
2007,"Hyde Park","Hyde Park",358,601,119,116389620,201675258,21773842
2007,"Jamaica Plain","Jamaica Plain",664,443,84,243738340,173920575,14551895
2007,"Longwood","Longwood",9,4,1,2853440,1127457,10937
2007,"Mattapan","Mattapan",183,324,64,60917821,112063837,8663457
2007,"Mission Hill","Mission Hill",98,71,26,45252127,43374170,8507370
2007,"North End","North End",176,150,26,90703717,77155498,20316482
2007,"Roslindale","Roslindale",404,399,118,137054181,139790175,13323774
2007,"Roxbury","Roxbury",383,361,66,126104527,153712231,15442440
2007,"South Boston","South Boston",945,593,57,365584679,240469517,10187244
2007,"South Boston Waterfront","South Boston Waterfront",34,17,1,13450279,11066818,251916
2007,"South End","South End",749,431,24,436623247,272971829,10521331
2007,"West End","West End",50,38,2,20760815,18758211,133332
2007,"West Roxbury","West Roxbury",440,450,113,170741527,159081455,17266394
2008,"Allston","Allston",94,90,7,40090988,94541788,1259230
2008,"Back Bay","Back Bay",235,252,11,226268240,196477107,10072194
2008,"Beacon Hill","Beacon Hill",156,106,9,121469470,94649709,7762531
2008,"Brighton","Brighton",343,373,32,137573816,167711776,8619948
2008,"Charlestown","Charlestown",331,334,24,157440217,168727598,6400805
2008,"Chinatown","Chinatown",31,27,0,21462307,22710924,0
2008,"Dorchester","Dorchester",928,663,84,267329079,231455214,8358154
2008,"Downtown","Downtown",111,108,5,78532769,74391507,4958660
2008,"East Boston","East Boston",307,243,34,84441959,76885775,3615659
2008,"Fenway","Fenway",153,118,3,74985514,63760657,784299
2008,"Hyde Park","Hyde Park",299,315,57,89295429,110508401,5197092
2008,"Jamaica Plain","Jamaica Plain",439,390,34,179362281,157679821,8867251
2008,"Longwood","Longwood",4,6,0,1184387,1721526,0
2008,"Mattapan","Mattapan",125,135,38,34111306,40407482,3396124
2008,"Mission Hill","Mission Hill",55,59,1,29033172,36695697,837753
2008,"North End","North End",145,162,11,112004901,73563485,4114023
2008,"Roslindale","Roslindale",261,320,39,90847955,110496512,6365756
2008,"Roxbury","Roxbury",235,195,34,80490649,72493297,3825381
2008,"South Boston","South Boston",587,617,28,235528062,245258217,5597937
2008,"South Boston Waterfront","South Boston Waterfront",23,17,0,9601411,6701587,0
2008,"South End","South End",668,537,18,380351924,316065646,6846237
2008,"West End","West End",61,56,2,31196989,27729485,452900
2008,"West Roxbury","West Roxbury",305,434,52,123658272,160131576,5148916
2009,"Allston","Allston",77,144,4,28091967,55195219,718776
2009,"Back Bay","Back Bay",177,526,7,119502697,316982792,2104843
2009,"Beacon Hill","Beacon Hill",127,285,1,95140861,186942065,296975
2009,"Brighton","Brighton",295,677,24,102304618,264822744,4874131
2009,"Charlestown","Charlestown",296,739,12,137369984,318524250,4144207
2009,"Chinatown","Chinatown",32,56,0,19551671,32593053,0
