"YEAR","GEOID","NAME","num_home_purchase","num_home_refi","num_home_improv","vol_home_purchase","vol_home_refi","vol_home_improv"
2007,"25025000101","Census Tract 1.01",15,20,2,5263571,8741934,225373
2007,"25025000102","Census Tract 1.02",18,24,2,6438846,10693873,275695
2007,"25025000201","Census Tract 2.01",35,49,8,11820980,18823234,2105899
2007,"25025000202","Census Tract 2.02",24,36,5,11781459,16408226,1044480
2007,"25025000301","Census Tract 3.01",57,35,6,20250220,14686244,1062829
2007,"25025000302","Census Tract 3.02",49,37,2,19643292,11743349,736782
2007,"25025000401","Census Tract 4.01",60,53,8,16643940,28103586,1957695
2007,"25025000402","Census Tract 4.02",46,46,4,20567800,27554528,1476387
2007,"25025000502","Census Tract 5.02",57,23,1,16408226,7027661,81865
2007,"25025000503","Census Tract 5.03",52,22,2,13326872,7738949,223952
2007,"25025000505","Census Tract 5.05",41,17,2,10480707,6086174,176123
2007,"25025000506","Census Tract 5.06",56,23,2,14241158,8269878,239316
2007,"25025000601","Census Tract 6.01",33,41,6,14464645,17132304,275235
2007,"25025000603","Census Tract 6.03",5,9,1,1444708,2731241,1894898
2007,"25025000604","Census Tract 6.04",6,10,1,1739547,3288637,2281612
2007,"25025000701","Census Tract 7.01",45,24,1,12460371,8903492,261120
2007,"25025000703","Census Tract 7.03",26,17,2,10112387,5625727,867703
2007,"25025000704","Census Tract 7.04",51,34,5,20236830,11258161,1736441
2007,"25025000804","Census Tract 8.04",22,27,3,8315801,13968635,536868
2007,"25025000805","Census Tract 8.05",27,33,3,10354996,17394014,668519
2007,"25025000806","Census Tract 8.06",0,0,0,0,0,0
2007,"25025000807","Census Tract 8.07",0,0,0,0,0,0
2007,"25025010103","Census Tract 101.03",0,3,0,0,1222325,0
2007,"25025010104","Census Tract 101.04",58,43,3,32915254,22133108,1274549
2007,"25025010204","Census Tract 102.04",23,9,2,13981926,2746702,153849
2007,"25025010205","Census Tract 102.05",36,19,1,9473847,6115768,183203
2007,"25025010206","Census Tract 102.06",23,12,1,6189943,3961851,118404
2007,"25025010300","Census Tract 103",9,4,1,2853440,1127457,10936
2007,"25025010403","Census Tract 104.03",30,13,1,9779588,7458064,30511
2007,"25025010404","Census Tract 104.04",66,28,1,21436268,16347627,66879
2007,"25025010405","Census Tract 104.05",17,2,0,6353759,874358,0
2007,"25025010408","Census Tract 104.08",20,10,1,5205286,3360231,100658
2007,"25025010500","Census Tract 105",24,24,0,17939660,14515458,0
2007,"25025010600","Census Tract 106",30,15,0,19311600,6598577,0
2007,"25025010701","Census Tract 107.01",72,34,5,63873460,30623792,1171736
2007,"25025010702","Census Tract 107.02",82,38,6,73081952,35038752,1340663
2007,"25025010801","Census Tract 108.01",90,50,4,63290220,43890228,16714023
2007,"25025010802","Census Tract 108.02",89,50,4,62294464,43199696,16451060
2007,"25025020101","Census Tract 201.01",104,59,3,98687896,64571484,2194821
2007,"25025020200","Census Tract 202",59,34,5,35172736,20408770,3152865
2007,"25025020301","Census Tract 203.01",20,15,1,8643883,7651698,96284
2007,"25025020302","Census Tract 203.02",13,10,0,5435332,4982086,0
2007,"25025020304","Census Tract 203.04",1,1,0,595771,546090,0
2007,"25025020305","Census Tract 203.05",28,21,1,11521161,10560423,35227
2007,"25025030100","Census Tract 301",39,27,4,15839407,15792829,691615
2007,"25025030200","Census Tract 302",30,14,2,14278332,7528730,2646488
2007,"25025030301","Census Tract 303.01",17,25,8,10546886,13075879,5498108
2007,"25025030302","Census Tract 303.02",20,29,9,12534859,15540539,6534442
2007,"25025030400","Census Tract 304",64,64,14,33660962,31371959,8861070
2007,"25025030500","Census Tract 305",43,45,6,26925016,22461980,8117308
2007,"25025040100","Census Tract 401",74,30,4,37949932,16395523,748074
