"GEOID","NAME","owner","renter","YEAR"
"Allston","Allston",1079,5329,1950
"Back Bay","Back Bay",521,5835,1950
"Beacon Hill","Beacon Hill",565,3967,1950
"Brighton","Brighton",3397,11310,1950
"Charlestown","Charlestown",1589,5149,1950
"Chinatown","Chinatown",81,525,1950
"Dorchester","Dorchester",13465,29987,1950
"Downtown","Downtown",83,691,1950
"East Boston","East Boston",3565,10123,1950
"Fenway","Fenway",339,9461,1950
"Harbor Islands","Harbor Islands",0,14,1950
"Hyde Park","Hyde Park",3571,3161,1950
"Jamaica Plain","Jamaica Plain",3819,9797,1950
"Longwood","Longwood",58,727,1950
"Mattapan","Mattapan",2407,3752,1950
"Mission Hill","Mission Hill",677,4781,1950
"North End","North End",432,4094,1950
"Roslindale","Roslindale",4588,3871,1950
"Roxbury","Roxbury",4236,23874,1950
"South Boston","South Boston",3263,11361,1950
"South Boston Waterfront","South Boston Waterfront",39,157,1950
"South End","South End",1185,10123,1950
"West End","West End",265,3524,1950
"West Roxbury","West Roxbury",5042,2224,1950
"Allston","Allston",1170,5609,1960
"Back Bay","Back Bay",569,8172,1960
"Beacon Hill","Beacon Hill",600,5497,1960
"Brighton","Brighton",3843,12115,1960
"Charlestown","Charlestown",1672,4306,1960
"Chinatown","Chinatown",80,893,1960
"Dorchester","Dorchester",14374,29924,1960
"Downtown","Downtown",76,1788,1960
"East Boston","East Boston",3889,9405,1960
"Fenway","Fenway",344,10124,1960
"Harbor Islands","Harbor Islands",0,20,1960
"Hyde Park","Hyde Park",4834,3272,1960
"Jamaica Plain","Jamaica Plain",4275,9775,1960
"Longwood","Longwood",52,1017,1960
"Mattapan","Mattapan",3267,3702,1960
"Mission Hill","Mission Hill",745,4585,1960
"North End","North End",445,3589,1960
"Roslindale","Roslindale",5301,3898,1960
"Roxbury","Roxbury",4127,18899,1960
"South Boston","South Boston",3583,9959,1960
"South Boston Waterfront","South Boston Waterfront",35,95,1960
"South End","South End",1433,14057,1960
"West End","West End",28,717,1960
"West Roxbury","West Roxbury",6501,2043,1960
"Allston","Allston",1059,6378,1970
"Back Bay","Back Bay",388,8818,1970
"Beacon Hill","Beacon Hill",587,5497,1970
"Brighton","Brighton",3677,13432,1970
"Charlestown","Charlestown",1561,3257,1970
"Chinatown","Chinatown",35,621,1970
"Dorchester","Dorchester",13369,29839,1970
"Downtown","Downtown",39,975,1970
