"GEOID","NAME","occ","vac","YEAR"
"Allston","Allston",6408,83,1950
"Back Bay","Back Bay",6356,233,1950
"Beacon Hill","Beacon Hill",4532,178,1950
"Brighton","Brighton",14707,178,1950
"Charlestown","Charlestown",6738,219,1950
"Chinatown","Chinatown",606,23,1950
"Dorchester","Dorchester",43452,445,1950
"Downtown","Downtown",774,38,1950
"East Boston","East Boston",13688,255,1950
"Fenway","Fenway",9800,152,1950
"Harbor Islands","Harbor Islands",14,0,1950
"Hyde Park","Hyde Park",6732,106,1950
"Jamaica Plain","Jamaica Plain",13616,202,1950
"Longwood","Longwood",785,24,1950
"Mattapan","Mattapan",6159,57,1950
"Mission Hill","Mission Hill",5458,68,1950
"North End","North End",4526,106,1950
"Roslindale","Roslindale",8459,91,1950
"Roxbury","Roxbury",28110,498,1950
"South Boston","South Boston",14624,338,1950
"South Boston Waterfront","South Boston Waterfront",196,15,1950
"South End","South End",11308,413,1950
"West End","West End",3789,138,1950
"West Roxbury","West Roxbury",7266,116,1950
"Allston","Allston",6779,319,1960
"Back Bay","Back Bay",8741,637,1960
"Beacon Hill","Beacon Hill",6097,488,1960
"Brighton","Brighton",15958,470,1960
"Charlestown","Charlestown",5978,465,1960
"Chinatown","Chinatown",973,103,1960
"Dorchester","Dorchester",44298,1572,1960
"Downtown","Downtown",1864,235,1960
"East Boston","East Boston",13294,696,1960
"Fenway","Fenway",10468,672,1960
"Harbor Islands","Harbor Islands",20,0,1960
"Hyde Park","Hyde Park",8106,210,1960
"Jamaica Plain","Jamaica Plain",14050,550,1960
"Longwood","Longwood",1069,48,1960
"Mattapan","Mattapan",6969,136,1960
"Mission Hill","Mission Hill",5330,389,1960
"North End","North End",4034,337,1960
"Roslindale","Roslindale",9199,158,1960
"Roxbury","Roxbury",23026,2723,1960
"South Boston","South Boston",13542,859,1960
"South Boston Waterfront","South Boston Waterfront",130,20,1960
"South End","South End",15490,2852,1960
"West End","West End",745,49,1960
"West Roxbury","West Roxbury",8544,141,1960
"Allston","Allston",7437,321,1970
"Back Bay","Back Bay",9206,782,1970
"Beacon Hill","Beacon Hill",6084,461,1970
"Brighton","Brighton",17109,457,1970
"Charlestown","Charlestown",4818,301,1970
"Chinatown","Chinatown",656,99,1970
"Dorchester","Dorchester",43208,2992,1970
"Downtown","Downtown",1014,126,1970
"East Boston","East Boston",12853,856,1970
"Fenway","Fenway",10793,865,1970
"Harbor Islands","Harbor Islands",38,0,1970
"Hyde Park","Hyde Park",10803,244,1970
"Jamaica Plain","Jamaica Plain",14294,849,1970
"Longwood","Longwood",816,104,1970
"Mattapan","Mattapan",8280,320,1970
"Mission Hill","Mission Hill",5412,512,1970
"North End","North End",4050,265,1970
"Roslindale","Roslindale",10508,215,1970
"Roxbury","Roxbury",16295,2308,1970
"South Boston","South Boston",13255,855,1970
"South Boston Waterfront","South Boston Waterfront",108,19,1970
"South End","South End",8162,1483,1970
"West End","West End",1808,277,1970
"West Roxbury","West Roxbury",10606,115,1970
"Allston","Allston",8397,641,1980
"Back Bay","Back Bay",10043,1051,1980
"Beacon Hill","Beacon Hill",5965,496,1980
"Brighton","Brighton",19730,783,1980
"Charlestown","Charlestown",5252,870,1980
"Chinatown","Chinatown",1144,128,1980
"Dorchester","Dorchester",36834,5167,1980
"Downtown","Downtown",2257,211,1980
"East Boston","East Boston",12955,1608,1980
"Fenway","Fenway",10564,928,1980
"Harbor Islands","Harbor Islands",0,0,1980
"Hyde Park","Hyde Park",10777,439,1980
"Jamaica Plain","Jamaica Plain",13536,1565,1980
"Longwood","Longwood",461,281,1980
"Mattapan","Mattapan",7588,644,1980
"Mission Hill","Mission Hill",4940,1374,1980
"North End","North End",4718,501,1980
"Roslindale","Roslindale",10420,444,1980
"Roxbury","Roxbury",15882,2685,1980
"South Boston","South Boston",12506,1407,1980
"South Boston Waterfront","South Boston Waterfront",83,24,1980
"South End","South End",10053,1430,1980
"West End","West End",2296,84,1980
"West Roxbury","West Roxbury",12055,226,1980
"Allston","Allston",8869,512,1990
"Back Bay","Back Bay",9670,1230,1990
"Beacon Hill","Beacon Hill",5534,687,1990
"Brighton","Brighton",20558,923,1990
"Charlestown","Charlestown",6841,911,1990
"Chinatown","Chinatown",1219,145,1990
"Dorchester","Dorchester",37745,4116,1990
"Downtown","Downtown",2518,471,1990
"East Boston","East Boston",13417,1393,1990
"Fenway","Fenway",11381,1316,1990
"Harbor Islands","Harbor Islands",0,0,1990
"Hyde Park","Hyde Park",11407,531,1990
"Jamaica Plain","Jamaica Plain",14288,1392,1990
"Longwood","Longwood",453,118,1990
"Mattapan","Mattapan",7745,610,1990
"Mission Hill","Mission Hill",5600,505,1990
"North End","North End",5469,632,1990
"Roslindale","Roslindale",10680,662,1990
"Roxbury","Roxbury",16229,2175,1990
"South Boston","South Boston",12932,1653,1990
"South Boston Waterfront","South Boston Waterfront",136,49,1990
"South End","South End",11235,1587,1990
"West End","West End",2133,236,1990
"West Roxbury","West Roxbury",12405,545,1990
"Allston","Allston",9163,131,2000
"Back Bay","Back Bay",10053,739,2000
"Beacon Hill","Beacon Hill",5620,427,2000
"Brighton","Brighton",21342,352,2000
"Charlestown","Charlestown",7350,405,2000
"Chinatown","Chinatown",1126,58,2000
"Dorchester","Dorchester",40589,2368,2000
"Downtown","Downtown",3222,285,2000
"East Boston","East Boston",14326,752,2000
"Fenway","Fenway",11857,443,2000
"Harbor Islands","Harbor Islands",0,0,2000
"Hyde Park","Hyde Park",11619,400,2000
"Jamaica Plain","Jamaica Plain",14584,794,2000
"Longwood","Longwood",658,9,2000
"Mattapan","Mattapan",8335,328,2000
"Mission Hill","Mission Hill",5455,174,2000
"North End","North End",5847,460,2000
"Roslindale","Roslindale",11318,366,2000
"Roxbury","Roxbury",15791,1641,2000
"South Boston","South Boston",13812,973,2000
"South Boston Waterfront","South Boston Waterfront",218,19,2000
"South End","South End",12703,784,2000
"West End","West End",2457,185,2000
"West Roxbury","West Roxbury",12083,314,2000
"Allston","Allston",9606,343,2010
"Back Bay","Back Bay",9829,1510,2010
"Beacon Hill","Beacon Hill",5450,563,2010
"Brighton","Brighton",21004,959,2010
"Charlestown","Charlestown",8033,615,2010
"Chinatown","Chinatown",1478,205,2010
"Dorchester","Dorchester",41237,3903,2010
"Downtown","Downtown",4623,798,2010
"East Boston","East Boston",14651,1203,2010
"Fenway","Fenway",12883,669,2010
"Harbor Islands","Harbor Islands",0,0,2010
"Hyde Park","Hyde Park",11712,769,2010
"Jamaica Plain","Jamaica Plain",15327,887,2010
"Longwood","Longwood",395,21,2010
"Mattapan","Mattapan",8349,763,2010
"Mission Hill","Mission Hill",6125,237,2010
"North End","North End",6065,659,2010
"Roslindale","Roslindale",11273,769,2010
"Roxbury","Roxbury",18180,1563,2010
"South Boston","South Boston",15258,1277,2010
"South Boston Waterfront","South Boston Waterfront",956,125,2010
"South End","South End",14423,979,2010
"West End","West End",2882,379,2010
"West Roxbury","West Roxbury",12960,586,2010
"Allston","Allston",10028,720,2020
"Back Bay","Back Bay",10003,1521,2020
"Beacon Hill","Beacon Hill",5488,549,2020
"Brighton","Brighton",22541,1112,2020
"Charlestown","Charlestown",8934,591,2020
"Chinatown","Chinatown",2938,334,2020
"Dorchester","Dorchester",44799,3166,2020
"Downtown","Downtown",5382,1222,2020
"East Boston","East Boston",16701,1315,2020
"Fenway","Fenway",13265,1360,2020
"Hyde Park","Hyde Park",12475,574,2020
"Jamaica Plain","Jamaica Plain",17397,1150,2020
"Longwood","Longwood",317,49,2020
"Mattapan","Mattapan",8824,523,2020
"Mission Hill","Mission Hill",6670,285,2020
"North End","North End",6313,519,2020
"Roslindale","Roslindale",11688,589,2020
"Roxbury","Roxbury",20017,1670,2020
"South Boston","South Boston",17953,1187,2020
"South Boston Waterfront","South Boston Waterfront",3624,998,2020
"South End","South End",16155,1443,2020
"West End","West End",4572,671,2020
"West Roxbury","West Roxbury",13395,675,2020
"Allston","Allston",10967,553,2024
"Back Bay","Back Bay",10166,1566,2024
"Beacon Hill","Beacon Hill",5518,519,2024
"Brighton","Brighton",24162,1176,2024
"Charlestown","Charlestown",9015,622,2024
"Chinatown","Chinatown",3056,385,2024
"Dorchester","Dorchester",45369,3960,2024
"Downtown","Downtown",6145,844,2024
"East Boston","East Boston",17947,1549,2024
"Fenway","Fenway",14347,776,2024
"Hyde Park","Hyde Park",12434,694,2024
"Jamaica Plain","Jamaica Plain",18225,839,2024
"Longwood","Longwood",332,34,2024
"Mattapan","Mattapan",9141,714,2024
"Mission Hill","Mission Hill",6910,252,2024
"North End","North End",6290,602,2024
"Roslindale","Roslindale",11792,778,2024
"Roxbury","Roxbury",20648,1777,2024
"South Boston","South Boston",18808,1274,2024
"South Boston Waterfront","South Boston Waterfront",4511,110,2024
"South End","South End",17971,1412,2024
"West End","West End",5015,697,2024
"West Roxbury","West Roxbury",13910,636,2024
