"YEAR","GEOID","vac","occ","NAME"
1950,25025000101,7,656,"Census Tract 1.01"
1950,25025000102,9,773,"Census Tract 1.02"
1950,25025000201,22,1194,"Census Tract 2.01"
1950,25025000202,22,1239,"Census Tract 2.02"
1950,25025000301,9,745,"Census Tract 3.01"
1950,25025000302,8,739,"Census Tract 3.02"
1950,25025000401,19,1734,"Census Tract 4.01"
1950,25025000402,12,1073,"Census Tract 4.02"
1950,25025000502,17,1768,"Census Tract 5.02"
1950,25025000503,7,759,"Census Tract 5.03"
1950,25025000505,6,667,"Census Tract 5.05"
1950,25025000506,9,889,"Census Tract 5.06"
1950,25025000601,9,909,"Census Tract 6.01"
1950,25025000603,5,463,"Census Tract 6.03"
1950,25025000604,8,755,"Census Tract 6.04"
1950,25025000701,25,1755,"Census Tract 7.01"
1950,25025000703,13,953,"Census Tract 7.03"
1950,25025000704,27,1925,"Census Tract 7.04"
1950,25025000804,8,632,"Census Tract 8.04"
1950,25025000805,10,781,"Census Tract 8.05"
1950,25025000806,5,368,"Census Tract 8.06"
1950,25025000807,4,336,"Census Tract 8.07"
1950,25025010103,18,483,"Census Tract 101.03"
1950,25025010104,27,725,"Census Tract 101.04"
1950,25025010204,18,1658,"Census Tract 102.04"
1950,25025010205,14,1289,"Census Tract 102.05"
1950,25025010206,10,953,"Census Tract 102.06"
1950,25025010300,24,785,"Census Tract 103"
1950,25025010403,14,984,"Census Tract 104.03"
1950,25025010404,19,1291,"Census Tract 104.04"
1950,25025010405,25,1676,"Census Tract 104.05"
1950,25025010408,8,741,"Census Tract 104.08"
1950,25025010500,17,1265,"Census Tract 105"
1950,25025010600,19,925,"Census Tract 106"
1950,25025010701,38,1070,"Census Tract 107.01"
1950,25025010702,36,1029,"Census Tract 107.02"
1950,25025010801,60,1012,"Census Tract 108.01"
1950,25025010802,63,1055,"Census Tract 108.02"
1950,25025020101,81,1747,"Census Tract 201.01"
1950,25025020200,52,1918,"Census Tract 202"
1950,25025020301,73,2032,"Census Tract 203.01"
1950,25025020302,46,868,"Census Tract 203.02"
1950,25025020304,4,77,"Census Tract 203.04"
1950,25025020305,61,1680,"Census Tract 203.05"
1950,25025030100,24,1265,"Census Tract 301"
1950,25025030200,12,859,"Census Tract 302"
1950,25025030301,4,74,"Census Tract 303.01"
1950,25025030302,13,243,"Census Tract 303.02"
1950,25025030400,42,1482,"Census Tract 304"
1950,25025030500,28,921,"Census Tract 305"
1950,25025040100,40,871,"Census Tract 401"
1950,25025040200,31,810,"Census Tract 402"
1950,25025040300,48,1939,"Census Tract 403"
1950,25025040401,44,1202,"Census Tract 404.01"
1950,25025040600,49,1366,"Census Tract 406"
1950,25025040801,6,550,"Census Tract 408.01"
1950,25025050101,17,1345,"Census Tract 501.01"
1950,25025050200,34,1677,"Census Tract 502"
1950,25025050300,19,751,"Census Tract 503"
1950,25025050400,16,866,"Census Tract 504"
1950,25025050500,5,800,"Census Tract 505"
1950,25025050600,20,867,"Census Tract 506"
1950,25025050700,57,1690,"Census Tract 507"
1950,25025050901,28,1683,"Census Tract 509.01"
1950,25025051000,20,1164,"Census Tract 510"
1950,25025051101,14,1559,"Census Tract 511.01"
1950,25025051200,25,1286,"Census Tract 512"
1950,25025060101,10,1333,"Census Tract 601.01"
1950,25025060200,10,938,"Census Tract 602"
1950,25025060301,13,1516,"Census Tract 603.01"
1950,25025060400,44,2075,"Census Tract 604"
1950,25025060501,52,1800,"Census Tract 605.01"
1950,25025060601,32,516,"Census Tract 606.01"
1950,25025060602,2,36,"Census Tract 606.02"
1950,25025060603,1,23,"Census Tract 606.03"
1950,25025060604,5,74,"Census Tract 606.04"
1950,25025060700,9,1033,"Census Tract 607"
1950,25025060800,105,1890,"Census Tract 608"
1950,25025061000,11,1415,"Census Tract 610"
1950,25025061101,5,957,"Census Tract 611.01"
1950,25025061201,15,823,"Census Tract 612.01"
1950,25025061202,,,"Census Tract 612.02"
1950,25025061203,32,329,"Census Tract 612.03"
1950,25025061204,6,63,"Census Tract 612.04"
1950,25025070102,5,103,"Census Tract 701.02"
1950,25025070103,0,5,"Census Tract 701.03"
1950,25025070104,2,39,"Census Tract 701.04"
1950,25025070201,14,315,"Census Tract 702.01"
1950,25025070202,23,601,"Census Tract 702.02"
1950,25025070301,38,872,"Census Tract 703.01"
1950,25025070302,23,535,"Census Tract 703.02"
1950,25025070402,63,1150,"Census Tract 704.02"
1950,25025070501,35,679,"Census Tract 705.01"
1950,25025070502,62,1447,"Census Tract 705.02"
1950,25025070600,10,945,"Census Tract 706"
1950,25025070700,24,681,"Census Tract 707"
1950,25025070801,4,404,"Census Tract 708.01"
1950,25025070802,10,1128,"Census Tract 708.02"
1950,25025070901,23,565,"Census Tract 709.01"
1950,25025070902,39,952,"Census Tract 709.02"
1950,25025071101,15,1353,"Census Tract 711.01"
1950,25025071201,94,1564,"Census Tract 712.01"
1950,25025080100,30,1317,"Census Tract 801"
1950,25025080300,24,1333,"Census Tract 803"
1950,25025080401,43,2304,"Census Tract 804.01"
1950,25025080500,48,2217,"Census Tract 805"
1950,25025080601,42,1859,"Census Tract 806.01"
1950,25025080801,27,1678,"Census Tract 808.01"
1950,25025080900,19,1305,"Census Tract 809"
1950,25025081001,9,1774,"Census Tract 810.01"
1950,25025081101,6,331,"Census Tract 811.01"
1950,25025081102,13,701,"Census Tract 811.02"
1950,25025081200,32,1312,"Census Tract 812"
1950,25025081301,11,573,"Census Tract 813.01"
1950,25025081302,16,801,"Census Tract 813.02"
1950,25025081400,55,2200,"Census Tract 814"
1950,25025081500,25,1414,"Census Tract 815"
1950,25025081700,46,2720,"Census Tract 817"
1950,25025081800,32,1701,"Census Tract 818"
1950,25025081900,23,2035,"Census Tract 819"
1950,25025082000,10,1462,"Census Tract 820"
1950,25025082100,30,2075,"Census Tract 821"
1950,25025090100,11,2212,"Census Tract 901"
1950,25025090200,10,898,"Census Tract 902"
1950,25025090300,31,1610,"Census Tract 903"
1950,25025090400,20,2214,"Census Tract 904"
1950,25025090600,28,1491,"Census Tract 906"
1950,25025090700,25,1973,"Census Tract 907"
1950,25025090901,8,655,"Census Tract 909.01"
1950,25025091001,11,881,"Census Tract 910.01"
1950,25025091100,14,1788,"Census Tract 911"
1950,25025091200,22,1145,"Census Tract 912"
1950,25025091300,13,1096,"Census Tract 913"
1950,25025091400,9,1222,"Census Tract 914"
1950,25025091500,8,1523,"Census Tract 915"
1950,25025091600,9,1207,"Census Tract 916"
1950,25025091700,13,1118,"Census Tract 917"
1950,25025091800,24,1483,"Census Tract 918"
1950,25025091900,23,1436,"Census Tract 919"
1950,25025092000,14,1831,"Census Tract 920"
1950,25025092101,21,2522,"Census Tract 921.01"
1950,25025092200,10,1107,"Census Tract 922"
1950,25025092300,10,1181,"Census Tract 923"
1950,25025092400,19,2200,"Census Tract 924"
1950,25025100100,18,2165,"Census Tract 1001"
