YEAR,c20aa,c20ab,c20ac,c20ad,c20ae,c20af,c20ag,c20ah,c20ai,GEOID,NAME
1990,2990,1178,1012,1440,861,1168,374,570,10998,Allston,Allston
1990,1293,211,381,306,265,373,64,202,11617,Back Bay,Back Bay
1990,497,204,210,211,142,214,54,154,7352,Beacon Hill,Beacon Hill
1990,4255,1661,2202,2039,1565,1785,758,948,30283,Brighton,Brighton
1990,671,567,600,699,414,385,165,246,10781,Charlestown,Charlestown
1990,399,205,226,268,180,170,68,92,1109,Chinatown,Chinatown
1990,10412,6573,5282,5380,4017,5188,1979,3316,68547,Dorchester,Dorchester
1990,558,239,210,374,164,183,77,69,2671,Downtown,Downtown
1990,2586,1655,2073,2116,1995,1723,603,836,19101,East Boston,East Boston
1990,4184,1273,1732,1579,778,714,250,641,8555,Fenway,Fenway
1990,176,32,21,5,0,0,0,8,48,Harbor Islands,Harbor Islands
1990,880,750,623,851,1180,1273,237,787,23428,Hyde Park,Hyde Park
1990,2948,2461,1708,1868,1088,2028,510,943,23887,Jamaica Plain,Jamaica Plain
1990,254,39,56,31,137,116,7,34,393,Longwood,Longwood
1990,2052,1228,918,644,682,978,481,515,15783,Mattapan,Mattapan
1990,1810,985,801,1090,742,800,213,425,6418,Mission Hill,Mission Hill
1990,383,223,459,450,299,485,138,143,6539,North End,North End
1990,877,892,789,846,853,919,616,661,21510,Roslindale,Roslindale
1990,6180,4192,2986,2991,2080,2591,729,930,20733,Roxbury,Roxbury
1990,1895,1644,1424,1204,955,1341,488,776,18901,South Boston,South Boston
1990,32,14,9,6,0,10,8,1,216,South Boston Waterfront,South Boston Waterfront
1990,2187,1281,1484,1235,732,1155,475,846,14321,South End,South End
1990,196,130,97,107,105,64,22,82,2579,West End,West End
1990,542,475,420,669,357,442,168,429,25621,West Roxbury,West Roxbury
2000,4469,1108,1005,1064,972,868,238,638,10337,Allston,Allston
2000,1151,255,183,304,209,242,74,112,12266,Back Bay,Back Bay
2000,438,112,157,121,236,142,66,62,7431,Beacon Hill,Beacon Hill
2000,4984,1858,1827,1690,1727,1417,368,886,30733,Brighton,Brighton
2000,1583,511,564,630,528,547,51,121,10650,Charlestown,Charlestown
2000,253,214,378,238,113,166,52,47,963,Chinatown,Chinatown
2000,13163,5603,6266,6092,6033,6419,2368,3954,67911,Dorchester,Dorchester
2000,573,414,586,461,208,316,111,93,3254,Downtown,Downtown
2000,3776,1549,2111,2293,2632,2993,955,910,20841,East Boston,East Boston
2000,4416,1159,1122,1066,1009,780,188,232,9401,Fenway,Fenway
2000,322,78,44,30,19,39,0,0,106,Harbor Islands,Harbor Islands
2000,1850,802,955,1143,999,1440,666,658,23147,Hyde Park,Hyde Park
2000,3497,1522,1495,1794,1765,1533,529,840,22597,Jamaica Plain,Jamaica Plain
2000,517,210,130,63,67,64,37,30,375,Longwood,Longwood
2000,1965,791,1149,1485,1215,1181,295,725,15285,Mattapan,Mattapan
2000,2396,843,907,783,487,539,308,271,5620,Mission Hill,Mission Hill
