YEAR,GEOID,c20aa,c20ab,c20ac,c20ad,c20ae,c20af,c20ag,c20ah,c20ai,NAME
1990,25025000101,53,29,45,104,64,129,23,24,1297,Census Tract 1.01
1990,25025000102,63,35,53,121,74,152,27,28,1520,Census Tract 1.02
1990,25025000201,214,64,85,67,90,112,97,57,2903,Census Tract 2.01
1990,25025000202,163,179,213,59,107,182,38,37,2880,Census Tract 2.02
1990,25025000301,137,35,88,114,49,116,23,93,2314,Census Tract 3.01
1990,25025000302,135,35,87,113,49,114,22,93,2293,Census Tract 3.02
1990,25025000401,727,113,398,540,206,320,189,107,2989,Census Tract 4.01
1990,25025000402,199,98,138,71,73,83,66,90,2228,Census Tract 4.02
1990,25025000502,868,77,192,127,65,64,64,55,3049,Census Tract 5.02
1990,25025000503,195,165,132,101,139,71,33,54,1457,Census Tract 5.03
1990,25025000505,172,144,115,89,122,62,29,47,1279,Census Tract 5.05
1990,25025000506,229,193,154,118,163,83,39,63,1706,Census Tract 5.06
1990,25025000601,214,78,139,61,66,72,22,70,2676,Census Tract 6.01
1990,25025000603,153,180,96,150,81,109,73,51,803,Census Tract 6.03
1990,25025000604,250,293,158,244,132,179,118,84,1310,Census Tract 6.04
1990,25025000701,786,265,312,308,281,245,36,103,2186,Census Tract 7.01
1990,25025000703,513,158,128,152,98,113,24,73,1203,Census Tract 7.03
1990,25025000704,1038,319,259,307,198,229,49,147,2431,Census Tract 7.04
1990,25025000804,452,95,188,254,137,189,53,74,1783,Census Tract 8.04
1990,25025000805,538,121,220,302,165,228,65,91,2136,Census Tract 8.05
1990,25025000806,76,85,7,40,35,53,22,40,438,Census Tract 8.06
1990,25025000807,70,78,7,37,32,48,20,37,400,Census Tract 8.07
1990,25025010103,230,80,118,29,14,6,0,11,256,Census Tract 101.03
1990,25025010104,430,116,250,201,55,63,26,35,1558,Census Tract 101.04
1990,25025010204,545,224,190,190,131,121,17,94,1213,Census Tract 102.04
1990,25025010205,423,174,147,148,102,94,13,73,943,Census Tract 102.05
1990,25025010206,313,129,109,109,75,70,10,54,698,Census Tract 102.06
1990,25025010300,254,39,56,31,137,116,7,34,393,Census Tract 103
1990,25025010403,642,145,280,250,93,84,16,102,1203,Census Tract 104.03
1990,25025010404,842,189,367,327,123,111,21,134,1577,Census Tract 104.04
1990,25025010405,515,116,186,240,126,111,140,96,564,Census Tract 104.05
1990,25025010408,244,100,85,85,59,54,7,42,543,Census Tract 104.08
1990,25025010500,274,97,114,87,19,105,26,61,1610,Census Tract 105
1990,25025010600,128,17,57,88,77,88,7,13,1494,Census Tract 106
1990,25025010701,198,5,56,20,33,49,6,47,1991,Census Tract 107.01
1990,25025010702,191,5,54,20,31,47,5,45,1913,Census Tract 107.02
1990,25025010801,246,43,49,45,51,41,10,18,2257,Census Tract 108.01
1990,25025010802,256,44,51,46,54,43,10,18,2352,Census Tract 108.02
1990,25025020101,158,62,99,39,63,61,17,19,3971,Census Tract 201.01
1990,25025020200,272,97,77,135,42,131,30,107,2494,Census Tract 202
1990,25025020301,108,71,53,59,57,36,12,45,1411,Census Tract 203.01
1990,25025020302,67,45,34,37,37,22,7,28,887,Census Tract 203.02
1990,25025020304,6,4,3,3,3,2,1,3,82,Census Tract 203.04
1990,25025020305,82,55,41,45,45,26,9,34,1086,Census Tract 203.05
1990,25025030100,41,49,97,81,76,42,49,16,1503,Census Tract 301
1990,25025030200,96,40,118,98,49,157,23,48,963,Census Tract 302
1990,25025030301,84,35,28,71,18,30,7,0,869,Census Tract 303.01
1990,25025030302,85,36,30,73,19,33,8,1,878,Census Tract 303.02
1990,25025030400,193,103,93,221,75,166,40,26,2606,Census Tract 304
1990,25025030500,53,31,151,50,99,120,26,53,1467,Census Tract 305
1990,25025040100,20,9,82,88,43,51,8,22,1528,Census Tract 401
1990,25025040200,170,141,50,91,59,54,5,109,807,Census Tract 402
1990,25025040300,111,187,231,90,173,78,89,11,3071,Census Tract 403
1990,25025040401,98,36,55,142,30,31,23,26,1673,Census Tract 404.01
1990,25025040600,46,24,11,61,39,17,26,52,1867,Census Tract 406
1990,25025040801,226,170,171,227,70,154,14,26,1835,Census Tract 408.01
1990,25025050101,506,220,282,324,152,151,48,94,2272,Census Tract 501.01
1990,25025050200,306,213,226,139,271,387,26,95,2331,Census Tract 502
1990,25025050300,276,201,325,188,292,119,27,27,394,Census Tract 503
1990,25025050400,187,104,69,182,274,107,16,46,1001,Census Tract 504
1990,25025050500,46,65,49,115,111,35,32,53,1110,Census Tract 505
1990,25025050600,139,100,105,100,213,109,97,9,784,Census Tract 506
1990,25025050700,266,116,302,340,133,99,63,79,1656,Census Tract 507
1990,25025050901,272,168,80,248,148,138,19,78,2016,Census Tract 509.01
1990,25025051000,152,245,252,188,155,203,102,102,2541,Census Tract 510
1990,25025051101,249,158,332,217,181,211,127,191,3355,Census Tract 511.01
1990,25025051200,187,65,51,75,65,164,46,62,1641,Census Tract 512
1990,25025060101,103,29,125,45,104,167,80,79,2349,Census Tract 601.01
1990,25025060200,44,59,38,51,77,23,37,30,1820,Census Tract 602
1990,25025060301,94,47,64,96,107,107,88,238,2365,Census Tract 603.01
