"YEAR","ESTAB","num_sml_sbus","num_sml_bbus","vol_sml_sbus","vol_sml_bbus","GEOID","NAME"
1998,968,31,61,1325230.67484663,7351618.40490798,"Zip Code 02111","Zip Code 02111"
1999,972,44,34,1451201.68067227,2796989.19567827,"Zip Code 02111","Zip Code 02111"
2000,992,34,79,929772.93844367,3287350.75493612,"Zip Code 02111","Zip Code 02111"
2001,965,46,83,1829581.59232072,2907167.13721062,"Zip Code 02111","Zip Code 02111"
2002,958,40,126,3899954.9749861,3034382.99055031,"Zip Code 02111","Zip Code 02111"
2003,917,54,117,3469449.45652174,3248333.69565217,"Zip Code 02111","Zip Code 02111"
2004,883,39,109,1397646.37374272,3681605.082054,"Zip Code 02111","Zip Code 02111"
2005,895,64,95,2508857.14285714,5008721.96620584,"Zip Code 02111","Zip Code 02111"
2006,905,66,174,1372031.25,2735351.19047619,"Zip Code 02111","Zip Code 02111"
2007,904,95,195,1803077.18282682,2856401.83309214,"Zip Code 02111","Zip Code 02111"
2008,901,45,143,2536823.96655829,3483034.83511379,"Zip Code 02111","Zip Code 02111"
2009,895,20,65,1191268.53146853,1797137.06293706,"Zip Code 02111","Zip Code 02111"
2010,922,20,71,365036.221916552,1908387.8954608,"Zip Code 02111","Zip Code 02111"
2011,902,34,62,1866304.13517119,1637245.88706092,"Zip Code 02111","Zip Code 02111"
2012,908,43,64,653985.6271777,4579174.21602787,"Zip Code 02111","Zip Code 02111"
2013,919,50,62,1824036.05150215,2718466.9527897,"Zip Code 02111","Zip Code 02111"
2014,968,54,83,2103433.46007605,4391118.29319814,"Zip Code 02111","Zip Code 02111"
2015,999,59,90,1236256.11814346,5377281.85654008,"Zip Code 02111","Zip Code 02111"
2016,1023,79,99,1079331.25,4591731.25,"Zip Code 02111","Zip Code 02111"
2017,1064,80,78,2888785.39371685,3315117.09506324,"Zip Code 02111","Zip Code 02111"
2018,1070,72,114,1671572.28195938,3353635.60334528,"Zip Code 02111","Zip Code 02111"
2019,1086,117,113,4186170.90340242,4875280.79780993,"Zip Code 02111","Zip Code 02111"
2020,1034,101,174,5303208.26893354,16847214.8377125,"Zip Code 02111","Zip Code 02111"
2021,985,117,132,3199178.59778598,10414071.5867159,"Zip Code 02111","Zip Code 02111"
2022,951,97,158,1515000,5719000,"Zip Code 02111","Zip Code 02111"
1998,171,38,52,3846401.22699386,4153466.87116564,"Zip Code 02113","Zip Code 02113"
1999,174,41,36,1835963.38535414,3318789.31572629,"Zip Code 02113","Zip Code 02113"
2000,176,45,68,4924227.06155633,4625067.94425087,"Zip Code 02113","Zip Code 02113"
2001,165,62,78,4764845.28514963,8724806.88876341,"Zip Code 02113","Zip Code 02113"
2002,184,36,95,2220875.48638132,6851360.20011117,"Zip Code 02113","Zip Code 02113"
2003,180,55,104,3388320.65217391,4729332.06521739,"Zip Code 02113","Zip Code 02113"
2004,174,59,115,3334517.73425093,5823010.05823187,"Zip Code 02113","Zip Code 02113"
2005,183,82,82,3880185.86789554,7129410.65028162,"Zip Code 02113","Zip Code 02113"
2006,173,114,232,4291771.82539683,5078693.45238095,"Zip Code 02113","Zip Code 02113"
2007,166,99,190,5265211.28798842,5253915.58128316,"Zip Code 02113","Zip Code 02113"
2008,171,69,213,2592563.39990711,5058693.45099861,"Zip Code 02113","Zip Code 02113"
2009,169,23,75,2198320.27972028,3498754.31235431,"Zip Code 02113","Zip Code 02113"
2010,179,35,86,2886738.6519945,3226276.02017423,"Zip Code 02113","Zip Code 02113"
2011,182,60,83,2654993.33036905,3434572.25433526,"Zip Code 02113","Zip Code 02113"
2012,184,83,93,2499933.36236934,4087091.46341463,"Zip Code 02113","Zip Code 02113"
2013,182,74,62,2302657.08154506,2567720.17167382,"Zip Code 02113","Zip Code 02113"
2014,179,69,84,6126049.00718209,5605446.13434727,"Zip Code 02113","Zip Code 02113"
2015,180,72,75,5200673.83966245,5255014.76793249,"Zip Code 02113","Zip Code 02113"
2016,185,100,106,6607702.5,6469889.58333333,"Zip Code 02113","Zip Code 02113"
2017,180,77,103,7577239.90208078,5645013.87188902,"Zip Code 02113","Zip Code 02113"
2018,181,67,121,4225557.54679411,7525572.28195938,"Zip Code 02113","Zip Code 02113"
2019,186,64,140,2453093.85999218,7381030.89558076,"Zip Code 02113","Zip Code 02113"
2020,180,82,188,7106005.02318393,19742547.1406491,"Zip Code 02113","Zip Code 02113"
2021,180,104,189,2613778.59778598,22548700.7380074,"Zip Code 02113","Zip Code 02113"
2022,179,113,183,1864000,4689000,"Zip Code 02113","Zip Code 02113"
1998,796,124,152,12438852.1472393,18186905.5214724,"Zip Code 02114","Zip Code 02114"
1999,823,154,100,12618075.6302521,12704163.8655462,"Zip Code 02114","Zip Code 02114"
2000,831,122,287,12566382.6945412,6137861.20789779,"Zip Code 02114","Zip Code 02114"
2001,843,193,248,11433645.3980802,22584672.5014116,"Zip Code 02114","Zip Code 02114"
2002,741,171,331,9579864.36909394,24665547.5264036,"Zip Code 02114","Zip Code 02114"
2003,748,213,326,16160539.673913,16702989.1304348,"Zip Code 02114","Zip Code 02114"
2004,740,169,357,10954944.4150344,16018700.8999471,"Zip Code 02114","Zip Code 02114"
2005,711,217,279,6601861.2391193,15573198.6687148,"Zip Code 02114","Zip Code 02114"
2006,697,288,775,11612175.5952381,25124868.5515873,"Zip Code 02114","Zip Code 02114"
