GEOID,YEAR,NAME,num_sml_sbus,num_sml_bbus
25025010300,2012,Census Tract 103,1,5
25025010405,2012,Census Tract 104.05,5,10
25025080401,2012,Census Tract 804.01,9,15
25025080801,2012,Census Tract 808.01,1,6
25025090300,2012,Census Tract 903,1,6
25025040801,2012,Census Tract 408.01,41,62
25025050300,2012,Census Tract 503,13,11
25025060700,2012,Census Tract 607,0,1
25025061000,2012,Census Tract 610,4,5
25025061101,2012,Census Tract 611.01,0,1
25025070900,2012,Census Tract 709,27,12
25025080500,2012,Census Tract 805,6,9
25025080601,2012,Census Tract 806.01,19,17
25025081300,2012,Census Tract 813,1,17
25025082100,2012,Census Tract 821,6,5
25025090200,2012,Census Tract 902,5,5
25025000602,2012,Census Tract 6.02,16,29
25025000803,2012,Census Tract 8.03,7,9
25025010204,2012,Census Tract 102.04,12,26
25025070402,2012,Census Tract 704.02,4,12
25025080300,2012,Census Tract 803,1,12
25025081001,2012,Census Tract 810.01,17,23
25025081200,2012,Census Tract 812,6,8
25025081500,2012,Census Tract 815,4,12
25025090901,2012,Census Tract 909.01,10,4
25025091300,2012,Census Tract 913,13,13
25025091600,2012,Census Tract 916,21,24
25025091900,2012,Census Tract 919,7,13
25025092400,2012,Census Tract 924,6,25
25025100100,2012,Census Tract 1001,10,21
25025000100,2012,Census Tract 1,58,95
25025010403,2012,Census Tract 104.03,16,26
25025050101,2012,Census Tract 501.01,12,11
25025050400,2012,Census Tract 504,11,12
25025050600,2012,Census Tract 506,10,11
25025050901,2012,Census Tract 509.01,23,30
25025070200,2012,Census Tract 702,43,64
25025071201,2012,Census Tract 712.01,63,82
25025090100,2012,Census Tract 901,13,11
25025090400,2012,Census Tract 904,7,14
25025091400,2012,Census Tract 914,7,10
25025091800,2012,Census Tract 918,5,8
25025092200,2012,Census Tract 922,21,23
25025092300,2012,Census Tract 923,2,8
25025101102,2012,Census Tract 1011.02,8,25
25025110401,2012,Census Tract 1104.01,6,19
25025130406,2012,Census Tract 1304.06,9,13
25025000202,2012,Census Tract 2.02,26,24
25025000401,2012,Census Tract 4.01,27,26
25025000504,2012,Census Tract 5.04,11,17
25025000802,2012,Census Tract 8.02,89,103
25025010404,2012,Census Tract 104.04,15,18
25025050200,2012,Census Tract 502,8,15
25025050500,2012,Census Tract 505,3,5
25025050700,2012,Census Tract 507,15,7
25025051200,2012,Census Tract 512,14,23
25025071101,2012,Census Tract 711.01,26,29
25025080100,2012,Census Tract 801,21,94
25025081700,2012,Census Tract 817,10,14
25025081800,2012,Census Tract 818,8,10
25025090700,2012,Census Tract 907,25,56
25025091200,2012,Census Tract 912,8,13
25025091700,2012,Census Tract 917,1,10
25025092101,2012,Census Tract 921.01,41,56
25025100200,2012,Census Tract 1002,5,9
25025100300,2012,Census Tract 1003,4,18
25025100400,2012,Census Tract 1004,17,33
25025100500,2012,Census Tract 1005,24,27
25025101002,2012,Census Tract 1010.02,11,41
25025120201,2012,Census Tract 1202.01,26,26
25025140106,2012,Census Tract 1401.06,2,5
25025000701,2012,Census Tract 7.01,18,23
25025000703,2012,Census Tract 7.03,28,25
25025000704,2012,Census Tract 7.04,17,22
25025051000,2012,Census Tract 510,34,21
25025082000,2012,Census Tract 820,5,15
25025090600,2012,Census Tract 906,13,10
25025091500,2012,Census Tract 915,11,20
25025092000,2012,Census Tract 920,23,14
25025120500,2012,Census Tract 1205,11,10
25025000601,2012,Census Tract 6.01,31,37
25025051101,2012,Census Tract 511.01,16,24
25025070700,2012,Census Tract 707,37,58
25025081400,2012,Census Tract 814,25,20
25025081900,2012,Census Tract 819,1,7
25025091100,2012,Census Tract 911,18,27
25025100601,2012,Census Tract 1006.01,11,22
25025100900,2012,Census Tract 1009,18,25
25025110103,2012,Census Tract 1101.03,27,38
25025110403,2012,Census Tract 1104.03,14,28
25025110502,2012,Census Tract 1105.02,53,47
25025120301,2012,Census Tract 1203.01,35,54
25025120700,2012,Census Tract 1207,14,13
25025140201,2012,Census Tract 1402.01,9,22
25025140300,2012,Census Tract 1403,29,51
25025000201,2012,Census Tract 2.01,37,17
25025000302,2012,Census Tract 3.02,19,19
25025000502,2012,Census Tract 5.02,20,24
25025020200,2012,Census Tract 202,25,28
25025070800,2012,Census Tract 708,37,26
25025080900,2012,Census Tract 809,16,23
25025100800,2012,Census Tract 1008,33,33
25025101001,2012,Census Tract 1010.01,26,40
25025101101,2012,Census Tract 1011.01,2,14
25025110201,2012,Census Tract 1102.01,7,13
25025140400,2012,Census Tract 1404,21,41
25025010203,2012,Census Tract 102.03,16,41
25025010500,2012,Census Tract 105,21,25
25025040200,2012,Census Tract 402,4,8
25025060101,2012,Census Tract 601.01,19,18
25025060200,2012,Census Tract 602,9,6
25025091001,2012,Census Tract 910.01,33,38
25025100603,2012,Census Tract 1006.03,7,25
25025100700,2012,Census Tract 1007,37,23
25025120104,2012,Census Tract 1201.04,5,10
25025130100,2012,Census Tract 1301,44,49
25025130404,2012,Census Tract 1304.04,21,26
25025140102,2012,Census Tract 1401.02,31,50
25025140105,2012,Census Tract 1401.05,16,44
25025140107,2012,Census Tract 1401.07,8,14
25025140202,2012,Census Tract 1402.02,16,29
25025000301,2012,Census Tract 3.01,18,19
25025000503,2012,Census Tract 5.03,3,10
25025010104,2012,Census Tract 101.04,51,55
25025010408,2012,Census Tract 104.08,5,2
25025030100,2012,Census Tract 301,6,8
25025040401,2012,Census Tract 404.01,32,25
25025070500,2012,Census Tract 705,62,61
25025081100,2012,Census Tract 811,8,29
25025060800,2012,Census Tract 608,28,16
25025110301,2012,Census Tract 1103.01,14,25
25025110607,2012,Census Tract 1106.07,45,51
25025120600,2012,Census Tract 1206,11,22
25025000402,2012,Census Tract 4.02,41,19
25025010103,2012,Census Tract 101.03,5,7
25025010600,2012,Census Tract 106,62,95
25025010701,2012,Census Tract 107.01,82,127
25025010702,2012,Census Tract 107.02,158,246
25025010801,2012,Census Tract 108.01,26,26
25025010802,2012,Census Tract 108.02,39,26
25025020101,2012,Census Tract 201.01,60,62
25025020301,2012,Census Tract 203.01,26,32
25025020302,2012,Census Tract 203.02,11,22
25025020303,2012,Census Tract 203.03,65,120
25025030200,2012,Census Tract 302,15,28
25025030300,2012,Census Tract 303,327,562
25025030400,2012,Census Tract 304,62,57
25025030500,2012,Census Tract 305,24,46
25025040100,2012,Census Tract 401,20,30
25025040300,2012,Census Tract 403,16,23
25025040600,2012,Census Tract 406,35,58
25025060301,2012,Census Tract 603.01,21,18
25025060400,2012,Census Tract 604,20,29
25025060501,2012,Census Tract 605.01,38,45
25025060600,2012,Census Tract 606,75,169
25025061200,2012,Census Tract 612,76,135
25025070101,2012,Census Tract 701.01,449,709
25025070300,2012,Census Tract 703,93,154
25025070600,2012,Census Tract 706,20,31
25025110501,2012,Census Tract 1105.01,12,21
25025110601,2012,Census Tract 1106.01,18,16
25025120103,2012,Census Tract 1201.03,19,31
25025120105,2012,Census Tract 1201.05,18,24
25025120400,2012,Census Tract 1204,53,36
25025130200,2012,Census Tract 1302,47,51
25025130300,2012,Census Tract 1303,29,41
25025130402,2012,Census Tract 1304.02,18,62
25025010300,2013,Census Tract 103,2,12
25025010405,2013,Census Tract 104.05,7,16
25025080401,2013,Census Tract 804.01,12,17
25025080801,2013,Census Tract 808.01,2,1
25025090300,2013,Census Tract 903,1,5
25025040801,2013,Census Tract 408.01,50,46
25025050300,2013,Census Tract 503,17,9
25025060700,2013,Census Tract 607,1,2
25025061000,2013,Census Tract 610,7,7
25025061101,2013,Census Tract 611.01,1,2
25025070900,2013,Census Tract 709,29,21
25025080500,2013,Census Tract 805,2,2
25025080601,2013,Census Tract 806.01,10,9
25025081300,2013,Census Tract 813,13,7
25025082100,2013,Census Tract 821,9,3
25025090200,2013,Census Tract 902,3,4
25025000602,2013,Census Tract 6.02,22,21
25025000803,2013,Census Tract 8.03,20,10
25025010204,2013,Census Tract 102.04,15,22
25025070402,2013,Census Tract 704.02,8,10
25025080300,2013,Census Tract 803,4,7
25025081001,2013,Census Tract 810.01,30,16
25025081200,2013,Census Tract 812,9,9
25025081500,2013,Census Tract 815,7,6
25025090901,2013,Census Tract 909.01,5,5
25025091300,2013,Census Tract 913,4,8
25025091600,2013,Census Tract 916,20,14
25025091900,2013,Census Tract 919,8,9
25025092400,2013,Census Tract 924,15,12
25025100100,2013,Census Tract 1001,4,11
25025000100,2013,Census Tract 1,55,90
25025010403,2013,Census Tract 104.03,13,14
25025050101,2013,Census Tract 501.01,6,5
25025050400,2013,Census Tract 504,19,13
25025050600,2013,Census Tract 506,13,9
25025050901,2013,Census Tract 509.01,16,33
25025070200,2013,Census Tract 702,50,62
25025071201,2013,Census Tract 712.01,62,62
25025090100,2013,Census Tract 901,9,11
25025090400,2013,Census Tract 904,11,7
25025091400,2013,Census Tract 914,10,3
25025091800,2013,Census Tract 918,12,9
25025092200,2013,Census Tract 922,6,16
25025092300,2013,Census Tract 923,6,13
25025101102,2013,Census Tract 1011.02,17,13
25025110401,2013,Census Tract 1104.01,12,11
25025130406,2013,Census Tract 1304.06,11,20
25025000202,2013,Census Tract 2.02,20,14
25025000401,2013,Census Tract 4.01,28,24
25025000504,2013,Census Tract 5.04,18,13
25025000802,2013,Census Tract 8.02,102,108
25025010404,2013,Census Tract 104.04,26,23
25025050200,2013,Census Tract 502,7,6
25025050500,2013,Census Tract 505,3,4
25025050700,2013,Census Tract 507,10,8
25025051200,2013,Census Tract 512,15,22
25025071101,2013,Census Tract 711.01,32,16
25025080100,2013,Census Tract 801,26,91
25025081700,2013,Census Tract 817,7,11
25025081800,2013,Census Tract 818,7,5
25025090700,2013,Census Tract 907,32,45
25025091200,2013,Census Tract 912,14,5
25025091700,2013,Census Tract 917,6,5
25025092101,2013,Census Tract 921.01,39,47
25025100200,2013,Census Tract 1002,6,7
25025100300,2013,Census Tract 1003,5,5
25025100400,2013,Census Tract 1004,15,13
25025100500,2013,Census Tract 1005,17,16
25025101002,2013,Census Tract 1010.02,12,22
25025120201,2013,Census Tract 1202.01,23,24
25025140106,2013,Census Tract 1401.06,2,4
25025000701,2013,Census Tract 7.01,19,13
25025000703,2013,Census Tract 7.03,30,27
25025000704,2013,Census Tract 7.04,26,22
25025051000,2013,Census Tract 510,13,23
25025082000,2013,Census Tract 820,7,8
25025090600,2013,Census Tract 906,14,9
25025091500,2013,Census Tract 915,9,11
25025092000,2013,Census Tract 920,24,9
25025120500,2013,Census Tract 1205,9,16
25025000601,2013,Census Tract 6.01,32,24
25025051101,2013,Census Tract 511.01,24,20
25025070700,2013,Census Tract 707,39,46
25025081400,2013,Census Tract 814,15,14
25025081900,2013,Census Tract 819,1,6
25025091100,2013,Census Tract 911,32,20
25025100601,2013,Census Tract 1006.01,12,16
25025100900,2013,Census Tract 1009,15,20
25025110103,2013,Census Tract 1101.03,24,30
25025110403,2013,Census Tract 1104.03,14,19
25025110502,2013,Census Tract 1105.02,50,22
25025120301,2013,Census Tract 1203.01,29,39
25025120700,2013,Census Tract 1207,19,4
25025140201,2013,Census Tract 1402.01,7,15
25025140300,2013,Census Tract 1403,33,40
25025000201,2013,Census Tract 2.01,23,19
25025000302,2013,Census Tract 3.02,22,15
25025000502,2013,Census Tract 5.02,34,29
25025020200,2013,Census Tract 202,27,31
25025070800,2013,Census Tract 708,47,28
25025080900,2013,Census Tract 809,20,17
25025100800,2013,Census Tract 1008,30,41
25025101001,2013,Census Tract 1010.01,19,26
25025101101,2013,Census Tract 1011.01,9,4
25025110201,2013,Census Tract 1102.01,7,6
25025140400,2013,Census Tract 1404,26,24
25025010203,2013,Census Tract 102.03,27,35
25025010500,2013,Census Tract 105,33,26
25025040200,2013,Census Tract 402,4,2
25025060101,2013,Census Tract 601.01,23,26
25025060200,2013,Census Tract 602,11,7
25025091001,2013,Census Tract 910.01,24,32
25025100603,2013,Census Tract 1006.03,15,23
25025100700,2013,Census Tract 1007,44,31
25025120104,2013,Census Tract 1201.04,7,8
25025130100,2013,Census Tract 1301,55,47
25025130404,2013,Census Tract 1304.04,20,28
25025140102,2013,Census Tract 1401.02,36,37
25025140105,2013,Census Tract 1401.05,21,22
25025140107,2013,Census Tract 1401.07,11,11
25025140202,2013,Census Tract 1402.02,8,12
25025000301,2013,Census Tract 3.01,27,22
25025000503,2013,Census Tract 5.03,6,12
25025010104,2013,Census Tract 101.04,68,48
25025010408,2013,Census Tract 104.08,9,3
25025030100,2013,Census Tract 301,7,11
25025040401,2013,Census Tract 404.01,21,24
25025070500,2013,Census Tract 705,78,58
25025081100,2013,Census Tract 811,21,15
25025060800,2013,Census Tract 608,35,25
25025110301,2013,Census Tract 1103.01,8,7
25025110607,2013,Census Tract 1106.07,49,49
25025120600,2013,Census Tract 1206,7,15
25025000402,2013,Census Tract 4.02,30,26
25025010103,2013,Census Tract 101.03,10,11
25025010600,2013,Census Tract 106,56,94
25025010701,2013,Census Tract 107.01,83,98
25025010702,2013,Census Tract 107.02,177,234
25025010801,2013,Census Tract 108.01,28,18
25025010802,2013,Census Tract 108.02,33,25
25025020101,2013,Census Tract 201.01,70,53
25025020301,2013,Census Tract 203.01,30,43
25025020302,2013,Census Tract 203.02,15,16
25025020303,2013,Census Tract 203.03,60,97
25025030200,2013,Census Tract 302,15,22
25025030300,2013,Census Tract 303,326,505
25025030400,2013,Census Tract 304,52,29
25025030500,2013,Census Tract 305,35,28
25025040100,2013,Census Tract 401,27,22
25025040300,2013,Census Tract 403,17,22
25025040600,2013,Census Tract 406,29,53
25025060301,2013,Census Tract 603.01,20,17
25025060400,2013,Census Tract 604,16,20
25025060501,2013,Census Tract 605.01,43,45
25025060600,2013,Census Tract 606,95,153
25025061200,2013,Census Tract 612,92,155
25025070101,2013,Census Tract 701.01,438,662
25025070300,2013,Census Tract 703,96,109
25025070600,2013,Census Tract 706,45,25
25025110501,2013,Census Tract 1105.01,17,16
