"YEAR","GEOID","zero_nine","ten_nineteen","twenty_thirtyfour","thirtyfive_fiftyfour","fiftyfive_sixtyfour","sixtyfive_more","NAME"
1950,25025000101,465,392,584,628,259,185,"Census Tract 1.01"
1950,25025000102,547,462,687,739,305,217,"Census Tract 1.02"
1950,25025000201,729,596,1079,1192,471,390,"Census Tract 2.01"
1950,25025000202,755,617,1118,1235,488,405,"Census Tract 2.02"
1950,25025000301,476,435,587,822,305,256,"Census Tract 3.01"
1950,25025000302,471,431,582,815,303,253,"Census Tract 3.02"
1950,25025000401,821,613,1376,1794,618,549,"Census Tract 4.01"
1950,25025000402,508,379,852,1110,383,339,"Census Tract 4.02"
1950,25025000502,523,313,964,1591,593,533,"Census Tract 5.02"
1950,25025000503,225,134,414,684,255,229,"Census Tract 5.03"
1950,25025000505,197,118,363,600,223,201,"Census Tract 5.05"
1950,25025000506,263,157,485,801,298,268,"Census Tract 5.06"
1950,25025000601,432,345,680,892,331,348,"Census Tract 6.01"
1950,25025000603,220,176,347,454,169,177,"Census Tract 6.03"
1950,25025000604,360,287,566,742,275,289,"Census Tract 6.04"
1950,25025000701,464,225,975,1459,617,573,"Census Tract 7.01"
1950,25025000703,252,122,529,792,335,311,"Census Tract 7.03"
1950,25025000704,509,246,1069,1600,677,629,"Census Tract 7.04"
1950,25025000804,419,321,767,633,230,216,"Census Tract 8.04"
1950,25025000805,517,396,948,782,284,267,"Census Tract 8.05"
1950,25025000806,244,187,447,369,134,126,"Census Tract 8.06"
1950,25025000807,223,171,408,337,122,115,"Census Tract 8.07"
1950,25025010103,68,313,967,484,229,224,"Census Tract 101.03"
1950,25025010104,101,470,1451,726,344,337,"Census Tract 101.04"
1950,25025010204,274,147,1078,1308,439,369,"Census Tract 102.04"
1950,25025010205,213,114,838,1017,341,287,"Census Tract 102.05"
1950,25025010206,157,85,620,752,252,212,"Census Tract 102.06"
1950,25025010300,168,334,1045,578,238,229,"Census Tract 103"
1950,25025010403,150,148,756,743,334,337,"Census Tract 104.03"
1950,25025010404,197,194,992,974,438,442,"Census Tract 104.04"
1950,25025010405,260,270,1325,1263,566,570,"Census Tract 104.05"
1950,25025010408,123,66,482,585,196,165,"Census Tract 104.08"
1950,25025010500,335,348,1008,1321,542,631,"Census Tract 105"
