"YEAR","GEOID","lhs","he","sc","bm","NAME"
1950,25025000101,990,370,37,41,"Census Tract 1.01"
1950,25025000102,1165,435,43,49,"Census Tract 1.02"
1950,25025000201,1215,960,282,245,"Census Tract 2.01"
1950,25025000202,1260,995,293,254,"Census Tract 2.02"
1950,25025000301,779,688,108,111,"Census Tract 3.01"
1950,25025000302,771,682,107,109,"Census Tract 3.02"
1950,25025000401,1350,1378,429,503,"Census Tract 4.01"
1950,25025000402,835,852,266,312,"Census Tract 4.02"
1950,25025000502,972,1336,383,515,"Census Tract 5.02"
1950,25025000503,417,574,165,221,"Census Tract 5.03"
1950,25025000505,366,504,144,194,"Census Tract 5.05"
1950,25025000506,489,672,193,259,"Census Tract 5.06"
1950,25025000601,959,709,113,169,"Census Tract 6.01"
1950,25025000603,489,361,58,86,"Census Tract 6.03"
1950,25025000604,798,590,94,140,"Census Tract 6.04"
1950,25025000701,1260,1406,303,330,"Census Tract 7.01"
1950,25025000703,684,763,164,179,"Census Tract 7.03"
1950,25025000704,1382,1542,332,362,"Census Tract 7.04"
1950,25025000804,755,461,103,224,"Census Tract 8.04"
1950,25025000805,933,570,127,277,"Census Tract 8.05"
1950,25025000806,440,269,60,130,"Census Tract 8.06"
1950,25025000807,402,245,55,119,"Census Tract 8.07"
1950,25025010103,248,370,224,274,"Census Tract 101.03"
1950,25025010104,372,555,336,411,"Census Tract 101.04"
1950,25025010204,782,1098,434,379,"Census Tract 102.04"
1950,25025010205,608,854,337,294,"Census Tract 102.05"
1950,25025010206,450,632,250,218,"Census Tract 102.06"
1950,25025010300,534,417,173,343,"Census Tract 103"
1950,25025010403,749,566,242,214,"Census Tract 104.03"
1950,25025010404,982,742,317,281,"Census Tract 104.04"
1950,25025010405,1270,961,410,379,"Census Tract 104.05"
1950,25025010408,350,491,194,169,"Census Tract 104.08"
1950,25025010500,1520,1065,240,135,"Census Tract 105"
1950,25025010600,1210,775,300,245,"Census Tract 106"
1950,25025010701,561,717,490,660,"Census Tract 107.01"
1950,25025010702,539,688,470,635,"Census Tract 107.02"
1950,25025010801,443,588,419,585,"Census Tract 108.01"
1950,25025010802,462,612,436,610,"Census Tract 108.02"
1950,25025020101,735,1335,725,1245,"Census Tract 201.01"
1950,25025020200,1461,904,396,625,"Census Tract 202"
1950,25025020301,2828,739,210,227,"Census Tract 203.01"
1950,25025020302,1696,527,148,125,"Census Tract 203.02"
1950,25025020304,151,47,13,11,"Census Tract 203.04"
1950,25025020305,2418,594,162,137,"Census Tract 203.05"
1950,25025030100,2080,295,45,30,"Census Tract 301"
1950,25025030200,1474,238,17,41,"Census Tract 302"
1950,25025030301,132,15,14,13,"Census Tract 303.01"
1950,25025030302,680,212,116,105,"Census Tract 303.02"
1950,25025030400,2584,368,75,113,"Census Tract 304"
1950,25025030500,1810,205,45,35,"Census Tract 305"
1950,25025040100,1279,628,72,51,"Census Tract 401"
1950,25025040200,1155,520,35,60,"Census Tract 402"
1950,25025040300,2651,1306,118,41,"Census Tract 403"
1950,25025040401,2406,581,100,48,"Census Tract 404.01"
1950,25025040600,1910,660,100,70,"Census Tract 406"
1950,25025040801,1195,795,120,105,"Census Tract 408.01"
1950,25025050101,2055,510,120,60,"Census Tract 501.01"
1950,25025050200,2714,761,55,55,"Census Tract 502"
1950,25025050300,1029,337,95,51,"Census Tract 503"
1950,25025050400,1586,248,15,19,"Census Tract 504"
1950,25025050500,1270,250,20,25,"Census Tract 505"
1950,25025050600,1300,295,5,5,"Census Tract 506"
1950,25025050700,2556,569,59,25,"Census Tract 507"
1950,25025050901,2565,805,95,45,"Census Tract 509.01"
1950,25025051000,1745,705,90,50,"Census Tract 510"
1950,25025051101,2160,960,245,235,"Census Tract 511.01"
1950,25025051200,1965,550,60,30,"Census Tract 512"
