"GEOID","NAME","ilf_m","ilf_f","nilf_m","nilf_f","YEAR"
"Allston","Allston",7941,6439,3349,4455,2010
"Back Bay","Back Bay",6313,5155,2196,3306,2010
"Beacon Hill","Beacon Hill",2914,3769,516,1115,2010
"Brighton","Brighton",15877,14151,4449,7446,2010
"Charlestown","Charlestown",5000,5173,1428,2208,2010
"Chinatown","Chinatown",943,870,893,862,2010
"Dorchester","Dorchester",29094,30345,10226,15855,2010
"Downtown","Downtown",2743,2302,1840,1869,2010
"East Boston","East Boston",14458,9618,3750,5358,2010
"Fenway","Fenway",8410,8760,7424,7325,2010
"Harbor Islands","Harbor Islands",182,10,135,18,2010
"Hyde Park","Hyde Park",9034,9965,2822,4367,2010
"Jamaica Plain","Jamaica Plain",10858,12159,3279,4449,2010
"Longwood","Longwood",654,2463,855,1866,2010
"Mattapan","Mattapan",5823,7183,2151,3868,2010
"Mission Hill","Mission Hill",4231,3920,2416,2715,2010
"North End","North End",3332,4276,712,983,2010
"Roslindale","Roslindale",7641,9036,2770,4389,2010
"Roxbury","Roxbury",9367,11410,6189,7225,2010
"South Boston","South Boston",9348,10296,2727,4189,2010
"South Boston Waterfront","South Boston Waterfront",592,468,102,117,2010
"South End","South End",10273,7754,4192,3973,2010
"West End","West End",1444,1428,1410,756,2010
"West Roxbury","West Roxbury",8328,8629,2650,4194,2010
"Allston","Allston",7041,6495,3841,4207,2000
"Back Bay","Back Bay",6662,5433,1457,2530,2000
"Beacon Hill","Beacon Hill",3199,3138,928,1201,2000
"Brighton","Brighton",14471,14655,5541,7599,2000
"Charlestown","Charlestown",4119,4612,1548,2357,2000
"Chinatown","Chinatown",864,726,521,630,2000
"Dorchester","Dorchester",25389,26373,14192,21091,2000
"Downtown","Downtown",2439,1744,963,1337,2000
"East Boston","East Boston",10086,7715,5409,7025,2000
"Fenway","Fenway",9256,9721,5298,5323,2000
"Harbor Islands","Harbor Islands",413,59,159,0,2000
"Hyde Park","Hyde Park",7412,7896,3685,5587,2000
"Jamaica Plain","Jamaica Plain",9595,10228,4148,6020,2000
"Longwood","Longwood",848,1298,681,744,2000
"Mattapan","Mattapan",5051,5877,2715,4199,2000
"Mission Hill","Mission Hill",3649,3596,2227,2576,2000
"North End","North End",3539,3690,709,1173,2000
"Roslindale","Roslindale",7523,8015,3461,5160,2000
"Roxbury","Roxbury",8165,9084,6505,7670,2000
"South Boston","South Boston",7869,7897,3304,5558,2000
"South Boston Waterfront","South Boston Waterfront",152,118,38,57,2000
"South End","South End",9056,5858,3037,3676,2000
"West End","West End",1321,1243,1093,735,2000
"West Roxbury","West Roxbury",7366,7439,3159,5526,2000
"Allston","Allston",7349,6412,3565,3435,1990
"Back Bay","Back Bay",5846,5908,2075,2370,1990
"Beacon Hill","Beacon Hill",3393,3386,799,1085,1990
"Brighton","Brighton",14622,15985,4977,7693,1990
"Charlestown","Charlestown",4243,4750,1189,2203,1990
"Chinatown","Chinatown",696,513,541,644,1990
"Dorchester","Dorchester",28477,26509,10391,18402,1990
"Downtown","Downtown",1549,1115,690,1041,1990
"East Boston","East Boston",9339,7276,3733,6732,1990
"Fenway","Fenway",9391,8555,5709,5225,1990
"Harbor Islands","Harbor Islands",120,22,1041,122,1990
"Hyde Park","Hyde Park",8320,7900,2669,5302,1990
"Jamaica Plain","Jamaica Plain",11024,10652,2937,6315,1990
"Longwood","Longwood",417,969,396,578,1990
"Mattapan","Mattapan",6157,6601,2206,3180,1990
"Mission Hill","Mission Hill",3858,3571,1819,2783,1990
"North End","North End",3002,3529,864,1421,1990
"Roslindale","Roslindale",8017,7681,2439,5149,1990
"Roxbury","Roxbury",9438,9147,4688,8931,1990
"South Boston","South Boston",7977,7241,3337,5787,1990
"South Boston Waterfront","South Boston Waterfront",131,90,18,37,1990
"South End","South End",9306,6161,2393,3038,1990
"West End","West End",1311,1107,554,558,1990
