"GEOID","NAME","native","foreign","YEAR"
"Allston","Allston",16658,3826,1950
"Back Bay","Back Bay",17400,3227,1950
"Beacon Hill","Beacon Hill",11489,2559,1950
"Brighton","Brighton",37654,8663,1950
"Charlestown","Charlestown",27765,3157,1950
"Chinatown","Chinatown",1403,545,1950
"Dorchester","Dorchester",128206,33119,1950
"Downtown","Downtown",2790,714,1950
"East Boston","East Boston",40788,10289,1950
"Fenway","Fenway",21487,3690,1950
"Harbor Islands","Harbor Islands",1441,588,1950
"Hyde Park","Hyde Park",21838,4240,1950
"Jamaica Plain","Jamaica Plain",43008,9419,1950
"Longwood","Longwood",2181,378,1950
"Mattapan","Mattapan",18182,5599,1950
"Mission Hill","Mission Hill",17015,3573,1950
"North End","North End",11458,4813,1950
"Roslindale","Roslindale",26519,5591,1950
"Roxbury","Roxbury",59905,15483,1950
"South Boston","South Boston",46484,8431,1950
"South Boston Waterfront","South Boston Waterfront",528,145,1950
"South End","South End",27522,9122,1950
"West End","West End",9420,3338,1950
"West Roxbury","West Roxbury",23467,3583,1950
"Allston","Allston",15702,3374,1960
"Back Bay","Back Bay",15791,2363,1960
"Beacon Hill","Beacon Hill",9771,1875,1960
"Brighton","Brighton",37252,7954,1960
"Charlestown","Charlestown",18255,1892,1960
"Chinatown","Chinatown",1515,952,1960
"Dorchester","Dorchester",126662,25464,1960
"Downtown","Downtown",2065,779,1960
"East Boston","East Boston",35836,7973,1960
"Fenway","Fenway",19805,3593,1960
"Harbor Islands","Harbor Islands",1546,266,1960
"Hyde Park","Hyde Park",26175,3526,1960
"Jamaica Plain","Jamaica Plain",43041,8095,1960
"Longwood","Longwood",3413,313,1960
"Mattapan","Mattapan",19820,4588,1960
"Mission Hill","Mission Hill",14698,3155,1960
"North End","North End",8141,3795,1960
"Roslindale","Roslindale",28288,4610,1960
"Roxbury","Roxbury",63905,9307,1960
"South Boston","South Boston",37672,5874,1960
"South Boston Waterfront","South Boston Waterfront",344,54,1960
"South End","South End",23206,6135,1960
"West End","West End",1581,401,1960
"West Roxbury","West Roxbury",26397,3398,1960
"Allston","Allston",16332,3101,1970
"Back Bay","Back Bay",16249,1756,1970
"Beacon Hill","Beacon Hill",9253,1154,1970
"Brighton","Brighton",36599,7395,1970
"Charlestown","Charlestown",14369,1057,1970
"Chinatown","Chinatown",1024,527,1970
"Dorchester","Dorchester",128118,16203,1970
