"GEOID","NAME","white","black","hisp","native","asian","two_plus","other","YEAR"
"Allston","Allston",20485,212,0,0,0,0,0,1950
"Back Bay","Back Bay",20627,533,0,0,0,0,0,1950
"Beacon Hill","Beacon Hill",14049,87,0,0,0,0,0,1950
"Brighton","Brighton",46317,73,0,0,0,0,0,1950
"Charlestown","Charlestown",30922,323,0,0,0,0,0,1950
"Chinatown","Chinatown",1948,63,0,0,0,0,0,1950
"Dorchester","Dorchester",161324,601,0,0,0,0,0,1950
"Downtown","Downtown",3504,117,0,0,0,0,0,1950
"East Boston","East Boston",51077,53,0,0,0,0,0,1950
"Fenway","Fenway",25177,434,0,0,0,0,0,1950
"Harbor Islands","Harbor Islands",2029,111,0,0,0,0,0,1950
"Hyde Park","Hyde Park",26078,29,0,0,0,0,0,1950
"Jamaica Plain","Jamaica Plain",52427,364,0,0,0,0,0,1950
"Longwood","Longwood",2560,22,0,0,0,0,0,1950
"Mattapan","Mattapan",23781,43,0,0,0,0,0,1950
"Mission Hill","Mission Hill",20587,248,0,0,0,0,0,1950
"North End","North End",16271,56,0,0,0,0,0,1950
"Roslindale","Roslindale",32110,47,0,0,0,0,0,1950
"Roxbury","Roxbury",75387,27112,0,0,0,0,0,1950
"South Boston","South Boston",54915,42,0,0,0,0,0,1950
"South Boston Waterfront","South Boston Waterfront",673,0,0,0,0,0,0,1950
"South End","South End",36644,9341,0,0,0,0,0,1950
"West End","West End",12758,139,0,0,0,0,0,1950
"West Roxbury","West Roxbury",27050,7,0,0,0,0,0,1950
"Allston","Allston",18759,197,0,0,0,0,120,1960
"Back Bay","Back Bay",17100,837,0,0,0,0,217,1960
"Beacon Hill","Beacon Hill",11481,83,0,0,0,0,83,1960
"Brighton","Brighton",44931,135,0,0,0,0,140,1960
"Charlestown","Charlestown",20030,30,0,0,0,0,87,1960
"Chinatown","Chinatown",1224,17,0,0,0,0,1226,1960
"Dorchester","Dorchester",143583,8190,0,0,0,0,353,1960
"Downtown","Downtown",2249,52,0,0,0,0,544,1960
"East Boston","East Boston",43738,46,0,0,0,0,25,1960
"Fenway","Fenway",22353,641,0,0,0,0,404,1960
"Harbor Islands","Harbor Islands",1614,189,0,0,0,0,9,1960
"Hyde Park","Hyde Park",29604,53,0,0,0,0,44,1960
"Jamaica Plain","Jamaica Plain",49413,1549,0,0,0,0,173,1960
"Longwood","Longwood",2540,1140,0,0,0,0,45,1960
"Mattapan","Mattapan",24308,66,0,0,0,0,34,1960
"Mission Hill","Mission Hill",16472,1194,0,0,0,0,187,1960
"North End","North End",11915,15,0,0,0,0,7,1960
"Roslindale","Roslindale",32731,115,0,0,0,0,52,1960
"Roxbury","Roxbury",32854,39792,0,0,0,0,565,1960
"South Boston","South Boston",43426,68,0,0,0,0,53,1960
"South Boston Waterfront","South Boston Waterfront",397,0,0,0,0,0,1,1960
"South End","South End",20409,8136,0,0,0,0,796,1960
