"YEAR","GEOID","male","female","NAME","landarea_sqmiles","occ_hu"
1950,25025000101,1239,1273,"Census Tract 1.01",0.096496196,656
1950,25025000102,1459,1499,"Census Tract 1.02",0.412138958,773
1950,25025000201,2074,2381,"Census Tract 2.01",0.231362838,1194
1950,25025000202,2150,2469,"Census Tract 2.02",0.232292958,1239
1950,25025000301,1350,1532,"Census Tract 3.01",0.220630743,745
1950,25025000302,1338,1517,"Census Tract 3.02",0.227792165,739
1950,25025000401,2723,3048,"Census Tract 4.01",0.166426247,1734
1950,25025000402,1685,1886,"Census Tract 4.02",0.311495638,1073
1950,25025000502,1944,2573,"Census Tract 5.02",0.327300344,1768
1950,25025000503,835,1105,"Census Tract 5.03",0.054033839,759
1950,25025000505,733,970,"Census Tract 5.05",0.055747746,667
1950,25025000506,978,1294,"Census Tract 5.06",0.072937014,889
1950,25025000601,1338,1690,"Census Tract 6.01",0.191223272,909
1950,25025000603,682,861,"Census Tract 6.03",0.120651905,463
1950,25025000604,1113,1406,"Census Tract 6.04",0.11083603,755
1950,25025000701,1816,2497,"Census Tract 7.01",0.088973381,1755
1950,25025000703,985,1355,"Census Tract 7.03",0.06872657,953
1950,25025000704,1992,2739,"Census Tract 7.04",0.092579189,1925
1950,25025000804,1372,1213,"Census Tract 8.04",0.234594127,632
1950,25025000805,1695,1498,"Census Tract 8.05",0.14281108,781
1950,25025000806,799,706,"Census Tract 8.06",0.547177415,368
1950,25025000807,730,645,"Census Tract 8.07",0.084399615,336
1950,25025010103,1147,1138,"Census Tract 101.03",0.111237962,483
1950,25025010104,1722,1708,"Census Tract 101.04",0.108757642,725
1950,25025010204,1538,2076,"Census Tract 102.04",0.097842148,1658
1950,25025010205,1196,1614,"Census Tract 102.05",0.07056905,1289
1950,25025010206,885,1194,"Census Tract 102.06",0.070378701,953
1950,25025010300,981,1612,"Census Tract 103",0.195834104,785
1950,25025010403,1116,1352,"Census Tract 104.03",0.034191277,984
1950,25025010404,1463,1773,"Census Tract 104.04",0.05286086,1291
1950,25025010405,1908,2347,"Census Tract 104.05",0.140886361,1676
1950,25025010408,688,929,"Census Tract 104.08",0.016749498,741
1950,25025010500,2038,2147,"Census Tract 105",0.07462042,1265
1950,25025010600,1767,1886,"Census Tract 106",0.131150409,925
1950,25025010701,1293,2242,"Census Tract 107.01",0.078000744,1070
1950,25025010702,1243,2154,"Census Tract 107.02",0.115898602,1029
1950,25025010801,1320,1842,"Census Tract 108.01",0.050980543,1012
1950,25025010802,1376,1920,"Census Tract 108.02",0.060551243,1055
1950,25025020101,2144,3248,"Census Tract 201.01",0.084701161,1747
1950,25025020200,2319,2693,"Census Tract 202",0.041813705,1918
1950,25025020301,3438,3486,"Census Tract 203.01",0.101462628,2032
1950,25025020302,2151,1605,"Census Tract 203.02",0.02964724,868
1950,25025020304,192,143,"Census Tract 203.04",0.056005663,77
1950,25025020305,2841,2809,"Census Tract 203.05",0.114970798,1680
1950,25025030100,2126,2108,"Census Tract 301",0.029862685,1265
1950,25025030200,1486,1528,"Census Tract 302",0.022494698,859
1950,25025030301,236,110,"Census Tract 303.01",0.059533092,74
1950,25025030302,1265,517,"Census Tract 303.02",0.184320537,243
1950,25025030400,2691,2547,"Census Tract 304",0.063772494,1482
1950,25025030500,2341,1520,"Census Tract 305",0.073834316,921
1950,25025040100,1643,1630,"Census Tract 401",0.101973827,871
1950,25025040200,1604,1715,"Census Tract 402",0.054554691,810
1950,25025040300,3579,3837,"Census Tract 403",0.10795648,1939
1950,25025040401,2989,2382,"Census Tract 404.01",0.167337834,1202
1950,25025040600,2486,2690,"Census Tract 406",0.554860848,1366
1950,25025040801,5635,1142,"Census Tract 408.01",0.366971569,550
1950,25025050101,2437,2557,"Census Tract 501.01",0.115741844,1345
1950,25025050200,3201,3132,"Census Tract 502",0.093927458,1677
1950,25025050300,1606,1658,"Census Tract 503",0.137194452,751
1950,25025050400,1665,1480,"Census Tract 504",0.050958149,866
1950,25025050500,1417,1433,"Census Tract 505",0.105113224,800
1950,25025050600,1526,1475,"Census Tract 506",0.0663532,867
1950,25025050700,2957,3035,"Census Tract 507",0.103450282,1690
1950,25025050901,3214,3225,"Census Tract 509.01",0.237799161,1683
1950,25025051000,2097,2250,"Census Tract 510",0.402789494,1164
1950,25025051101,2804,3025,"Census Tract 511.01",0.447645684,1559
1950,25025051200,2532,2426,"Census Tract 512",0.1657969,1286
1950,25025060101,2565,2548,"Census Tract 601.01",0.114140678,1333
1950,25025060200,1618,1706,"Census Tract 602",0.065786016,938
1950,25025060301,2708,2813,"Census Tract 603.01",0.105220174,1516
1950,25025060400,3651,4040,"Census Tract 604",0.154162484,2075
1950,25025060501,3544,3321,"Census Tract 605.01",0.158974475,1800
1950,25025060601,852,855,"Census Tract 606.01",0.054182488,516
1950,25025060602,61,61,"Census Tract 606.02",0.166839762,36
1950,25025060603,37,38,"Census Tract 606.03",0.153757463,23
1950,25025060604,122,122,"Census Tract 606.04",0.160740892,74
1950,25025060700,2174,2185,"Census Tract 607",0.049508721,1033
1950,25025060800,3412,3458,"Census Tract 608",0.13243806,1890
1950,25025061000,2829,2913,"Census Tract 610",0.06161341,1415
1950,25025061101,1764,1931,"Census Tract 611.01",0.063815737,957
1950,25025061201,1455,1429,"Census Tract 612.01",0.216994432,823
1950,25025061202,,,"Census Tract 612.02",0.147031563,0
