"YEAR","GEOID","NAME","tot_pov_stat_det","tot_below_pov","tot_above_pov"
1980,"25025000101","Census Tract 1.01",1760,206,1554
1980,"25025000102","Census Tract 1.02",2071,242,1829
1980,"25025000201","Census Tract 2.01",3751,580,3171
1980,"25025000202","Census Tract 2.02",3936,738,3198
1980,"25025000301","Census Tract 3.01",3047,277,2770
1980,"25025000302","Census Tract 3.02",3019,274,2745
1980,"25025000401","Census Tract 4.01",5253,938,4315
1980,"25025000402","Census Tract 4.02",3250,580,2670
1980,"25025000502","Census Tract 5.02",4009,1173,2836
1980,"25025000503","Census Tract 5.03",1722,504,1218
1980,"25025000505","Census Tract 5.05",1511,442,1069
1980,"25025000506","Census Tract 5.06",2017,590,1427
1980,"25025000601","Census Tract 6.01",3245,583,2662
1980,"25025000603","Census Tract 6.03",1600,530,1070
1980,"25025000604","Census Tract 6.04",2613,865,1748
1980,"25025000701","Census Tract 7.01",3852,1000,2852
1980,"25025000703","Census Tract 7.03",2002,668,1334
1980,"25025000704","Census Tract 7.04",4046,1349,2697
1980,"25025000804","Census Tract 8.04",2243,546,1697
1980,"25025000805","Census Tract 8.05",2771,674,2097
1980,"25025000806","Census Tract 8.06",1306,318,988
1980,"25025000807","Census Tract 8.07",1193,290,903
1980,"25025010103","Census Tract 101.03",653,334,319
1980,"25025010104","Census Tract 101.04",2525,781,1744
1980,"25025010204","Census Tract 102.04",2515,923,1592
1980,"25025010205","Census Tract 102.05",1955,717,1238
1980,"25025010206","Census Tract 102.06",1447,531,916
1980,"25025010300","Census Tract 103",1059,381,678
1980,"25025010403","Census Tract 104.03",1700,593,1107
1980,"25025010404","Census Tract 104.04",2229,778,1451
1980,"25025010405","Census Tract 104.05",2903,1013,1890
1980,"25025010408","Census Tract 104.08",1125,413,712
1980,"25025010500","Census Tract 105",1992,241,1751
1980,"25025010600","Census Tract 106",2103,234,1869
1980,"25025010701","Census Tract 107.01",2750,465,2285
1980,"25025010702","Census Tract 107.02",2643,447,2196
1980,"25025010801","Census Tract 108.01",2921,475,2446
1980,"25025010802","Census Tract 108.02",3045,496,2549
1980,"25025020101","Census Tract 201.01",5203,759,4444
1980,"25025020200","Census Tract 202",3739,885,2854
1980,"25025020301","Census Tract 203.01",2201,299,1902
1980,"25025020302","Census Tract 203.02",1387,183,1204
1980,"25025020304","Census Tract 203.04",128,17,111
1980,"25025020305","Census Tract 203.05",1696,223,1473
1980,"25025030100","Census Tract 301",2087,268,1819
1980,"25025030200","Census Tract 302",1424,286,1138
1980,"25025030301","Census Tract 303.01",968,73,895
1980,"25025030302","Census Tract 303.02",987,79,908
1980,"25025030400","Census Tract 304",3548,397,3151
1980,"25025030500","Census Tract 305",1723,256,1467
1980,"25025040100","Census Tract 401",1395,57,1338
1980,"25025040200","Census Tract 402",1208,256,952
1980,"25025040300","Census Tract 403",4013,549,3464
1980,"25025040401","Census Tract 404.01",2710,530,2180
1980,"25025040600","Census Tract 406",2402,248,2154
1980,"25025040801","Census Tract 408.01",1542,760,782
1980,"25025050101","Census Tract 501.01",3928,1068,2860
1980,"25025050200","Census Tract 502",3587,619,2968
1980,"25025050300","Census Tract 503",1668,502,1166
1980,"25025050400","Census Tract 504",1744,203,1541
1980,"25025050500","Census Tract 505",1495,179,1316
1980,"25025050600","Census Tract 506",1414,163,1251
1980,"25025050700","Census Tract 507",3142,539,2603
1980,"25025050901","Census Tract 509.01",3246,582,2664
1980,"25025051000","Census Tract 510",4011,592,3419
1980,"25025051101","Census Tract 511.01",5098,461,4637
1980,"25025051200","Census Tract 512",2413,400,2013
1980,"25025060101","Census Tract 601.01",3419,243,3176
1980,"25025060200","Census Tract 602",2392,200,2192
1980,"25025060301","Census Tract 603.01",3490,497,2993
1980,"25025060400","Census Tract 604",5053,484,4569
1980,"25025060501","Census Tract 605.01",3065,591,2474
1980,"25025060601","Census Tract 606.01",535,149,386
1980,"25025060602","Census Tract 606.02",37,9,28
1980,"25025060603","Census Tract 606.03",24,7,17
1980,"25025060604","Census Tract 606.04",76,21,55
1980,"25025060700","Census Tract 607",1869,1018,851
1980,"25025060800","Census Tract 608",3072,645,2427
1980,"25025061000","Census Tract 610",2994,1162,1832
1980,"25025061101","Census Tract 611.01",2012,692,1320
1980,"25025061201","Census Tract 612.01",1279,222,1057
1980,"25025061202","Census Tract 612.02",,,
1980,"25025061203","Census Tract 612.03",299,21,278
1980,"25025061204","Census Tract 612.04",57,4,53
1980,"25025070102","Census Tract 701.02",783,124,659
1980,"25025070103","Census Tract 701.03",53,8,45
1980,"25025070104","Census Tract 701.04",298,47,251
1980,"25025070201","Census Tract 702.01",1268,304,964
1980,"25025070202","Census Tract 702.02",2904,632,2272
1980,"25025070301","Census Tract 703.01",1982,331,1651
1980,"25025070302","Census Tract 703.02",1228,208,1020
1980,"25025070402","Census Tract 704.02",1740,445,1295
1980,"25025070501","Census Tract 705.01",1901,436,1465
1980,"25025070502","Census Tract 705.02",3433,787,2646
1980,"25025070600","Census Tract 706",2645,389,2256
1980,"25025070700","Census Tract 707",1595,214,1381
1980,"25025070801","Census Tract 708.01",716,136,580
1980,"25025070802","Census Tract 708.02",2001,380,1621
1980,"25025070901","Census Tract 709.01",1030,227,803
1980,"25025070902","Census Tract 709.02",1737,382,1355
1980,"25025071101","Census Tract 711.01",2349,604,1745
1980,"25025071201","Census Tract 712.01",1129,431,698
1980,"25025080100","Census Tract 801",1867,546,1321
1980,"25025080300","Census Tract 803",2324,1087,1237
1980,"25025080401","Census Tract 804.01",2808,855,1953
1980,"25025080500","Census Tract 805",2950,879,2071
1980,"25025080601","Census Tract 806.01",1391,563,828
1980,"25025080801","Census Tract 808.01",2537,1049,1488
1980,"25025080900","Census Tract 809",3018,803,2215
1980,"25025081001","Census Tract 810.01",4583,1599,2984
1980,"25025081101","Census Tract 811.01",694,146,548
1980,"25025081102","Census Tract 811.02",1515,343,1172
1980,"25025081200","Census Tract 812",4040,1516,2524
1980,"25025081301","Census Tract 813.01",1688,684,1004
1980,"25025081302","Census Tract 813.02",2361,957,1404
1980,"25025081400","Census Tract 814",2272,670,1602
1980,"25025081500","Census Tract 815",2213,559,1654
1980,"25025081700","Census Tract 817",3559,671,2888
1980,"25025081800","Census Tract 818",2505,798,1707
1980,"25025081900","Census Tract 819",3064,498,2566
1980,"25025082000","Census Tract 820",3176,958,2218
1980,"25025082100","Census Tract 821",5693,1816,3877
1980,"25025090100","Census Tract 901",4665,1439,3226
1980,"25025090200","Census Tract 902",2080,902,1178
1980,"25025090300","Census Tract 903",3251,1187,2064
1980,"25025090400","Census Tract 904",2669,641,2028
1980,"25025090600","Census Tract 906",1969,788,1181
1980,"25025090700","Census Tract 907",4074,616,3458
1980,"25025090901","Census Tract 909.01",1398,403,995
1980,"25025091001","Census Tract 910.01",2493,455,2038
1980,"25025091100","Census Tract 911",4709,682,4027
1980,"25025091200","Census Tract 912",3134,603,2531
1980,"25025091300","Census Tract 913",2319,817,1502
1980,"25025091400","Census Tract 914",2316,761,1555
1980,"25025091500","Census Tract 915",4392,1265,3127
1980,"25025091600","Census Tract 916",2326,512,1814
1980,"25025091700","Census Tract 917",3138,582,2556
1980,"25025091800","Census Tract 918",3316,1248,2068
1980,"25025091900","Census Tract 919",3364,1083,2281
1980,"25025092000","Census Tract 920",5228,1529,3699
1980,"25025092101","Census Tract 921.01",5313,899,4414
1980,"25025092200","Census Tract 922",3379,454,2925
1980,"25025092300","Census Tract 923",2783,709,2074
1980,"25025092400","Census Tract 924",5602,1842,3760
1980,"25025100100","Census Tract 1001",4198,1542,2656
1980,"25025100200","Census Tract 1002",2579,981,1598
1980,"25025100300","Census Tract 1003",3434,1062,2372
