YEAR,GEOID,median_nom_R1F,median_nom_RCD,median_adj_R1F,median_adj_RCD,count_R1F,count_RCD,NAME
1990,Allston,133500.0,115000.0,311227.5,268099.0,12.0,86.0,Allston
1990,Back Bay,745000.0,215000.0,1736813.0,501228.0,3.0,336.0,Back Bay
1990,Beacon Hill,700000.0,157500.0,1631905.0,367178.5,21.0,110.0,Beacon Hill
1990,Brighton,160000.0,105450.0,373007.0,245835.0,51.0,250.0,Brighton
1990,Charlestown,137000.0,227125.0,319387.0,529495.0,41.0,136.0,Charlestown
1990,Chinatown,111439.0,103370.0,259797.0,240985.5,2.0,10.0,Chinatown
1990,Dorchester,125000.0,128750.0,291412.0,300154.0,159.0,174.0,Dorchester
1990,Downtown,,227500.0,,530369.0,0.0,69.0,Downtown
1990,East Boston,106000.0,95000.0,247117.0,221473.0,30.0,51.0,East Boston
1990,Fenway,,125000.0,,291412.0,0.0,88.0,Fenway
1990,Hyde Park,135000.0,110400.0,314725.0,257374.5,179.0,20.0,Hyde Park
1990,Jamaica Plain,200000.0,125000.0,466259.0,291412.0,83.0,125.0,Jamaica Plain
1990,Longwood,,70000.0,,163191.0,0.0,11.0,Longwood
1990,Mattapan,123000.0,94500.0,286749.0,220307.0,85.0,6.0,Mattapan
1990,Mission Hill,50000.0,135100.0,116565.0,314958.0,1.0,25.0,Mission Hill
1990,North End,,147000.0,,342700.0,0.0,189.0,North End
1990,Roslindale,136900.0,142900.0,319154.0,333142.0,119.0,75.0,Roslindale
1990,Roxbury,113000.0,90000.0,263436.0,209816.0,22.0,57.0,Roxbury
1990,South Boston,134000.0,120000.0,312393.0,279755.0,36.0,103.0,South Boston
1990,South Boston Waterfront,,146000.0,,340369.0,0.0,1.0,South Boston Waterfront
1990,South End,215000.0,139000.0,501228.0,324050.0,15.0,240.0,South End
1990,West End,,125000.0,,291412.0,0.0,28.0,West End
1990,West Roxbury,164000.0,137500.0,382332.0,320553.0,229.0,73.0,West Roxbury
1991,Allston,143500.0,74000.0,321031.5,165549.0,10.0,87.0,Allston
1991,Back Bay,361600.0,210800.0,808954.0,471591.5,1.0,332.0,Back Bay
1991,Beacon Hill,375000.0,151000.0,838932.0,337810.0,9.0,151.0,Beacon Hill
1991,Brighton,160000.0,79500.0,357944.0,177853.5,34.0,188.0,Brighton
1991,Charlestown,130000.0,148500.0,290830.0,332217.0,28.0,117.0,Charlestown
1991,Dorchester,112750.0,100000.0,252239.0,223715.0,130.0,96.0,Dorchester
1991,Downtown,,161500.0,,361300.0,0.0,84.0,Downtown
1991,East Boston,107500.0,47000.0,240493.5,105146.0,12.0,42.0,East Boston
1991,Fenway,181250.0,107500.0,405483.5,240494.0,2.0,67.0,Fenway
1991,Hyde Park,125000.0,86950.0,279644.0,194520.0,118.0,10.0,Hyde Park
1991,Jamaica Plain,153250.0,111450.0,342843.5,249330.5,58.0,96.0,Jamaica Plain
1991,Longwood,,62500.0,,139822.0,0.0,4.0,Longwood
1991,Mattapan,106500.0,115000.0,238257.0,257272.0,43.0,7.0,Mattapan
1991,Mission Hill,135000.0,79000.0,302015.0,176735.0,1.0,7.0,Mission Hill
1991,North End,,135000.0,,302015.0,0.0,82.0,North End
1991,Roslindale,128250.0,84000.0,286915.0,187921.0,80.0,17.0,Roslindale
1991,Roxbury,100000.0,71250.0,223715.0,159397.0,11.0,51.0,Roxbury
1991,South Boston,110000.0,87750.0,246086.5,196310.0,30.0,100.0,South Boston
1991,South Boston Waterfront,,126000.0,,281881.0,0.0,2.0,South Boston Waterfront
1991,South End,270500.0,123500.0,605149.5,276288.0,16.0,225.0,South End
1991,West End,165000.0,125000.0,369130.0,279644.0,1.0,31.0,West End
1991,West Roxbury,150000.0,132000.0,335573.0,295304.0,183.0,68.0,West Roxbury
1992,Allston,115000.0,45000.0,249754.0,97730.0,7.0,61.0,Allston
1992,Back Bay,662500.0,200000.0,1438801.0,434355.0,4.0,310.0,Back Bay
1992,Beacon Hill,530000.0,160000.0,1151041.0,347484.0,15.0,147.0,Beacon Hill
1992,Brighton,155000.0,64300.0,336625.0,139645.0,45.0,233.0,Brighton
1992,Charlestown,156250.0,160000.0,339340.0,347484.0,25.0,161.0,Charlestown
1992,Chinatown,,82550.0,,179280.0,0.0,2.0,Chinatown
1992,Dorchester,100000.0,68000.0,217177.0,147681.0,129.0,57.0,Dorchester
