"YEAR","GEOID","NAME","total_workers_16_and_over","car_truck_van_alone","car_truck_van_carpool","public_transportation","walked","taxi_moto_bike_other","worked_from_home"
1990,25025000101,"Census Tract 1.01",1034,530,110,237,112,31,14
1990,25025000102,"Census Tract 1.02",1214,621,129,278,132,37,17
1990,25025000201,"Census Tract 2.01",2352,1486,204,509,103,24,26
1990,25025000202,"Census Tract 2.02",2211,1130,221,713,113,21,13
1990,25025000301,"Census Tract 3.01",1901,954,260,581,68,10,28
1990,25025000302,"Census Tract 3.02",1883,946,258,575,68,9,27
1990,25025000401,"Census Tract 4.01",3054,1086,413,1344,111,59,41
1990,25025000402,"Census Tract 4.02",1977,956,158,659,132,26,46
1990,25025000502,"Census Tract 5.02",3007,1108,181,1336,298,32,52
1990,25025000503,"Census Tract 5.03",1595,514,118,808,116,26,13
1990,25025000505,"Census Tract 5.05",1401,451,104,709,102,23,12
1990,25025000506,"Census Tract 5.06",1869,602,139,946,136,30,16
1990,25025000601,"Census Tract 6.01",2311,1199,297,538,167,26,84
1990,25025000603,"Census Tract 6.03",874,325,44,366,95,20,24
1990,25025000604,"Census Tract 6.04",1428,531,73,598,155,33,38
1990,25025000701,"Census Tract 7.01",2806,782,256,1474,205,56,33
1990,25025000703,"Census Tract 7.03",1533,423,87,812,156,50,5
1990,25025000704,"Census Tract 7.04",3100,856,176,1642,314,102,10
1990,25025000804,"Census Tract 8.04",1891,613,252,688,226,86,26
1990,25025000805,"Census Tract 8.05",2280,736,298,822,289,104,31
1990,25025000806,"Census Tract 8.06",592,168,33,160,213,15,3
1990,25025000807,"Census Tract 8.07",543,154,30,146,195,15,3
1990,25025010103,"Census Tract 101.03",1791,67,26,363,1231,85,19
1990,25025010104,"Census Tract 101.04",2940,503,38,943,1187,165,104
1990,25025010204,"Census Tract 102.04",1899,331,70,647,718,97,36
1990,25025010205,"Census Tract 102.05",1475,257,54,503,558,75,28
1990,25025010206,"Census Tract 102.06",1092,190,40,372,413,56,21
1990,25025010300,"Census Tract 103",1174,119,31,309,603,56,56
1990,25025010403,"Census Tract 104.03",1795,327,59,701,634,54,20
1990,25025010404,"Census Tract 104.04",2351,429,77,919,830,70,26
1990,25025010405,"Census Tract 104.05",2105,206,139,714,876,100,70
