"","GEOID","NAME","zero_nine","ten_nineteen","twenty_thirtyfour","thirtyfive_fiftyfour","fiftyfive_sixtyfour","sixtyfive_more"
"1","25025040300","Census Tract 403; Suffolk County; Massachusetts",655,343,1524,1273,365,365
"2","25025030500","Census Tract 305; Suffolk County; Massachusetts",119,73,1365,475,265,418
"3","25025040100","Census Tract 401; Suffolk County; Massachusetts",247,104,702,604,270,433
"4","25025040200","Census Tract 402; Suffolk County; Massachusetts",258,218,372,427,134,185
"5","25025040401","Census Tract 404.01; Suffolk County; Massachusetts",350,217,855,803,330,367
"6","25025040600","Census Tract 406; Suffolk County; Massachusetts",381,146,1610,950,288,308
"7","25025040801","Census Tract 408.01; Suffolk County; Massachusetts",387,380,993,942,658,676
"8","25025050101","Census Tract 501.01; Suffolk County; Massachusetts",593,654,1450,1312,451,457
"9","25025050200","Census Tract 502; Suffolk County; Massachusetts",594,656,1745,1421,412,369
"10","25025050300","Census Tract 503; Suffolk County; Massachusetts",273,277,1220,719,291,478
"11","25025050400","Census Tract 504; Suffolk County; Massachusetts",185,212,915,617,208,235
"12","25025050500","Census Tract 505; Suffolk County; Massachusetts",204,186,906,598,153,127
"13","25025050600","Census Tract 506; Suffolk County; Massachusetts",198,219,789,580,165,123
"14","25025050700","Census Tract 507; Suffolk County; Massachusetts",530,580,1439,1329,383,259
"15","25025050901","Census Tract 509.01; Suffolk County; Massachusetts",516,577,1285,1289,317,258
"16","25025051000","Census Tract 510; Suffolk County; Massachusetts",424,462,1272,1087,506,566
"17","25025051101","Census Tract 511.01; Suffolk County; Massachusetts",626,711,1834,1737,724,828
"18","25025051200","Census Tract 512; Suffolk County; Massachusetts",300,228,1568,881,242,235
"19","25025060101","Census Tract 601.01; Suffolk County; Massachusetts",237,150,1844,728,317,397
"20","25025060200","Census Tract 602; Suffolk County; Massachusetts",124,100,1239,443,212,210
"21","25025060301","Census Tract 603.01; Suffolk County; Massachusetts",240,105,1878,643,291,452
"22","25025060400","Census Tract 604; Suffolk County; Massachusetts",279,140,2902,830,417,627
"23","25025060501","Census Tract 605.01; Suffolk County; Massachusetts",317,117,2707,985,313,294
"24","25025060601","Census Tract 606.01; Suffolk County; Massachusetts",113,44,1166,425,120,138
"25","25025060602","Census Tract 606.02; Suffolk County; Massachusetts",14,6,193,72,34,12
"26","25025060603","Census Tract 606.03; Suffolk County; Massachusetts",57,38,856,359,128,64
"27","25025060604","Census Tract 606.04; Suffolk County; Massachusetts",86,56,1351,747,386,177
"28","25025060700","Census Tract 607; Suffolk County; Massachusetts",245,367,331,396,183,167
"29","25025060800","Census Tract 608; Suffolk County; Massachusetts",260,122,2985,843,292,357
"30","25025061000","Census Tract 610; Suffolk County; Massachusetts",246,281,907,517,253,212
"31","25025061101","Census Tract 611.01; Suffolk County; Massachusetts",417,380,631,592,382,308
"32","25025061201","Census Tract 612.01; Suffolk County; Massachusetts",102,42,1142,412,149,166
"33","25025061202","Census Tract 612.02; Suffolk County; Massachusetts",0,0,0,0,0,0
"34","25025061203","Census Tract 612.03; Suffolk County; Massachusetts",173,68,1128,772,214,331
"35","25025061204","Census Tract 612.04; Suffolk County; Massachusetts",42,20,312,321,136,106
"36","25025070102","Census Tract 701.02; Suffolk County; Massachusetts",111,848,1003,657,324,744
"37","25025070103","Census Tract 701.03; Suffolk County; Massachusetts",86,45,358,177,51,34
"38","25025070104","Census Tract 701.04; Suffolk County; Massachusetts",232,90,811,854,492,383
"39","25025070201","Census Tract 702.01; Suffolk County; Massachusetts",66,858,1756,287,248,775
"40","25025000101","Census Tract 1.01; Suffolk County; Massachusetts",96,81,1127,326,116,130
"41","25025000102","Census Tract 1.02; Suffolk County; Massachusetts",343,319,1680,705,283,384
"42","25025000201","Census Tract 2.01; Suffolk County; Massachusetts",261,193,2216,724,266,293
"43","25025000202","Census Tract 2.02; Suffolk County; Massachusetts",362,331,1913,781,338,423
"44","25025000301","Census Tract 3.01; Suffolk County; Massachusetts",200,99,1705,510,267,355
"45","25025000302","Census Tract 3.02; Suffolk County; Massachusetts",145,140,1533,572,233,449
"46","25025000401","Census Tract 4.01; Suffolk County; Massachusetts",284,162,3137,713,248,1309
"47","25025000402","Census Tract 4.02; Suffolk County; Massachusetts",301,171,2034,629,184,325
"48","25025000502","Census Tract 5.02; Suffolk County; Massachusetts",163,625,4734,740,199,525
"49","25025000503","Census Tract 5.03; Suffolk County; Massachusetts",62,23,1734,319,85,195
"50","25025000505","Census Tract 5.05; Suffolk County; Massachusetts",73,55,1224,273,137,434
"51","25025000506","Census Tract 5.06; Suffolk County; Massachusetts",86,51,1836,383,138,401
"52","25025180101","Census Tract 1801.01; Suffolk County; Massachusetts",483,560,932,1470,880,1479
"53","25025180200","Census Tract 1802; Suffolk County; Massachusetts",437,484,854,1065,646,840
"54","25025180301","Census Tract 1803.01; Suffolk County; Massachusetts",317,351,542,861,492,606
"55","25025180400","Census Tract 1804; Suffolk County; Massachusetts",217,174,412,507,291,327
"56","25025180500","Census Tract 1805; Suffolk County; Massachusetts",375,342,970,1149,620,633
"57","25025980101","Census Tract 9801.01; Suffolk County; Massachusetts",0,0,0,0,0,0
"58","25025980300","Census Tract 9803; Suffolk County; Massachusetts",3,2,12,52,27,17
"59","25025980700","Census Tract 9807; Suffolk County; Massachusetts",1,2,3,0,1,0
"60","25025980900","Census Tract 9809; Suffolk County; Massachusetts",10,13,34,24,15,29
"61","25025981000","Census Tract 9810; Suffolk County; Massachusetts",3,6,2,0,0,0
"62","25025981100","Census Tract 9811; Suffolk County; Massachusetts",2,2,30,50,12,1
